#iter  Observable_U
1 0.5509742
2 0.5594205
3 0.5645171
4 0.5661256
5 0.5672742
6 0.5677061
7 0.5688542
8 0.5697132
9 0.5691623
10 0.5682706
11 0.5693537
12 0.5691371
13 0.5693475
14 0.5683029
15 0.5699439
16 0.5702604
17 0.5699299
18 0.5681272
19 0.5700049
20 0.5690138
21 0.5686231
22 0.5679955
23 0.5679928
24 0.5692212
25 0.5683021
26 0.5700255
27 0.5673325
28 0.5698468
29 0.5677682
30 0.5669618
31 0.5688178
32 0.5692863
33 0.5708515
34 0.5692040
35 0.5706419
36 0.5697756
37 0.5685734
38 0.5678055
39 0.5697809
40 0.5696454
41 0.5701365
42 0.5691699
43 0.5701818
44 0.5694964
45 0.5684960
46 0.5680792
47 0.5705894
48 0.5692728
49 0.5696072
50 0.5689838
51 0.5702325
52 0.5698457
53 0.5722242
54 0.5704385
55 0.5699149
56 0.5691343
57 0.5695413
58 0.5688633
59 0.5705545
60 0.5692861
61 0.5692540
62 0.5709263
63 0.5687332
64 0.5682490
