#iter  Sign
1 0.6147950
2 0.6066049
3 0.6061148
4 0.6057230
5 0.6035825
6 0.6032260
7 0.6072466
8 0.6025688
9 0.6051316
10 0.6039687
11 0.6057652
12 0.6038219
13 0.6040077
14 0.6027009
15 0.6049743
16 0.6044132
17 0.6022000
18 0.6040789
19 0.6044934
20 0.6035932
21 0.6067150
22 0.6090474
23 0.6078811
24 0.6033546
25 0.6039983
26 0.6070170
27 0.6035274
28 0.6052521
29 0.6037370
30 0.6065888
31 0.6051408
32 0.6000742
33 0.6038127
34 0.6036996
35 0.6040718
36 0.6035347
37 0.6059837
38 0.6056068
39 0.6073206
40 0.6072902
41 0.6049573
42 0.6065258
43 0.6047871
44 0.6048799
45 0.6029747
46 0.6041346
47 0.6038378
48 0.6052258
49 0.6065637
50 0.6069885
51 0.6051345
52 0.6058906
53 0.6071887
54 0.6045624
55 0.6062698
56 0.6052118
57 0.6053331
58 0.6014323
59 0.6052366
60 0.6057624
61 0.6056702
62 0.6053043
63 0.6061212
64 0.6030422
