#w_matsubara  G1_Re   G1_Im   G2_Re   G2_Im   G3_Re   G3_Im   G4_Re   G4_Im   
 0.1427997  0.3144374 -0.1485981  0.0557781 -0.6297492 -0.0007678  0.0001006 -0.3525978 -0.2464150
 0.4283990  0.2388046 -0.1831648  0.0113719 -0.4711779 -0.0003238 -0.0001031 -0.2830754 -0.2386276
 0.7139983  0.1884098 -0.1891729  0.0009091 -0.3864059 -0.0000836 -0.0000776 -0.2333520 -0.2296269
 0.9995977  0.1542891 -0.1853560 -0.0009024 -0.3318638 -0.0000093 -0.0000308 -0.1964882 -0.2202431
 1.2851970  0.1307341 -0.1784725 -0.0001007 -0.2940839 -0.0000481 -0.0000178 -0.1684850 -0.2119432
 1.5707963  0.1140532 -0.1714939  0.0022362 -0.2650805 -0.0000098 -0.0001570 -0.1452138 -0.2041127
 1.8563957  0.1022488 -0.1648037  0.0048801 -0.2433775  0.0000610  0.0000380 -0.1264892 -0.1963519
 2.1419950  0.0923841 -0.1580990  0.0063735 -0.2259956 -0.0001339 -0.0000068 -0.1111006 -0.1893458
 2.4275943  0.0842897 -0.1531038  0.0082701 -0.2114684  0.0001257  0.0000353 -0.0980102 -0.1827565
 2.7131937  0.0779020 -0.1481245  0.0103070 -0.1990642  0.0001051  0.0000595 -0.0870021 -0.1767275
 2.9987930  0.0730621 -0.1424041  0.0106611 -0.1880578  0.0000082  0.0001045 -0.0775507 -0.1703366
 3.2843923  0.0684085 -0.1388035  0.0115219 -0.1788817  0.0000678  0.0000880 -0.0683149 -0.1646959
 3.5699917  0.0644871 -0.1346677  0.0123842 -0.1708682 -0.0000823 -0.0000519 -0.0614968 -0.1591397
 3.8555910  0.0601585 -0.1316880  0.0126741 -0.1634165 -0.0000542  0.0000143 -0.0553636 -0.1539358
 4.1411903  0.0569873 -0.1273051  0.0131772 -0.1567707  0.0000100  0.0000486 -0.0498306 -0.1492079
 4.4267896  0.0540822 -0.1244444  0.0125370 -0.1509692  0.0000524 -0.0001394 -0.0453363 -0.1449262
 4.7123890  0.0514347 -0.1213859  0.0134527 -0.1450170 -0.0000569 -0.0001506 -0.0409812 -0.1399438
 4.9979883  0.0488058 -0.1183867  0.0133461 -0.1396043  0.0001218  0.0000966 -0.0372040 -0.1358898
 5.2835876  0.0467583 -0.1156119  0.0127252 -0.1351200  0.0001787  0.0001501 -0.0336141 -0.1318507
 5.5691870  0.0440601 -0.1140434  0.0128035 -0.1308694 -0.0000105 -0.0001007 -0.0306815 -0.1280739
 5.8547863  0.0414192 -0.1109297  0.0129231 -0.1267147  0.0000014 -0.0000155 -0.0286859 -0.1241856
 6.1403856  0.0397742 -0.1079265  0.0116078 -0.1227778 -0.0000464  0.0001260 -0.0259837 -0.1210651
 6.4259850  0.0381699 -0.1054289  0.0111558 -0.1194071 -0.0000500  0.0000116 -0.0235868 -0.1177799
 6.7115843  0.0359348 -0.1032312  0.0119638 -0.1156487 -0.0000435  0.0000204 -0.0219018 -0.1141539
 6.9971836  0.0350755 -0.1012382  0.0113972 -0.1123676 -0.0000585  0.0000045 -0.0201835 -0.1111470
 7.2827830  0.0328492 -0.0991167  0.0104307 -0.1088277 -0.0000603 -0.0001018 -0.0193072 -0.1085716
 7.5683823  0.0312431 -0.0971783  0.0103878 -0.1057409 -0.0001306  0.0000782 -0.0175553 -0.1056424
 7.8539816  0.0300128 -0.0950040  0.0098859 -0.1038729 -0.0000512  0.0000091 -0.0166781 -0.1031144
 8.1395810  0.0289131 -0.0929023  0.0095109 -0.1010035  0.0000303 -0.0000270 -0.0150643 -0.1004088
 8.4251803  0.0275481 -0.0905007  0.0094527 -0.0982682 -0.0000695 -0.0001500 -0.0142897 -0.0978420
 8.7107796  0.0265366 -0.0888790  0.0094111 -0.0960738 -0.0000491 -0.0000038 -0.0137375 -0.0960451
 8.9963790  0.0254836 -0.0877648  0.0087556 -0.0941590  0.0000995  0.0000565 -0.0124825 -0.0937716
 9.2819783  0.0242396 -0.0862325  0.0084022 -0.0917155  0.0001428 -0.0000404 -0.0116255 -0.0919236
 9.5675776  0.0227702 -0.0833112  0.0083770 -0.0893886  0.0000314 -0.0001131 -0.0105285 -0.0893374
 9.8531770  0.0226190 -0.0821150  0.0082350 -0.0875054  0.0001115 -0.0000332 -0.0105995 -0.0871589
 10.1387763  0.0212925 -0.0806507  0.0075446 -0.0858183 -0.0001392  0.0000859 -0.0097921 -0.0850589
 10.4243756  0.0205588 -0.0789881  0.0078009 -0.0841869  0.0000063  0.0000500 -0.0091714 -0.0833830
 10.7099750  0.0197153 -0.0780405  0.0069770 -0.0824117  0.0000675  0.0001616 -0.0086673 -0.0815683
 10.9955743  0.0190952 -0.0758957  0.0074023 -0.0807540 -0.0000634  0.0000087 -0.0087288 -0.0799270
 11.2811736  0.0187741 -0.0746483  0.0069643 -0.0790085 -0.0001186 -0.0000280 -0.0080419 -0.0783513
 11.5667730  0.0175900 -0.0733753  0.0064400 -0.0768034  0.0000666  0.0000814 -0.0075414 -0.0768418
 11.8523723  0.0170122 -0.0720594  0.0065757 -0.0757338  0.0000646 -0.0000298 -0.0073497 -0.0750771
 12.1379716  0.0167116 -0.0706775  0.0070864 -0.0742687  0.0000548 -0.0000841 -0.0066930 -0.0737968
 12.4235709  0.0158111 -0.0692199  0.0063381 -0.0725072  0.0000117  0.0000604 -0.0062401 -0.0727961
