#iter  E
1 -22.5927981
2 -22.5911006
3 -22.5899330
4 -22.5923913
5 -22.5967978
6 -22.5920381
7 -22.5950833
8 -22.5920297
9 -22.5938354
10 -22.5900845
11 -22.5951257
12 -22.5972581
13 -22.5957402
14 -22.5966696
15 -22.5945399
16 -22.5936503
17 -22.5895638
18 -22.5878748
19 -22.5939048
20 -22.5939796
21 -22.5926651
22 -22.5898399
23 -22.5942058
24 -22.5867155
25 -22.5901802
26 -22.5923550
27 -22.5892733
28 -22.5904341
29 -22.5909271
30 -22.5894000
31 -22.5917012
32 -22.5900396
33 -22.5941298
34 -22.5959547
35 -22.5993795
36 -22.5929953
37 -22.5948104
38 -22.5923147
39 -22.5927948
40 -22.5883158
41 -22.5925344
42 -22.5923823
43 -22.5943519
44 -22.5930161
45 -22.5915708
46 -22.5924052
47 -22.5946540
48 -22.5896878
49 -22.5913202
50 -22.5886486
51 -22.5955156
52 -22.5959184
53 -22.5941137
54 -22.5918789
55 -22.5886212
56 -22.5931082
57 -22.5918318
58 -22.5955504
59 -22.5882780
60 -22.5901894
61 -22.5933327
62 -22.5890382
63 -22.5946559
64 -22.5927976
65 -22.5898218
65 -22.5899615
66 -22.5924663
67 -22.5902775
68 -22.5940157
69 -22.5925798
70 -22.5942430
71 -22.5945198
72 -22.5938547
73 -22.5929518
74 -22.5959403
75 -22.5921075
76 -22.5888615
77 -22.5885117
78 -22.5923714
79 -22.5960044
80 -22.5934903
81 -22.5974941
82 -22.5948108
83 -22.5978429
84 -22.5936767
85 -22.5950644
86 -22.5949215
87 -22.5922632
88 -22.5915138
89 -22.6015258
90 -22.5891396
91 -22.5940577
92 -22.5970989
93 -22.5911905
94 -22.5924511
95 -22.5942244
96 -22.5953673
97 -22.5911157
98 -22.5904729
99 -22.5964747
100 -22.5915323
101 -22.5935544
102 -22.5929924
103 -22.5922913
104 -22.5963549
105 -22.5902215
106 -22.5936173
107 -22.5895470
108 -22.5920092
109 -22.5932664
110 -22.5975782
111 -22.5935175
112 -22.5972272
113 -22.5925827
114 -22.5961324
115 -22.5951446
116 -22.5974015
117 -22.5952088
118 -22.5963233
119 -22.5979302
120 -22.5957420
121 -22.5915225
122 -22.5956378
123 -22.5868277
124 -22.5978298
125 -22.5874118
126 -22.5900374
127 -22.6014485
128 -22.5939437
