#iter  Observable_U
1 0.5708149
2 0.5712999
3 0.5712848
4 0.5711969
5 0.5696948
6 0.5702582
7 0.5701140
8 0.5691445
9 0.5711917
10 0.5718621
11 0.5703430
12 0.5695166
13 0.5707373
14 0.5705979
15 0.5692221
16 0.5716643
17 0.5720373
18 0.5716044
19 0.5715165
20 0.5705358
21 0.5715900
22 0.5721644
23 0.5712693
24 0.5719460
25 0.5718005
26 0.5709498
27 0.5721571
28 0.5703342
29 0.5713793
30 0.5718355
31 0.5709336
32 0.5724263
33 0.5698793
34 0.5703113
35 0.5707708
36 0.5707411
37 0.5683263
38 0.5705655
39 0.5707077
40 0.5711813
41 0.5719212
42 0.5704044
43 0.5704685
44 0.5709793
45 0.5727817
46 0.5709706
47 0.5708460
48 0.5718444
49 0.5702935
50 0.5729277
51 0.5720466
52 0.5705435
53 0.5721690
54 0.5718038
55 0.5717256
56 0.5700085
57 0.5710382
58 0.5715289
59 0.5718240
60 0.5718427
61 0.5708241
62 0.5734275
63 0.5700093
64 0.5716989
65 0.5719952
65 0.5722050
66 0.5712327
67 0.5725704
68 0.5709335
69 0.5699960
70 0.5694243
71 0.5708089
72 0.5702946
73 0.5710538
74 0.5699175
75 0.5696867
76 0.5722873
77 0.5716284
78 0.5711191
79 0.5703495
80 0.5699586
81 0.5693197
82 0.5703004
83 0.5697159
84 0.5699901
85 0.5715055
86 0.5711030
87 0.5711110
88 0.5710953
89 0.5697259
90 0.5734332
91 0.5691517
92 0.5695983
93 0.5705167
94 0.5709479
95 0.5710505
96 0.5704942
97 0.5711741
98 0.5719296
99 0.5707528
100 0.5713053
101 0.5700712
102 0.5703085
103 0.5697413
104 0.5700116
105 0.5704272
106 0.5716358
107 0.5712337
108 0.5702360
109 0.5693470
110 0.5701014
111 0.5710392
112 0.5715362
113 0.5708125
114 0.5695955
115 0.5706798
116 0.5704263
117 0.5707218
118 0.5698449
119 0.5694985
120 0.5715490
121 0.5714653
122 0.5694639
123 0.5710073
124 0.5710914
125 0.5726423
126 0.5700744
127 0.5704304
128 0.5713014
