#iter  Sign
1 0.5721850
2 0.5726992
3 0.5712871
4 0.5742039
5 0.5714112
6 0.5700615
7 0.5722296
8 0.5741420
9 0.5715248
10 0.5732246
11 0.5722315
12 0.5717934
13 0.5718782
14 0.5731202
15 0.5710105
16 0.5735458
17 0.5706563
18 0.5682468
19 0.5726893
20 0.5706960
21 0.5720316
22 0.5726715
23 0.5713448
24 0.5699663
25 0.5718503
26 0.5703897
27 0.5747728
28 0.5719134
29 0.5706386
30 0.5720509
31 0.5718756
32 0.5752114
33 0.5712543
34 0.5727457
35 0.5739303
36 0.5723735
37 0.5738428
38 0.5708655
39 0.5751497
40 0.5708982
41 0.5733144
42 0.5703080
43 0.5712675
44 0.5745847
45 0.5712969
46 0.5714087
47 0.5728699
48 0.5727073
49 0.5705760
50 0.5726149
51 0.5693052
52 0.5692990
53 0.5735663
54 0.5694743
55 0.5715105
56 0.5720917
57 0.5697664
58 0.5740385
59 0.5715770
60 0.5717800
61 0.5722472
62 0.5688634
63 0.5739465
64 0.5733703
65 0.5748010
65 0.5740938
66 0.5720433
67 0.5684207
68 0.5733539
69 0.5721410
70 0.5762565
71 0.5719188
72 0.5706598
73 0.5707401
74 0.5723288
75 0.5727853
76 0.5723399
77 0.5720673
78 0.5677565
79 0.5713342
80 0.5699349
81 0.5700511
82 0.5714415
83 0.5724525
84 0.5715472
85 0.5702338
86 0.5697802
87 0.5688744
88 0.5721538
89 0.5712040
90 0.5738950
91 0.5704650
92 0.5707985
93 0.5723970
94 0.5738033
95 0.5726602
96 0.5719825
97 0.5729644
98 0.5705849
99 0.5719832
100 0.5711577
101 0.5711276
102 0.5716354
103 0.5730695
104 0.5730937
105 0.5717977
106 0.5694152
107 0.5697197
108 0.5726967
109 0.5730331
110 0.5723751
111 0.5737157
112 0.5733465
113 0.5731828
114 0.5730142
115 0.5716299
116 0.5707833
117 0.5712610
118 0.5723073
119 0.5716216
120 0.5716738
121 0.5697834
122 0.5698331
123 0.5731590
124 0.5739731
125 0.5719471
126 0.5711583
127 0.5717637
128 0.5700806
