#w_matsubara  SzSz   
 0.0000000  1.5185677
 0.2673696  0.7152852
 0.5347392  0.4268155
 0.8021088  0.2887376
 1.0694784  0.2104144
 1.3368479  0.1608170
 1.6042175  0.1272448
 1.8715871  0.1040698
 2.1389567  0.0866208
 2.4063263  0.0734218
 2.6736959  0.0631760
 2.9410655  0.0548554
 3.2084351  0.0483276
 3.4758046  0.0428224
 3.7431742  0.0382749
 4.0105438  0.0345495
 4.2779134  0.0312432
 4.5452830  0.0284054
 4.8126526  0.0259593
 5.0800222  0.0238427
 5.3473918  0.0219488
 5.6147613  0.0203454
 5.8821309  0.0187825
 6.1495005  0.0175407
 6.4168701  0.0163376
 6.6842397  0.0152500
 6.9516093  0.0143282
 7.2189789  0.0134571
 7.4863485  0.0126569
 7.7537180  0.0119349
 8.0210876  0.0112875
 8.2884572  0.0106598
 8.5558268  0.0101018
 8.8231964  0.0095627
 9.0905660  0.0091164
 9.3579356  0.0086672
 9.6253052  0.0082503
 9.8926747  0.0078699
 10.1600443  0.0075162
 10.4274139  0.0071672
 10.6947835  0.0068672
 10.9621531  0.0065755
 11.2295227  0.0062924
 11.4968923  0.0060340
 11.7642619  0.0057888
 12.0316314  0.0055645
 12.2990010  0.0053499
 12.5663706  0.0051521
 12.8337402  0.0049562
 13.1011098  0.0047867
 13.3684794  0.0046048
 13.6358490  0.0044472
 13.9032186  0.0042892
 14.1705881  0.0041463
 14.4379577  0.0040067
 14.7053273  0.0038708
 14.9726969  0.0037471
 15.2400665  0.0036284
 15.5074361  0.0035192
 15.7748057  0.0034005
 16.0421753  0.0032938
 16.3095448  0.0032012
 16.5769144  0.0031138
 16.8442840  0.0030164
 17.1116536  0.0029260
 17.3790232  0.0028438
 17.6463928  0.0027625
 17.9137624  0.0026901
 18.1811320  0.0026202
 18.4485015  0.0025434
 18.7158711  0.0024768
 18.9832407  0.0024081
 19.2506103  0.0023421
 19.5179799  0.0022836
 19.7853495  0.0022314
 20.0527191  0.0021746
 20.3200887  0.0021178
 20.5874582  0.0020657
 20.8548278  0.0020128
 21.1221974  0.0019703
 21.3895670  0.0019210
 21.6569366  0.0018792
 21.9243062  0.0018383
 22.1916758  0.0017931
 22.4590454  0.0017493
 22.7264149  0.0017121
 22.9937845  0.0016782
 23.2611541  0.0016381
 23.5285237  0.0016062
 23.7958933  0.0015680
 24.0632629  0.0015364
 24.3306325  0.0015043
 24.5980021  0.0014715
 24.8653716  0.0014412
 25.1327412  0.0014138
 25.4001108  0.0013881
 25.6674804  0.0013573
 25.9348500  0.0013309
 26.2022196  0.0012999
 26.4695892  0.0012813
 26.7369588  0.0012528
 27.0043283  0.0012292
 27.2716979  0.0012087
 27.5390675  0.0011865
 27.8064371  0.0011616
 28.0738067  0.0011408
 28.3411763  0.0011190
 28.6085459  0.0011004
 28.8759155  0.0010833
 29.1432850  0.0010611
 29.4106546  0.0010450
 29.6780242  0.0010246
 29.9453938  0.0010082
 30.2127634  0.0009902
 30.4801330  0.0009731
 30.7475026  0.0009559
 31.0148722  0.0009384
 31.2822417  0.0009259
 31.5496113  0.0009100
 31.8169809  0.0008933
 32.0843505  0.0008810
 32.3517201  0.0008657
 32.6190897  0.0008523
 32.8864593  0.0008387
 33.1538289  0.0008268
 33.4211984  0.0008144
 33.6885680  0.0008008
 33.9559376  0.0007875
 34.2233072  0.0007741
 34.4906768  0.0007635
 34.7580464  0.0007533
 35.0254160  0.0007421
 35.2927856  0.0007297
 35.5601551  0.0007204
 35.8275247  0.0007103
 36.0948943  0.0006981
 36.3622639  0.0006883
 36.6296335  0.0006809
 36.8970031  0.0006704
 37.1643727  0.0006606
 37.4317423  0.0006522
 37.6991118  0.0006420
 37.9664814  0.0006336
 38.2338510  0.0006253
 38.5012206  0.0006158
 38.7685902  0.0006071
 39.0359598  0.0005999
 39.3033294  0.0005915
 39.5706990  0.0005827
 39.8380685  0.0005763
