#w_matsubara  G1_Re   G1_Im   G2_Re   G2_Im   G3_Re   G3_Im   G4_Re   G4_Im   
 0.1336848  0.3179892 -0.1474067  0.0615098 -0.6409224 -0.0020993 -0.0000011 -0.3541907 -0.2474697
 0.4010544  0.2451811 -0.1827771  0.0144393 -0.4842034 -0.0006667 -0.0002546 -0.2891618 -0.2401662
 0.6684240  0.1953693 -0.1895371  0.0016147 -0.3986622 -0.0001482 -0.0000926 -0.2405148 -0.2313170
 0.9357936  0.1626121 -0.1873728 -0.0013767 -0.3430392  0.0000057  0.0000572 -0.2044900 -0.2229423
 1.2031631  0.1376260 -0.1808290 -0.0004210 -0.3036964 -0.0001974 -0.0002349 -0.1762023 -0.2144987
 1.4705327  0.1199968 -0.1740553  0.0007654 -0.2742280  0.0001649  0.0000307 -0.1526220 -0.2069157
 1.7379023  0.1068944 -0.1682702  0.0032982 -0.2524641  0.0002350  0.0001162 -0.1342299 -0.1992983
 2.0052719  0.0966322 -0.1609211  0.0057194 -0.2343018  0.0001316 -0.0001655 -0.1181144 -0.1925049
 2.2726415  0.0889645 -0.1558955  0.0074614 -0.2189930  0.0000284 -0.0001308 -0.1054079 -0.1864867
 2.5400111  0.0819975 -0.1504525  0.0089087 -0.2064384  0.0001207  0.0000893 -0.0936328 -0.1802031
 2.8073807  0.0772903 -0.1463850  0.0101663 -0.1954686  0.0001647 -0.0001398 -0.0834745 -0.1750520
 3.0747503  0.0711814 -0.1418866  0.0114223 -0.1854136 -0.0001697 -0.0000132 -0.0749530 -0.1688522
 3.3421198  0.0677712 -0.1388058  0.0120724 -0.1776512  0.0002024  0.0002086 -0.0676928 -0.1636991
 3.6094894  0.0638198 -0.1349692  0.0129649 -0.1697104  0.0000797  0.0000488 -0.0609216 -0.1585574
 3.8768590  0.0596631 -0.1313461  0.0128174 -0.1633059  0.0000076  0.0001298 -0.0555586 -0.1536056
 4.1442286  0.0565052 -0.1284077  0.0127349 -0.1567889 -0.0000588 -0.0000253 -0.0501791 -0.1498253
 4.4115982  0.0542310 -0.1249613  0.0138794 -0.1510229 -0.0001928  0.0000883 -0.0460466 -0.1456103
 4.6789678  0.0516531 -0.1222725  0.0127556 -0.1456852  0.0000069 -0.0000930 -0.0417708 -0.1409677
 4.9463374  0.0485601 -0.1185534  0.0130337 -0.1410924 -0.0002774  0.0001387 -0.0379792 -0.1364277
 5.2137070  0.0464696 -0.1166647  0.0125024 -0.1365645  0.0000673 -0.0002485 -0.0348636 -0.1337020
 5.4810765  0.0445780 -0.1140017  0.0129604 -0.1325060 -0.0000470  0.0000407 -0.0320868 -0.1295762
 5.7484461  0.0426340 -0.1112318  0.0127498 -0.1281495  0.0000209  0.0000619 -0.0291052 -0.1257469
 6.0158157  0.0403492 -0.1084540  0.0125053 -0.1244127  0.0001297 -0.0001538 -0.0271068 -0.1226509
 6.2831853  0.0385075 -0.1063575  0.0121259 -0.1213369 -0.0000671  0.0000165 -0.0249599 -0.1195655
 6.5505549  0.0371459 -0.1047634  0.0118751 -0.1175415 -0.0000468 -0.0001096 -0.0230977 -0.1162403
 6.8179245  0.0361753 -0.1020702  0.0107304 -0.1141997  0.0000765 -0.0000981 -0.0213436 -0.1135241
 7.0852941  0.0339480 -0.1004714  0.0110934 -0.1109760  0.0002531  0.0000020 -0.0200159 -0.1101273
 7.3526637  0.0332080 -0.0983720  0.0105845 -0.1089822 -0.0000672 -0.0000028 -0.0188252 -0.1080688
 7.6200332  0.0308285 -0.0962973  0.0100738 -0.1059080  0.0001315  0.0002062 -0.0176029 -0.1050951
 7.8874028  0.0296008 -0.0943617  0.0102449 -0.1034027 -0.0000585  0.0000294 -0.0163824 -0.1027399
 8.1547724  0.0288514 -0.0924203  0.0100409 -0.1014422 -0.0001309 -0.0000777 -0.0157628 -0.1004821
 8.4221420  0.0277109 -0.0911881  0.0097355 -0.0990150  0.0000614 -0.0001098 -0.0145803 -0.0979837
 8.6895116  0.0264599 -0.0889747  0.0093304 -0.0963319  0.0000391  0.0002979 -0.0134679 -0.0957931
 8.9568812  0.0259106 -0.0875285  0.0091400 -0.0940954  0.0000295  0.0000276 -0.0126547 -0.0936141
 9.2242508  0.0244077 -0.0869934  0.0082500 -0.0926259 -0.0001222  0.0001074 -0.0120008 -0.0919406
 9.4916204  0.0234678 -0.0837417  0.0087867 -0.0897371  0.0000965 -0.0000738 -0.0116627 -0.0899479
 9.7589899  0.0225201 -0.0834176  0.0079929 -0.0880259 -0.0000432 -0.0000069 -0.0105985 -0.0879045
 10.0263595  0.0213457 -0.0815412  0.0078928 -0.0860993 -0.0000942  0.0000844 -0.0098305 -0.0860471
 10.2937291  0.0204829 -0.0788068  0.0075677 -0.0844333  0.0000794 -0.0000234 -0.0096738 -0.0841221
 10.5610987  0.0195478 -0.0783476  0.0072746 -0.0828131 -0.0000375 -0.0002533 -0.0092571 -0.0832012
 10.8284683  0.0199348 -0.0762676  0.0071374 -0.0816465  0.0000189 -0.0000310 -0.0086610 -0.0813922
 11.0958379  0.0185316 -0.0755821  0.0069857 -0.0799710 -0.0000065  0.0001801 -0.0078466 -0.0797072
 11.3632075  0.0181335 -0.0744560  0.0070954 -0.0781098  0.0001996 -0.0001226 -0.0075019 -0.0781378
 11.6305771  0.0171378 -0.0729136  0.0063393 -0.0767824 -0.0000772 -0.0000654 -0.0076883 -0.0765073
 11.8979466  0.0167215 -0.0710640  0.0069997 -0.0758330  0.0000764 -0.0000430 -0.0074670 -0.0750919
 12.1653162  0.0160098 -0.0704787  0.0061853 -0.0743310  0.0002413 -0.0001445 -0.0071513 -0.0736908
 12.4326858  0.0155086 -0.0687804  0.0058488 -0.0725333 -0.0000984 -0.0000028 -0.0064345 -0.0729824
 12.7000554  0.0157190 -0.0685798  0.0059155 -0.0713340 -0.0001498 -0.0001880 -0.0063376 -0.0712737
 12.9674250  0.0152805 -0.0675225  0.0057028 -0.0700544  0.0001306  0.0001556 -0.0060799 -0.0703613
 13.2347946  0.0146758 -0.0667989  0.0052195 -0.0685142 -0.0000351 -0.0001446 -0.0056963 -0.0696248
 13.5021642  0.0140783 -0.0653379  0.0055921 -0.0676916  0.0000093  0.0001130 -0.0057690 -0.0678506
 13.7695338  0.0132605 -0.0648042  0.0056548 -0.0662377  0.0002731  0.0001087 -0.0055472 -0.0672577
 14.0369033  0.0125127 -0.0634184  0.0050594 -0.0652017 -0.0000491  0.0000736 -0.0051556 -0.0657518
 14.3042729  0.0129275 -0.0618739  0.0048006 -0.0639415  0.0000131 -0.0000615 -0.0048006 -0.0646212
 14.5716425  0.0119636 -0.0614389  0.0048693 -0.0632155  0.0000557  0.0000346 -0.0049668 -0.0638376
 14.8390121  0.0121471 -0.0610186  0.0044775 -0.0626349 -0.0001821  0.0000020 -0.0039832 -0.0625513
 15.1063817  0.0120681 -0.0603012  0.0047039 -0.0616856  0.0000009 -0.0001374 -0.0046085 -0.0614139
 15.3737513  0.0111015 -0.0593597  0.0046625 -0.0603016  0.0000056 -0.0001260 -0.0043041 -0.0609680
 15.6411209  0.0104174 -0.0581934  0.0038376 -0.0604396  0.0001030  0.0000122 -0.0038257 -0.0599347
 15.9084905  0.0104252 -0.0575144  0.0043679 -0.0588567 -0.0000968 -0.0002286 -0.0035271 -0.0586417
 16.1758600  0.0093426 -0.0563538  0.0042558 -0.0577482  0.0000808  0.0002361 -0.0037477 -0.0583657
 16.4432296  0.0098077 -0.0556288  0.0037369 -0.0573214 -0.0000036  0.0000022 -0.0035268 -0.0573462
 16.7105992  0.0092962 -0.0551903  0.0036007 -0.0563551  0.0000599 -0.0001635 -0.0034757 -0.0563677
 16.9779688  0.0097683 -0.0539135  0.0035757 -0.0550387 -0.0000330  0.0000804 -0.0033205 -0.0555902
 17.2453384  0.0093093 -0.0534896  0.0036031 -0.0545056 -0.0000259  0.0000829 -0.0031380 -0.0546435
 17.5127080  0.0086478 -0.0523809  0.0031798 -0.0539224  0.0003237 -0.0000281 -0.0031451 -0.0539302
 17.7800776  0.0090380 -0.0526440  0.0036949 -0.0528964 -0.0000045  0.0001689 -0.0036967 -0.0533506
 18.0474472  0.0083435 -0.0518008  0.0040672 -0.0522142 -0.0000967  0.0001321 -0.0027741 -0.0528076
 18.3148167  0.0081681 -0.0498338  0.0027961 -0.0520485  0.0000800  0.0000972 -0.0028597 -0.0519885
 18.5821863  0.0079930 -0.0497738  0.0032977 -0.0516048 -0.0000499  0.0000445 -0.0028320 -0.0510538
 18.8495559  0.0078661 -0.0500403  0.0039277 -0.0509220 -0.0001932  0.0000011 -0.0024585 -0.0505709
 19.1169255  0.0071364 -0.0492525  0.0029782 -0.0495031  0.0000715  0.0001961 -0.0028863 -0.0499216
 19.3842951  0.0075519 -0.0478569  0.0027744 -0.0492237  0.0000101  0.0001197 -0.0025607 -0.0491058
 19.6516647  0.0070901 -0.0480986  0.0029434 -0.0493145 -0.0000048 -0.0000105 -0.0028090 -0.0490137
 19.9190343  0.0068229 -0.0471393  0.0026776 -0.0480557  0.0001080 -0.0000144 -0.0023062 -0.0482925
 20.1864039  0.0068791 -0.0469280  0.0027710 -0.0473556 -0.0001607 -0.0001319 -0.0025340 -0.0477966
 20.4537734  0.0070053 -0.0457668  0.0029699 -0.0467246 -0.0001409  0.0001084 -0.0024193 -0.0467564
 20.7211430  0.0064046 -0.0456682  0.0030068 -0.0462178 -0.0001358 -0.0000542 -0.0023907 -0.0464868
 20.9885126  0.0062758 -0.0443310  0.0028300 -0.0457524 -0.0001425 -0.0000122 -0.0021734 -0.0458665
 21.2558822  0.0063185 -0.0445289  0.0019172 -0.0448051  0.0000400 -0.0001064 -0.0022073 -0.0451822
 21.5232518  0.0064305 -0.0434923  0.0024401 -0.0444502  0.0002551  0.0001118 -0.0023305 -0.0448101
 21.7906214  0.0055320 -0.0440502  0.0027622 -0.0442215  0.0001032  0.0000507 -0.0019955 -0.0444658
 22.0579910  0.0057098 -0.0433634  0.0021439 -0.0434632 -0.0002074 -0.0000476 -0.0016418 -0.0440277
 22.3253606  0.0059787 -0.0423623  0.0017234 -0.0428064  0.0002170 -0.0000244 -0.0018941 -0.0432699
 22.5927301  0.0050807 -0.0423356  0.0023390 -0.0425585 -0.0000971 -0.0001497 -0.0021626 -0.0423226
