#w_matsubara  g11_Re     g11_Im     g12_Re     g12_Im     g13_Re     g13_Im     g12_nambu_Re     g12_nambu_Im     
 0.1336848  0.0204665 -0.4173057  0.1676860  0.0248638 -0.0387536  0.2201877 -0.0012131 -0.0000325
 0.4010544 -0.0042231 -0.3471943  0.1334325  0.0146880 -0.0177899  0.1358734 -0.0003047  0.0000451
 0.6684240 -0.0107425 -0.3036677  0.1088790  0.0107215 -0.0116637  0.0937181 -0.0001025 -0.0000156
 0.9357936 -0.0111710 -0.2738625  0.0912647  0.0090531 -0.0101225  0.0690929 -0.0000696  0.0001051
 1.2031631 -0.0096493 -0.2510422  0.0784340  0.0084294 -0.0094691  0.0530356  0.0000088  0.0000607
 1.4705327 -0.0074158 -0.2329654  0.0682628  0.0080361 -0.0087342  0.0424987 -0.0001107 -0.0000157
 1.7379023 -0.0054129 -0.2183904  0.0602934  0.0078366 -0.0085143  0.0344482 -0.0000049 -0.0000778
 2.0052719 -0.0021599 -0.2056363  0.0539239  0.0080342 -0.0083773  0.0285018 -0.0000032 -0.0001057
 2.2726415 -0.0003889 -0.1950984  0.0482455  0.0074950 -0.0081225  0.0233654  0.0000161 -0.0000482
 2.5400111  0.0014422 -0.1860514  0.0439470  0.0073355 -0.0073485  0.0202960  0.0000892  0.0000343
 2.8073807  0.0029418 -0.1782542  0.0398876  0.0070223 -0.0067773  0.0174610  0.0000880 -0.0000756
 3.0747503  0.0046098 -0.1706472  0.0364937  0.0067473 -0.0063814  0.0148291 -0.0000529 -0.0000790
 3.3421198  0.0060380 -0.1646868  0.0335291  0.0064240 -0.0059564  0.0132796 -0.0000314 -0.0001195
 3.6094894  0.0065197 -0.1583638  0.0313127  0.0059406 -0.0054988  0.0116870 -0.0000243 -0.0000112
 3.8768590  0.0076747 -0.1525922  0.0286903  0.0057505 -0.0054587  0.0103119 -0.0000372 -0.0000039
 4.1442286  0.0082838 -0.1482997  0.0265910  0.0051812 -0.0048357  0.0093299  0.0000023 -0.0000082
 4.4115982  0.0087287 -0.1428749  0.0246364  0.0049757 -0.0046097  0.0077428  0.0000244 -0.0001017
 4.6789678  0.0089354 -0.1387243  0.0232059  0.0046216 -0.0041075  0.0072950  0.0000055 -0.0000605
 4.9463374  0.0089816 -0.1342756  0.0214931  0.0044436 -0.0040022  0.0065124  0.0000479 -0.0000289
 5.2137070  0.0095847 -0.1306606  0.0202157  0.0040364 -0.0038003  0.0057761  0.0000185 -0.0000084
 5.4810765  0.0095595 -0.1269717  0.0189262  0.0037076 -0.0033884  0.0052286  0.0000268 -0.0000172
 5.7484461  0.0095403 -0.1234795  0.0179440  0.0036523 -0.0030030  0.0049404  0.0000156 -0.0000233
 6.0158157  0.0095789 -0.1202390  0.0169042  0.0033333 -0.0029533  0.0045283  0.0000096  0.0000740
 6.2831853  0.0096578 -0.1170447  0.0159399  0.0032224 -0.0027740  0.0041003  0.0000223  0.0000261
 6.5505549  0.0092424 -0.1142318  0.0151438  0.0029663 -0.0027305  0.0038556 -0.0000216  0.0000261
 6.8179245  0.0092659 -0.1112767  0.0142349  0.0029158 -0.0025731  0.0035397 -0.0000519 -0.0000020
 7.0852941  0.0088653 -0.1085136  0.0136052  0.0028132 -0.0022562  0.0030426 -0.0001096 -0.0000801
 7.3526637  0.0088861 -0.1058578  0.0128224  0.0025000 -0.0019195  0.0027558 -0.0001316 -0.0000880
 7.6200332  0.0085354 -0.1035311  0.0121087  0.0022697 -0.0017645  0.0025112 -0.0000098 -0.0000292
