#w_matsubara  g11_Re     g11_Im     g12_Re     g12_Im     g13_Re     g13_Im     g12_nambu_Re     g12_nambu_Im     
 0.1336848 -0.1715204 -0.7450781  0.2237575  0.0983763  0.0161151 -0.0220359  0.0011739 -0.0001866
 0.4010544 -0.1483407 -0.6490321  0.1654099  0.0723045  0.0065693 -0.0096676  0.0003162  0.0000085
 0.6684240 -0.1289849 -0.5831286  0.1299192  0.0620249  0.0044576 -0.0055367  0.0000622 -0.0000670
 0.9357936 -0.1106483 -0.5332006  0.1065405  0.0566313  0.0033723 -0.0033728  0.0000475 -0.0001049
 1.2031631 -0.0947463 -0.4942817  0.0898557  0.0528175  0.0026387 -0.0021370 -0.0000229  0.0000336
 1.4705327 -0.0802046 -0.4621757  0.0772141  0.0501355  0.0021728 -0.0013502  0.0000299  0.0000457
 1.7379023 -0.0680761 -0.4359792  0.0675683  0.0480684  0.0017591 -0.0008230 -0.0001448  0.0000061
 2.0052719 -0.0562460 -0.4134452  0.0595486  0.0460948  0.0014588 -0.0005259 -0.0000138 -0.0000019
 2.2726415 -0.0467327 -0.3936546  0.0529877  0.0441642  0.0012526 -0.0003026  0.0000768 -0.0000474
 2.5400111 -0.0384588 -0.3767057  0.0474721  0.0425680  0.0010064 -0.0001578  0.0001242  0.0000193
 2.8073807 -0.0315913 -0.3614488  0.0426495  0.0411004  0.0008252 -0.0000629 -0.0000599  0.0000345
 3.0747503 -0.0249736 -0.3476661  0.0386705  0.0394854  0.0006830 -0.0000198 -0.0000338 -0.0000606
 3.3421198 -0.0208123 -0.3348145  0.0351942  0.0379246  0.0006231  0.0001067  0.0000807  0.0000252
 3.6094894 -0.0155085 -0.3234739  0.0324092  0.0367588  0.0004987  0.0001346  0.0000355 -0.0000232
 3.8768590 -0.0119127 -0.3129040  0.0295827  0.0354938  0.0003950  0.0000872 -0.0000124 -0.0000923
 4.1442286 -0.0086462 -0.3017604  0.0271371  0.0341521  0.0004303  0.0001170 -0.0000311  0.0000165
 4.4115982 -0.0056344 -0.2928125  0.0251382  0.0329489  0.0003232  0.0001074  0.0000092  0.0000768
 4.6789678 -0.0035114 -0.2840478  0.0231063  0.0319903  0.0002568  0.0001030  0.0000088 -0.0000097
 4.9463374 -0.0019797 -0.2753271  0.0215273  0.0308455  0.0002426  0.0001126 -0.0000296  0.0000083
 5.2137070  0.0001050 -0.2680027  0.0197650  0.0300641  0.0002017  0.0000583  0.0000705 -0.0000278
 5.4810765  0.0013379 -0.2601012  0.0185606  0.0289802  0.0001908  0.0001034  0.0000228  0.0000381
 5.7484461  0.0025273 -0.2533984  0.0173398  0.0280661  0.0001460  0.0000737 -0.0000335  0.0000670
 6.0158157  0.0030763 -0.2459650  0.0160702  0.0269692  0.0001431  0.0000466  0.0000802  0.0001037
 6.2831853  0.0037313 -0.2398223  0.0151300  0.0263328  0.0000932  0.0000977  0.0000091 -0.0000107
 6.5505549  0.0042350 -0.2336406  0.0142259  0.0254448  0.0000913  0.0000943 -0.0000714 -0.0000198
 6.8179245  0.0052606 -0.2279525  0.0131939  0.0247619  0.0000819  0.0000276  0.0000841  0.0000286
 7.0852941  0.0053772 -0.2220161  0.0124354  0.0240874  0.0000657  0.0000809 -0.0000156 -0.0000110
 7.3526637  0.0057607 -0.2171339  0.0117748  0.0234014  0.0000734  0.0000084 -0.0000156  0.0000243
 7.6200332  0.0061252 -0.2115560  0.0110839  0.0229552  0.0000360  0.0000464 -0.0000571  0.0000060
 7.8874028  0.0061048 -0.2060688  0.0104810  0.0220208  0.0001234  0.0000633  0.0000207 -0.0000689
 8.1547724  0.0058446 -0.2025798  0.0101262  0.0216308  0.0000291  0.0001179  0.0000709 -0.0000019
 8.4221420  0.0063865 -0.1976601  0.0093739  0.0211836  0.0000182  0.0000407 -0.0001178  0.0000824
 8.6895116  0.0065800 -0.1931218  0.0088975  0.0203694  0.0000814  0.0000124 -0.0000668 -0.0000128
 8.9568812  0.0069474 -0.1889707  0.0083723  0.0199323  0.0000827  0.0000025  0.0000457 -0.0001170
 9.2242508  0.0062021 -0.1853541  0.0082341  0.0195716 -0.0000046  0.0000357  0.0000391 -0.0000756
 9.4916204  0.0071192 -0.1816972  0.0075655  0.0192137 -0.0000476 -0.0000466 -0.0000033 -0.0000367
 9.7589899  0.0068494 -0.1772522  0.0072657  0.0187498  0.0000100 -0.0000315 -0.0000134  0.0000497
 10.0263595  0.0066483 -0.1738453  0.0067742  0.0182854  0.0000199  0.0000023 -0.0000685 -0.0001111
 10.2937291  0.0064887 -0.1705171  0.0066284  0.0178221  0.0000405  0.0000325 -0.0000012 -0.0000430
 10.5610987  0.0066517 -0.1666256  0.0062538  0.0175088  0.0000409 -0.0000201  0.0000385  0.0000566
 10.8284683  0.0056431 -0.1643077  0.0060750  0.0170831 -0.0000053  0.0000333 -0.0000168  0.0000560
 11.0958379  0.0062479 -0.1608922  0.0057097  0.0167493  0.0000250  0.0000120  0.0000358  0.0000698
 11.3632075  0.0062654 -0.1576096  0.0055122  0.0162985  0.0000012  0.0000219  0.0000118  0.0000463
 11.6305771  0.0059305 -0.1547365  0.0053542  0.0159101 -0.0000009  0.0000325 -0.0000349 -0.0000558
 11.8979466  0.0057850 -0.1522554  0.0050929  0.0157762 -0.0000192  0.0000124  0.0000146  0.0000063
 12.1653162  0.0061174 -0.1491491  0.0051077  0.0153419  0.0000224  0.0000316  0.0000365 -0.0000186
 12.4326858  0.0062090 -0.1463260  0.0045905  0.0151909  0.0000020 -0.0000275  0.0000163 -0.0000265
 12.7000554  0.0059259 -0.1441381  0.0044992  0.0149296  0.0000294  0.0000194 -0.0000029  0.0000791
 12.9674250  0.0052416 -0.1412779  0.0044522  0.0144640  0.0000278  0.0000451 -0.0000093  0.0000051
 13.2347946  0.0053680 -0.1393227  0.0043097  0.0143168 -0.0000282  0.0000341 -0.0000534  0.0000276
 13.5021642  0.0052801 -0.1366716  0.0041224  0.0141312  0.0000086  0.0000065 -0.0000605  0.0000662
 13.7695338  0.0056018 -0.1353095  0.0037993  0.0138627 -0.0000510 -0.0000462  0.0000044 -0.0000120
 14.0369033  0.0048948 -0.1329727  0.0037100  0.0134641  0.0000114 -0.0000220  0.0000400  0.0000817
 14.3042729  0.0044518 -0.1304936  0.0034999  0.0133956 -0.0000694  0.0000422 -0.0000002  0.0001034
 14.5716425  0.0042393 -0.1278714  0.0034120  0.0130576  0.0000079  0.0000075  0.0000521 -0.0000027
 14.8390121  0.0048256 -0.1256348  0.0032715  0.0129293  0.0000096 -0.0000182  0.0000532 -0.0000383
 15.1063817  0.0045991 -0.1237896  0.0032033  0.0127941  0.0000112 -0.0000434  0.0000519 -0.0000611
 15.3737513  0.0042989 -0.1227551  0.0032473  0.0123051  0.0000124  0.0000144  0.0000125  0.0000713
 15.6411209  0.0044341 -0.1205257  0.0029573  0.0120840  0.0000442 -0.0000157 -0.0000021  0.0000032
 15.9084905  0.0042014 -0.1193735  0.0030927  0.0121114 -0.0000094  0.0000253  0.0000552 -0.0000686
 16.1758600  0.0039894 -0.1170876  0.0029062  0.0119367  0.0000072  0.0000102 -0.0001044 -0.0000149
 16.4432296  0.0035430 -0.1155069  0.0026815  0.0116901  0.0000550 -0.0000025 -0.0000475  0.0000333
 16.7105992  0.0043153 -0.1137149  0.0025116  0.0115553 -0.0000034 -0.0000151  0.0000313  0.0000434
 16.9779688  0.0035322 -0.1118801  0.0024381  0.0113753  0.0000192  0.0000173 -0.0000684 -0.0000133
 17.2453384  0.0029201 -0.1108258  0.0024071  0.0111126  0.0000172  0.0000260 -0.0000241  0.0000211
 17.5127080  0.0034760 -0.1086916  0.0023429  0.0110847  0.0000471 -0.0000004  0.0000781  0.0000328
 17.7800776  0.0040658 -0.1082998  0.0024798  0.0111166 -0.0000270  0.0000067 -0.0000041 -0.0000077
 18.0474472  0.0039195 -0.1064150  0.0023712  0.0107324 -0.0000037  0.0000070 -0.0000233  0.0000156
 18.3148167  0.0033583 -0.1048513  0.0021485  0.0104855  0.0000500  0.0000029  0.0000040  0.0000292
 18.5821863  0.0033369 -0.1040728  0.0021532  0.0104094 -0.0000005  0.0000096  0.0001032  0.0000019
 18.8495559  0.0030890 -0.1028196  0.0020634  0.0104729 -0.0000226 -0.0000124 -0.0000348  0.0000567
 19.1169255  0.0034263 -0.1013662  0.0020714  0.0105156 -0.0000449  0.0000175 -0.0000982 -0.0000072
 19.3842951  0.0031539 -0.0992558  0.0020557  0.0099817  0.0000687  0.0000078 -0.0000028 -0.0001326
 19.6516647  0.0027024 -0.0986057  0.0021534  0.0099072  0.0000284  0.0000786  0.0000867  0.0000187
 19.9190343  0.0035892 -0.0973308  0.0019974  0.0097892 -0.0000005 -0.0000049  0.0000038  0.0000035
 20.1864039  0.0032790 -0.0959455  0.0016761  0.0096902  0.0000060  0.0000159 -0.0000299  0.0000775
 20.4537734  0.0029444 -0.0949816  0.0017207  0.0097214 -0.0000150  0.0000508  0.0000768  0.0000278
 20.7211430  0.0033876 -0.0935304  0.0017733  0.0092734  0.0000364 -0.0000266 -0.0000919 -0.0000244
 20.9885126  0.0031737 -0.0929755  0.0018188  0.0093658 -0.0000417 -0.0000245 -0.0000901 -0.0000141
 21.2558822  0.0026646 -0.0914078  0.0016186  0.0092001  0.0000141  0.0000168  0.0001165 -0.0000246
 21.5232518  0.0028280 -0.0904607  0.0016823  0.0091775  0.0000162  0.0000001  0.0000287 -0.0000165
 21.7906214  0.0025984 -0.0894931  0.0015775  0.0091003 -0.0000274  0.0000386 -0.0000941 -0.0000397
 22.0579910  0.0030466 -0.0887361  0.0015419  0.0090081 -0.0000565 -0.0000193 -0.0000023 -0.0000501
 22.3253606  0.0028084 -0.0874558  0.0016430  0.0087802 -0.0000401  0.0000217  0.0000699  0.0000220
 22.5927301  0.0029432 -0.0864613  0.0016031  0.0086986 -0.0000145 -0.0000275 -0.0000054  0.0001273
 22.8600997  0.0028219 -0.0855105  0.0014476  0.0086049  0.0000235 -0.0000551 -0.0000331  0.0000640
 23.1274693  0.0022011 -0.0845788  0.0015054  0.0084219  0.0000369  0.0000208  0.0000167  0.0000114
 23.3948389  0.0023794 -0.0843258  0.0014050  0.0085910 -0.0000605 -0.0000211  0.0000209 -0.0000422
 23.6622085  0.0024361 -0.0824942  0.0013866  0.0082291  0.0000590  0.0000167 -0.0000212 -0.0000337
 23.9295781  0.0020264 -0.0813973  0.0014628  0.0081235  0.0000389  0.0000065 -0.0000284 -0.0000438
 24.1969477  0.0023039 -0.0805145  0.0014322  0.0080928  0.0000666  0.0000106  0.0000254 -0.0000281
 24.4643173  0.0030612 -0.0808469  0.0014324  0.0082613 -0.0000900 -0.0000285  0.0000011  0.0000143
 24.7316868  0.0021617 -0.0795957  0.0012322  0.0078516  0.0000158  0.0000330 -0.0000586  0.0000200
 24.9990564  0.0017461 -0.0792806  0.0012621  0.0079474 -0.0000390 -0.0000091 -0.0000959  0.0000015
 25.2664260  0.0025232 -0.0781294  0.0012174  0.0079891 -0.0000422 -0.0000157  0.0000268 -0.0000480
 25.5337956  0.0024691 -0.0771228  0.0011390  0.0077346  0.0000242 -0.0000390  0.0000573  0.0000258
 25.8011652  0.0019751 -0.0767581  0.0013504  0.0076592 -0.0000254  0.0000410  0.0000425  0.0000395
 26.0685348  0.0021970 -0.0758108  0.0011827  0.0077105 -0.0000327  0.0000006  0.0000268  0.0000558
 26.3359044  0.0018092 -0.0750182  0.0011106  0.0075450 -0.0000254  0.0000137 -0.0000270  0.0000170
 26.6032740  0.0020866 -0.0744375  0.0011547  0.0073909 -0.0000451 -0.0000070  0.0000359 -0.0000643
 26.8706435  0.0023170 -0.0735368  0.0010614  0.0072809  0.0000372 -0.0000327  0.0000395  0.0000286
 27.1380131  0.0016414 -0.0732350  0.0010797  0.0072874 -0.0000281  0.0000192  0.0000490  0.0000083
 27.4053827  0.0013941 -0.0721381  0.0011032  0.0071732 -0.0000308 -0.0000033 -0.0000084  0.0000400
 27.6727523  0.0016764 -0.0709453  0.0010642  0.0070315  0.0000731  0.0000374 -0.0001269 -0.0000573
 27.9401219  0.0020234 -0.0708178  0.0010958  0.0070760  0.0000015 -0.0000218  0.0000445  0.0000069
 28.2074915  0.0019207 -0.0690510  0.0010170  0.0070201  0.0000468 -0.0000216  0.0000945  0.0000631
 28.4748611  0.0022478 -0.0697741  0.0008706  0.0070868 -0.0000549 -0.0000323 -0.0001849  0.0000625
 28.7422307  0.0014043 -0.0685813  0.0012019  0.0067085  0.0000112  0.0000285 -0.0000082  0.0000313
 29.0096002  0.0019201 -0.0683130  0.0011109  0.0067236 -0.0000175 -0.0000187 -0.0000332  0.0000260
 29.2769698  0.0014959 -0.0680890  0.0011582  0.0068332 -0.0000436  0.0000280  0.0000951 -0.0001027
