#iter  k
1 43.8409816
2 43.7177447
3 43.7726905
4 43.7974788
5 43.7989503
6 43.7952636
7 43.7999180
8 43.8019067
9 43.7638228
10 43.7990003
11 43.7982398
12 43.7625864
13 43.7467288
14 43.7311746
15 43.7420418
16 43.8036260
17 43.8667658
18 43.8310857
19 43.8300350
20 43.8180345
21 43.8575846
22 43.8510865
23 43.8069479
24 43.8100812
25 43.8345427
26 43.8015051
27 43.8297418
28 43.8716650
29 43.8606280
30 43.8551571
31 43.8123922
32 43.8094560
33 43.8155177
34 43.7468194
35 43.7285235
36 43.7703018
37 43.7702099
38 43.7589034
39 43.7790421
40 43.7688056
41 43.7909182
42 43.7952197
43 43.7627576
44 43.8011197
45 43.8256633
46 43.8346272
47 43.8118490
48 43.8114575
49 43.8146221
50 43.8389340
51 43.8349281
52 43.8262924
53 43.8205856
54 43.8272374
55 43.8430222
56 43.8572738
57 43.8087872
58 43.7887033
59 43.8094737
60 43.8424078
61 43.8327795
62 43.8609479
63 43.8188735
64 43.8396847
65 43.8373336
65 43.8750481
66 43.8463180
67 43.8463206
68 43.8068206
69 43.7801722
70 43.7873532
71 43.7929217
72 43.7852362
73 43.7945415
74 43.8000675
75 43.8034720
76 43.8163839
77 43.8123756
78 43.7845986
79 43.7252922
80 43.7211551
81 43.7446976
82 43.7840144
83 43.7957767
84 43.7999328
85 43.8241920
86 43.8244019
87 43.8538482
88 43.8105185
89 43.7822275
90 43.7743965
91 43.7834061
92 43.7901490
93 43.8035977
94 43.8233508
95 43.8515707
96 43.8317994
97 43.8243274
98 43.8279688
99 43.7996670
100 43.7409146
101 43.7523727
102 43.7720500
103 43.7471806
104 43.7187670
105 43.7299638
106 43.7299617
107 43.8088423
108 43.8601517
109 43.8423402
110 43.8016113
111 43.7943542
112 43.8272584
113 43.8191780
114 43.7994993
115 43.8434776
116 43.8179750
117 43.7948350
118 43.7893005
119 43.8121637
120 43.8174788
121 43.8114424
122 43.8378762
123 43.8023180
124 43.8261339
125 43.8632633
126 43.8294938
127 43.8134914
128 43.8020707
