#iter    mu
1 5.6500000
2 5.6500000
3 5.6500000
4 5.6500000
5 5.6500000
6 5.6500000
7 5.6500000
8 5.6500000
9 5.6500000
10 5.6500000
11 5.6500000
12 5.6500000
13 5.6500000
14 5.6500000
15 5.6500000
16 5.6500000
17 5.6500000
18 5.6500000
19 5.6500000
20 5.6500000
21 5.6500000
22 5.6500000
23 5.6500000
24 5.6500000
25 5.6500000
26 5.6500000
27 5.6500000
28 5.6500000
29 5.6500000
30 5.6500000
31 5.6500000
32 5.6500000
33 5.6500000
34 5.6500000
35 5.6500000
36 5.6500000
37 5.6500000
38 5.6500000
39 5.6500000
40 5.6500000
41 5.6500000
42 5.6500000
43 5.6500000
44 5.6500000
45 5.6500000
46 5.6500000
47 5.6500000
48 5.6500000
49 5.6500000
50 5.6500000
51 5.6500000
52 5.6500000
53 5.6500000
54 5.6500000
55 5.6500000
56 5.6500000
57 5.6500000
58 5.6500000
59 5.6500000
60 5.6500000
61 5.6500000
62 5.6500000
63 5.6500000
64 5.6500000
65 5.6500000
65 5.6500000
66 5.6500000
67 5.6500000
68 5.6500000
69 5.6500000
70 5.6500000
71 5.6500000
72 5.6500000
73 5.6500000
74 5.6500000
75 5.6500000
76 5.6500000
77 5.6500000
78 5.6500000
79 5.6500000
80 5.6500000
81 5.6500000
82 5.6500000
83 5.6500000
84 5.6500000
85 5.6500000
86 5.6500000
87 5.6500000
88 5.6500000
89 5.6500000
90 5.6500000
91 5.6500000
92 5.6500000
93 5.6500000
94 5.6500000
95 5.6500000
96 5.6500000
97 5.6500000
98 5.6500000
99 5.6500000
100 5.6500000
101 5.6500000
102 5.6500000
103 5.6500000
104 5.6500000
105 5.6500000
106 5.6500000
107 5.6500000
108 5.6500000
109 5.6500000
110 5.6500000
111 5.6500000
112 5.6500000
113 5.6500000
114 5.6500000
115 5.6500000
116 5.6500000
117 5.6500000
118 5.6500000
119 5.6500000
120 5.6500000
121 5.6500000
122 5.6500000
123 5.6500000
124 5.6500000
125 5.6500000
126 5.6500000
127 5.6500000
128 5.6500000
