#w_matsubara  g11_Re     g11_Im     g12_Re     g12_Im     g13_Re     g13_Im     g12_nambu_Re     g12_nambu_Im     
 0.1336848  5.5731129 -0.5252137 -0.3475410 -0.0671380 -0.2168564  0.1658369  0.0015182  0.0000105
 0.4010544  5.6241924 -0.8964579 -0.3331266 -0.1347241 -0.2208160  0.1293832  0.0007853  0.0000403
 0.6684240  5.6520303 -1.1630580 -0.3295069 -0.1801904 -0.2187342  0.1052087  0.0005636 -0.0001976
 0.9357936  5.6592313 -1.3660103 -0.3287475 -0.2098702 -0.2142729  0.0853072  0.0003879  0.0001519
 1.2031631  5.6524200 -1.5222733 -0.3239042 -0.2306908 -0.1951153  0.0725237  0.0003591  0.0007708
 1.4705327  5.6271413 -1.6353716 -0.3239900 -0.2398860 -0.1817534  0.0709068  0.0005293  0.0010281
 1.7379023  5.5924201 -1.7261373 -0.3216430 -0.2387029 -0.1706569  0.0645201  0.0004126  0.0021137
 2.0052719  5.5538187 -1.7961456 -0.3099655 -0.2373686 -0.1503740  0.0507727 -0.0000765  0.0011909
 2.2726415  5.5079902 -1.8355477 -0.3123612 -0.2362580 -0.1420218  0.0415324  0.0000883  0.0003788
 2.5400111  5.4487064 -1.8766070 -0.3082431 -0.2260453 -0.1305026  0.0508162 -0.0007739 -0.0000398
 2.8073807  5.4086863 -1.8990397 -0.3055094 -0.2165345 -0.1117075  0.0464385  0.0007112  0.0003341
 3.0747503  5.3475270 -1.9106430 -0.2906204 -0.2034180 -0.0869256  0.0342930 -0.0034829 -0.0013493
 3.3421198  5.3006279 -1.8825640 -0.2880799 -0.1819324 -0.0900302  0.0273115  0.0009754 -0.0000279
 3.6094894  5.2525005 -1.8882220 -0.2843912 -0.1849966 -0.0803784  0.0326796 -0.0003658 -0.0003892
 3.8768590  5.2111856 -1.8755702 -0.2667358 -0.1651816 -0.0692449  0.0436431 -0.0015050  0.0019569
 4.1442286  5.1680583 -1.8610071 -0.2631775 -0.1461214 -0.0621739  0.0426468 -0.0027192  0.0008959
 4.4115982  5.1397612 -1.8297673 -0.2575430 -0.1500709 -0.0674829  0.0347862 -0.0006574  0.0007496
 4.6789678  5.1026672 -1.8214449 -0.2437429 -0.1369245 -0.0597565  0.0141632  0.0039908  0.0020543
 4.9463374  5.0653476 -1.7764612 -0.2344310 -0.1133841 -0.0539735  0.0474480 -0.0004346 -0.0007486
 5.2137070  5.0244462 -1.7698421 -0.2267729 -0.1189443 -0.0514657  0.0275214 -0.0024167 -0.0006297
 5.4810765  4.9960017 -1.7360929 -0.2041343 -0.1095326 -0.0392443  0.0353073  0.0000130  0.0005994
 5.7484461  4.9587031 -1.7164622 -0.2096527 -0.0941321 -0.0432980  0.0238019  0.0013487  0.0043389
 6.0158157  4.9214039 -1.6457051 -0.2030267 -0.0643911 -0.0309966  0.0500129 -0.0038843  0.0009776
