#w_matsubara  SzSz   
 0.0000000  1.5256918
 0.2731820  0.7036706
 0.5463639  0.4191568
 0.8195459  0.2816286
 1.0927279  0.2045515
 1.3659098  0.1562911
 1.6390918  0.1236539
 1.9122738  0.1005610
 2.1854558  0.0839786
 2.4586377  0.0711277
 2.7318197  0.0611706
 3.0050017  0.0531788
 3.2781836  0.0467837
 3.5513656  0.0414815
 3.8245476  0.0371532
 4.0977295  0.0333288
 4.3709115  0.0301754
 4.6440935  0.0274612
 4.9172755  0.0251186
 5.1904574  0.0230666
 5.4636394  0.0212275
 5.7368214  0.0196466
 6.0100033  0.0181504
 6.2831853  0.0169146
 6.5563673  0.0157962
 6.8295492  0.0147687
 7.1027312  0.0138298
 7.3759132  0.0130052
 7.6490952  0.0122002
 7.9222771  0.0115036
 8.1954591  0.0108764
 8.4686411  0.0102738
 8.7418230  0.0097405
 9.0150050  0.0092282
 9.2881870  0.0087603
 9.5613689  0.0083484
 9.8345509  0.0079431
 10.1077329  0.0075625
 10.3809149  0.0072184
 10.6540968  0.0068841
 10.9272788  0.0066044
 11.2004608  0.0063150
 11.4736427  0.0060621
 11.7468247  0.0058001
 12.0200067  0.0055828
 12.2931886  0.0053498
 12.5663706  0.0051479
 12.8395526  0.0049546
 13.1127346  0.0047670
 13.3859165  0.0045962
 13.6590985  0.0044319
 13.9322805  0.0042689
 14.2054624  0.0041190
 14.4786444  0.0039841
 14.7518264  0.0038449
 15.0250083  0.0037198
 15.2981903  0.0035950
 15.5713723  0.0034838
 15.8445543  0.0033765
 16.1177362  0.0032705
 16.3909182  0.0031662
 16.6641002  0.0030727
 16.9372821  0.0029790
 17.2104641  0.0028951
 17.4836461  0.0028132
 17.7568280  0.0027333
 18.0300100  0.0026572
 18.3031920  0.0025798
 18.5763740  0.0025115
 18.8495559  0.0024404
 19.1227379  0.0023761
 19.3959199  0.0023122
 19.6691018  0.0022483
 19.9422838  0.0021904
 20.2154658  0.0021425
 20.4886477  0.0020881
 20.7618297  0.0020339
 21.0350117  0.0019833
 21.3081937  0.0019334
 21.5813756  0.0018869
 21.8545576  0.0018516
 22.1277396  0.0018028
 22.4009215  0.0017596
 22.6741035  0.0017197
 22.9472855  0.0016834
 23.2204674  0.0016412
 23.4936494  0.0016077
 23.7668314  0.0015734
 24.0400133  0.0015371
 24.3131953  0.0015069
 24.5863773  0.0014731
 24.8595593  0.0014419
 25.1327412  0.0014117
 25.4059232  0.0013839
 25.6791052  0.0013533
 25.9522871  0.0013257
 26.2254691  0.0013014
 26.4986511  0.0012755
 26.7718330  0.0012517
 27.0450150  0.0012244
 27.3181970  0.0012047
 27.5913790  0.0011806
 27.8645609  0.0011575
 28.1377429  0.0011351
 28.4109249  0.0011173
 28.6841068  0.0010935
 28.9572888  0.0010748
 29.2304708  0.0010540
 29.5036527  0.0010367
 29.7768347  0.0010168
 30.0500167  0.0010007
 30.3231987  0.0009839
 30.5963806  0.0009651
 30.8695626  0.0009486
 31.1427446  0.0009340
 31.4159265  0.0009166
 31.6891085  0.0009007
 31.9622905  0.0008859
 32.2354724  0.0008724
 32.5086544  0.0008589
 32.7818364  0.0008461
 33.0550184  0.0008310
 33.3282003  0.0008167
 33.6013823  0.0008038
 33.8745643  0.0007918
 34.1477462  0.0007772
 34.4209282  0.0007672
 34.6941102  0.0007555
 34.9672921  0.0007416
 35.2404741  0.0007313
 35.5136561  0.0007229
 35.7868381  0.0007115
 36.0600200  0.0007002
 36.3332020  0.0006896
 36.6063840  0.0006790
 36.8795659  0.0006701
 37.1527479  0.0006587
 37.4259299  0.0006530
 37.6991118  0.0006416
 37.9722938  0.0006332
 38.2454758  0.0006258
 38.5186578  0.0006150
 38.7918397  0.0006067
 39.0650217  0.0005969
 39.3382037  0.0005909
 39.6113856  0.0005844
 39.8845676  0.0005745
