#w_matsubara  g11_Re     g11_Im     g12_Re     g12_Im     g13_Re     g13_Im     g12_nambu_Re     g12_nambu_Im     
 0.1365910 -0.1714161 -0.7428525  0.2224681  0.0975530  0.0155825 -0.0217534  0.0161029  0.0001364
 0.4097730 -0.1480381 -0.6454628  0.1636492  0.0718410  0.0063396 -0.0093850  0.0029770  0.0000275
 0.6829549 -0.1282112 -0.5786231  0.1282850  0.0616825  0.0043103 -0.0053357  0.0010421  0.0000123
 0.9561369 -0.1095707 -0.5287959  0.1050090  0.0562224  0.0032705 -0.0031993  0.0004962  0.0000311
 1.2293189 -0.0927507 -0.4899764  0.0884586  0.0526599  0.0026246 -0.0020424  0.0002829 -0.0000657
 1.5025008 -0.0784575 -0.4581258  0.0759656  0.0497256  0.0021432 -0.0012653  0.0001779  0.0001149
 1.7756828 -0.0658692 -0.4322113  0.0661299  0.0476967  0.0017435 -0.0007830  0.0000710 -0.0001167
 2.0488648 -0.0545789 -0.4095204  0.0583599  0.0454821  0.0014612 -0.0004594  0.0000043  0.0001257
 2.3220467 -0.0451395 -0.3903416  0.0518871  0.0438447  0.0011475 -0.0002117 -0.0000122  0.0000455
 2.5952287 -0.0373199 -0.3731837  0.0465063  0.0422012  0.0009718 -0.0000796  0.0001036 -0.0000158
 2.8684107 -0.0296150 -0.3583042  0.0418167  0.0406575  0.0008135 -0.0000101  0.0000117 -0.0000324
 3.1415927 -0.0238552 -0.3441748  0.0380264  0.0390288  0.0007048  0.0000688  0.0001351 -0.0000099
 3.4147746 -0.0182784 -0.3311701  0.0345695  0.0376224  0.0005864  0.0001023  0.0000509 -0.0000163
 3.6879566 -0.0142837 -0.3199605  0.0315789  0.0361530  0.0004569  0.0000949  0.0001190 -0.0000017
 3.9611386 -0.0104541 -0.3088618  0.0288082  0.0349275  0.0004309  0.0000947 -0.0000772  0.0000182
 4.2343205 -0.0081691 -0.2990100  0.0265897  0.0338451  0.0003384  0.0001675  0.0001264  0.0000694
 4.5075025 -0.0057734 -0.2895895  0.0244646  0.0325391  0.0003022  0.0001300  0.0000271  0.0000333
 4.7806845 -0.0027419 -0.2807621  0.0224925  0.0314402  0.0002515  0.0000832  0.0000707 -0.0000758
 5.0538664 -0.0016719 -0.2723922  0.0211221  0.0304886  0.0002114  0.0001647 -0.0001010 -0.0000184
 5.3270484  0.0000331 -0.2649254  0.0194541  0.0294361  0.0001773  0.0001526 -0.0000749  0.0000875
 5.6002304  0.0016524 -0.2569359  0.0180708  0.0284010  0.0001779  0.0001058 -0.0000082  0.0000120
 5.8734124  0.0031344 -0.2494195  0.0165874  0.0273466  0.0001952  0.0000479 -0.0000802  0.0000215
 6.1465943  0.0038554 -0.2436895  0.0156750  0.0267490  0.0000949  0.0000748  0.0000247  0.0000235
 6.4197763  0.0037836 -0.2371183  0.0148067  0.0260326  0.0000440  0.0001439  0.0000314 -0.0000279
 6.6929583  0.0045433 -0.2305057  0.0138389  0.0251941  0.0000751  0.0000704 -0.0000046 -0.0000732
 6.9661402  0.0053746 -0.2241985  0.0130853  0.0244985  0.0000879  0.0000636 -0.0000362  0.0000315
 7.2393222  0.0057111 -0.2195388  0.0121441  0.0236354  0.0000678  0.0000644 -0.0000402  0.0000592
 7.5125042  0.0058510 -0.2141174  0.0113687  0.0230117  0.0000444  0.0000495  0.0001158  0.0000629
 7.7856861  0.0057073 -0.2090558  0.0109513  0.0223539  0.0000343  0.0001211 -0.0000092  0.0000342
 8.0588681  0.0058634 -0.2037294  0.0102737  0.0218525  0.0000092  0.0000820  0.0001285 -0.0001331
 8.3320501  0.0059458 -0.1990368  0.0096237  0.0212513  0.0000153  0.0000544  0.0000704 -0.0000715
 8.6052321  0.0059856 -0.1946712  0.0092604  0.0208225 -0.0000106  0.0001025 -0.0000511 -0.0000999
 8.8784140  0.0066966 -0.1904633  0.0086541  0.0200987  0.0000143  0.0000602 -0.0000567  0.0000090
 9.1515960  0.0063782 -0.1862298  0.0083490  0.0196519  0.0000555  0.0000720 -0.0000707  0.0000054
