#iter  E
1 -22.5961663
2 -22.5937391
3 -22.5947949
4 -22.5957383
5 -22.5898043
6 -22.5893777
7 -22.5885533
8 -22.5862663
9 -22.5854892
10 -22.5956052
11 -22.5917756
12 -22.5930737
13 -22.5885293
14 -22.5891134
15 -22.5931568
16 -22.5879318
17 -22.5860666
18 -22.5924300
19 -22.5912649
20 -22.5890085
21 -22.5935364
22 -22.5934760
23 -22.5879537
24 -22.5879587
25 -22.5897033
26 -22.5882999
27 -22.5905556
28 -22.5934268
29 -22.5926964
30 -22.5954895
31 -22.6002205
32 -22.5939698
33 -22.5985480
34 -22.5918378
35 -22.5946859
36 -22.5929718
37 -22.5948567
38 -22.5943503
39 -22.5968573
40 -22.5966937
41 -22.5924405
42 -22.6001055
43 -22.5934445
44 -22.5954639
45 -22.5894949
46 -22.5973083
47 -22.5953305
48 -22.5884243
49 -22.5896554
50 -22.5917139
51 -22.5885690
52 -22.5947206
53 -22.5972094
54 -22.5920669
55 -22.5931553
56 -22.5930207
57 -22.5965223
58 -22.5988533
59 -22.5917162
60 -22.5926877
61 -22.5898194
62 -22.5946517
63 -22.5925820
64 -22.5910884
64 -22.5959642
