#iter  Observable_U
1 0.5711094
2 0.5702573
3 0.5704724
4 0.5721327
5 0.5718783
6 0.5707039
7 0.5706777
8 0.5723615
9 0.5710683
10 0.5696572
11 0.5727404
12 0.5716477
13 0.5723321
14 0.5732175
15 0.5708811
16 0.5727757
17 0.5728609
18 0.5713321
19 0.5716148
20 0.5713255
21 0.5708948
22 0.5714272
23 0.5732502
24 0.5722119
25 0.5714463
26 0.5730373
27 0.5714302
28 0.5718788
29 0.5686997
30 0.5704178
31 0.5703589
32 0.5708649
33 0.5695943
34 0.5697331
35 0.5722029
36 0.5714217
37 0.5713441
38 0.5702960
39 0.5691657
40 0.5705949
41 0.5695077
42 0.5700011
43 0.5716940
44 0.5721546
45 0.5706553
46 0.5706282
47 0.5713724
48 0.5730562
49 0.5726133
50 0.5727586
51 0.5715051
52 0.5699208
53 0.5689716
54 0.5704333
55 0.5700689
56 0.5696748
57 0.5705138
58 0.5710866
59 0.5707695
60 0.5714060
61 0.5723766
62 0.5720474
63 0.5702306
64 0.5719443
64 0.5696212
