#iter  Sign
1 0.5569517
2 0.5614697
3 0.5553759
4 0.5619444
5 0.5633328
6 0.5568645
7 0.5596991
8 0.5597069
9 0.5600985
10 0.5627971
11 0.5593391
12 0.5569346
13 0.5581711
14 0.5608556
15 0.5588490
16 0.5588951
17 0.5610083
18 0.5578394
19 0.5563540
20 0.5623268
21 0.5590992
22 0.5588107
23 0.5565338
24 0.5599044
25 0.5573103
26 0.5579961
27 0.5595995
28 0.5599507
29 0.5587528
30 0.5571050
31 0.5614718
32 0.5593157
33 0.5612022
34 0.5605609
35 0.5586783
36 0.5580213
37 0.5601485
38 0.5595287
39 0.5612071
40 0.5584294
41 0.5602498
42 0.5604907
43 0.5603109
44 0.5602212
45 0.5603736
46 0.5619180
47 0.5588412
48 0.5610284
49 0.5603168
50 0.5614646
51 0.5614151
52 0.5592380
53 0.5589038
54 0.5589109
55 0.5613962
56 0.5584079
57 0.5579159
58 0.5588524
59 0.5578982
60 0.5576128
61 0.5583714
62 0.5577093
63 0.5577701
64 0.5580590
64 0.5548371
