#w_matsubara  SzSz   
 0.0000000  1.5199510
 0.2564565  0.7315964
 0.5129131  0.4427278
 0.7693696  0.3011509
 1.0258262  0.2196888
 1.2822827  0.1688969
 1.5387393  0.1342418
 1.7951958  0.1094712
 2.0516523  0.0915073
 2.3081089  0.0777211
 2.5645654  0.0668823
 2.8210220  0.0583183
 3.0774785  0.0513165
 3.3339351  0.0455873
 3.5903916  0.0406647
 3.8468481  0.0367229
 4.1033047  0.0332590
 4.3597612  0.0302918
 4.6162178  0.0277071
 4.8726743  0.0254464
 5.1291309  0.0234564
 5.3855874  0.0216909
 5.6420439  0.0201195
 5.8985005  0.0187356
 6.1549570  0.0174774
 6.4114136  0.0163790
 6.6678701  0.0153299
 6.9243267  0.0143828
 7.1807832  0.0135616
 7.4372398  0.0127853
 7.6936963  0.0121091
 7.9501528  0.0114321
 8.2066094  0.0108158
 8.4630659  0.0102580
 8.7195225  0.0097709
 8.9759790  0.0092831
 9.2324356  0.0088449
 9.4888921  0.0084556
 9.7453486  0.0080629
 10.0018052  0.0076926
 10.2582617  0.0073744
 10.5147183  0.0070708
 10.7711748  0.0067659
 11.0276314  0.0064853
 11.2840879  0.0062322
 11.5405444  0.0059782
 11.7970010  0.0057641
 12.0534575  0.0055360
 12.3099141  0.0053387
 12.5663706  0.0051491
 12.8228272  0.0049470
 13.0792837  0.0047825
 13.3357402  0.0046077
 13.5921968  0.0044652
 13.8486533  0.0043207
 14.1051099  0.0041753
 14.3615664  0.0040460
 14.6180230  0.0039053
 14.8744795  0.0037814
 15.1309360  0.0036749
 15.3873926  0.0035582
 15.6438491  0.0034470
 15.9003057  0.0033482
 16.1567622  0.0032484
 16.4132188  0.0031519
 16.6696753  0.0030611
 16.9261318  0.0029822
 17.1825884  0.0029053
 17.4390449  0.0028171
 17.6955015  0.0027399
 17.9519580  0.0026729
 18.2084146  0.0026011
 18.4648711  0.0025376
 18.7213276  0.0024696
 18.9777842  0.0024144
 19.2342407  0.0023513
 19.4906973  0.0022925
 19.7471538  0.0022326
 20.0036104  0.0021802
 20.2600669  0.0021280
 20.5165235  0.0020806
 20.7729800  0.0020334
 21.0294365  0.0019813
 21.2858931  0.0019355
 21.5423496  0.0018927
 21.7988062  0.0018519
 22.0552627  0.0018125
 22.3117193  0.0017710
 22.5681758  0.0017321
 22.8246323  0.0016979
 23.0810889  0.0016623
 23.3375454  0.0016202
 23.5940020  0.0015924
 23.8504585  0.0015598
 24.1069151  0.0015270
 24.3633716  0.0014995
 24.6198281  0.0014679
 24.8762847  0.0014376
 25.1327412  0.0014116
 25.3891978  0.0013826
 25.6456543  0.0013534
 25.9021109  0.0013305
 26.1585674  0.0013061
 26.4150239  0.0012810
 26.6714805  0.0012581
 26.9279370  0.0012394
 27.1843936  0.0012117
 27.4408501  0.0011887
 27.6973067  0.0011693
 27.9537632  0.0011492
 28.2102197  0.0011317
 28.4666763  0.0011108
 28.7231328  0.0010878
 28.9795894  0.0010735
 29.2360459  0.0010538
 29.4925025  0.0010350
 29.7489590  0.0010179
 30.0054155  0.0010012
 30.2618721  0.0009837
 30.5183286  0.0009711
 30.7747852  0.0009530
 31.0312417  0.0009385
 31.2876983  0.0009256
 31.5441548  0.0009073
 31.8006114  0.0008918
 32.0570679  0.0008818
 32.3135244  0.0008656
 32.5699810  0.0008552
 32.8264375  0.0008401
 33.0828941  0.0008289
 33.3393506  0.0008150
 33.5958072  0.0008040
 33.8522637  0.0007917
 34.1087202  0.0007798
 34.3651768  0.0007696
 34.6216333  0.0007561
 34.8780899  0.0007477
 35.1345464  0.0007356
 35.3910030  0.0007273
 35.6474595  0.0007143
 35.9039160  0.0007060
 36.1603726  0.0006950
 36.4168291  0.0006858
 36.6732857  0.0006761
 36.9297422  0.0006688
 37.1861988  0.0006594
 37.4426553  0.0006483
 37.6991118  0.0006399
 37.9555684  0.0006316
 38.2120249  0.0006257
 38.4684815  0.0006158
 38.7249380  0.0006090
 38.9813946  0.0005986
 39.2378511  0.0005920
 39.4943076  0.0005854
 39.7507642  0.0005777
