#w_matsubara  G1_Re   G1_Im   G2_Re   G2_Im   G3_Re   G3_Im   G4_Re   G4_Im   
 0.1282283  0.3197753 -0.1441806  0.0609243 -0.6422931 -0.0093437  0.0001424 -0.3561253 -0.2463002
 0.3846848  0.2483700 -0.1802369  0.0142847 -0.4897805 -0.0020233  0.0000837 -0.2918262 -0.2399061
 0.6411414  0.1997382 -0.1888365  0.0019310 -0.4043353 -0.0006265 -0.0001206 -0.2446820 -0.2317193
 0.8975979  0.1653471 -0.1869437 -0.0012493 -0.3490520 -0.0001930  0.0002400 -0.2087190 -0.2243719
 1.1540544  0.1412183 -0.1815149 -0.0008364 -0.3102564 -0.0004407  0.0001335 -0.1797456 -0.2158366
 1.4105110  0.1241834 -0.1758469  0.0002353 -0.2813396 -0.0000169  0.0000224 -0.1576768 -0.2080863
 1.6669675  0.1097516 -0.1693960  0.0025477 -0.2578569 -0.0003409  0.0001004 -0.1386029 -0.2010094
 1.9234241  0.0995411 -0.1632567  0.0054499 -0.2392109  0.0000846 -0.0001305 -0.1226877 -0.1945405
 2.1798806  0.0910406 -0.1577306  0.0067824 -0.2243384 -0.0000539  0.0001105 -0.1094338 -0.1882283
 2.4363372  0.0850063 -0.1527895  0.0084586 -0.2120102 -0.0000769  0.0001029 -0.0978185 -0.1823698
 2.6927937  0.0786087 -0.1482021  0.0095529 -0.1998658 -0.0000044  0.0001063 -0.0876738 -0.1766274
 2.9492502  0.0742530 -0.1438035  0.0110535 -0.1902615  0.0000905  0.0000018 -0.0787298 -0.1710127
 3.2057068  0.0701690 -0.1400029  0.0112918 -0.1818138  0.0001147  0.0002064 -0.0705159 -0.1666937
 3.4621633  0.0656324 -0.1366624  0.0127134 -0.1737902  0.0000212 -0.0001018 -0.0638754 -0.1611515
 3.7186199  0.0626552 -0.1329017  0.0128072 -0.1670091 -0.0000826  0.0000293 -0.0580756 -0.1561663
 3.9750764  0.0596372 -0.1299471  0.0127902 -0.1606766  0.0000784 -0.0002804 -0.0533195 -0.1520713
 4.2315330  0.0559415 -0.1269317  0.0128079 -0.1546399  0.0001763 -0.0002275 -0.0488232 -0.1473817
 4.4879895  0.0543846 -0.1237621  0.0128671 -0.1495873  0.0001288  0.0000027 -0.0448025 -0.1433712
 4.7444460  0.0509523 -0.1213359  0.0124954 -0.1445829 -0.0001673 -0.0001583 -0.0406092 -0.1392483
 5.0009026  0.0482312 -0.1190901  0.0131731 -0.1400946 -0.0000207 -0.0000090 -0.0374091 -0.1361119
 5.2573591  0.0461778 -0.1161599  0.0131619 -0.1358549  0.0000629 -0.0001924 -0.0338646 -0.1322242
 5.5138157  0.0448031 -0.1134376  0.0127412 -0.1316562 -0.0000751 -0.0000022 -0.0317966 -0.1291479
 5.7702722  0.0428580 -0.1114204  0.0122669 -0.1278194 -0.0000137 -0.0003885 -0.0291008 -0.1259718
 6.0267288  0.0412462 -0.1093811  0.0121250 -0.1241989 -0.0000396  0.0001237 -0.0271675 -0.1225131
 6.2831853  0.0391349 -0.1067799  0.0119050 -0.1211693 -0.0000348  0.0000777 -0.0246213 -0.1192286
 6.5396419  0.0370929 -0.1046816  0.0120509 -0.1178084  0.0000694 -0.0000120 -0.0235236 -0.1161231
 6.7960984  0.0352309 -0.1028015  0.0110539 -0.1143444 -0.0001593  0.0000695 -0.0218448 -0.1132051
 7.0525549  0.0336062 -0.1000193  0.0112326 -0.1121780 -0.0002927 -0.0001043 -0.0204408 -0.1107714
 7.3090115  0.0320555 -0.0983290  0.0111115 -0.1093448  0.0001830  0.0000373 -0.0191825 -0.1080006
 7.5654680  0.0310100 -0.0958613  0.0108379 -0.1067941  0.0002936 -0.0000220 -0.0170715 -0.1055389
 7.8219246  0.0298404 -0.0942539  0.0097588 -0.1039171  0.0000339  0.0000440 -0.0163299 -0.1037860
 8.0783811  0.0291567 -0.0931506  0.0097471 -0.1018723  0.0000775 -0.0000112 -0.0150750 -0.1012330
 8.3348377  0.0284783 -0.0913890  0.0095104 -0.0991213  0.0000975  0.0000345 -0.0143948 -0.0984155
 8.5912942  0.0263723 -0.0887014  0.0094231 -0.0971850 -0.0000063 -0.0000056 -0.0136914 -0.0963538
 8.8477507  0.0261572 -0.0880164  0.0099689 -0.0952458 -0.0001257 -0.0000301 -0.0129603 -0.0946670
 9.1042073  0.0254155 -0.0865350  0.0091602 -0.0930752 -0.0001939  0.0001215 -0.0119124 -0.0920943
 9.3606638  0.0248558 -0.0844036  0.0091965 -0.0905760  0.0002465 -0.0000933 -0.0114914 -0.0908679
 9.6171204  0.0238012 -0.0831067  0.0082574 -0.0894029  0.0000473  0.0001039 -0.0111957 -0.0891215
 9.8735769  0.0224658 -0.0816228  0.0084624 -0.0878317  0.0000401 -0.0000335 -0.0104443 -0.0866801
 10.1300335  0.0215727 -0.0805732  0.0081116 -0.0856915  0.0000373 -0.0000686 -0.0096169 -0.0851400
 10.3864900  0.0202245 -0.0796780  0.0078146 -0.0843543  0.0001464 -0.0000352 -0.0092593 -0.0837897
 10.6429465  0.0196269 -0.0779891  0.0078068 -0.0825746 -0.0002231  0.0000657 -0.0090909 -0.0825412
 10.8994031  0.0198404 -0.0765728  0.0068115 -0.0803150  0.0001170 -0.0002168 -0.0084371 -0.0807078
 11.1558596  0.0186925 -0.0753526  0.0068077 -0.0793066  0.0001555  0.0000688 -0.0083212 -0.0790354
 11.4123162  0.0174000 -0.0737309  0.0071760 -0.0781377  0.0000569 -0.0002339 -0.0079976 -0.0779141
