#w_matsubara  g11_Re     g11_Im     g12_Re     g12_Im     g13_Re     g13_Im     g12_nambu_Re     g12_nambu_Im     
 0.1282283  0.0217640 -0.4204675  0.1690023  0.0249843 -0.0398994  0.2237050 -0.0036336 -0.0000638
 0.3846848 -0.0035037 -0.3504799  0.1353412  0.0147490 -0.0186727  0.1403260 -0.0008397  0.0000127
 0.6411414 -0.0102549 -0.3077520  0.1111837  0.0106728 -0.0124287  0.0966847 -0.0003072  0.0000724
 0.8975979 -0.0115518 -0.2773769  0.0934959  0.0090386 -0.0098811  0.0717767 -0.0001323  0.0001031
 1.1540544 -0.0100016 -0.2547638  0.0805326  0.0083365 -0.0093383  0.0555348 -0.0000562  0.0001385
 1.4105110 -0.0080871 -0.2367790  0.0702825  0.0081806 -0.0087230  0.0444464  0.0000652 -0.0000424
 1.6669675 -0.0059756 -0.2217661  0.0621808  0.0078077 -0.0085282  0.0359223  0.0000002 -0.0000322
 1.9234241 -0.0035992 -0.2092505  0.0554507  0.0078351 -0.0083218  0.0299269  0.0000306  0.0000638
 2.1798806 -0.0013203 -0.1983077  0.0500320  0.0076762 -0.0076560  0.0249500 -0.0000050 -0.0000250
 2.4363372  0.0008754 -0.1894798  0.0453973  0.0075706 -0.0073383  0.0217583  0.0001052 -0.0000169
 2.6927937  0.0026473 -0.1809825  0.0415086  0.0071616 -0.0070843  0.0183042 -0.0000202  0.0000844
 2.9492502  0.0042675 -0.1740922  0.0380896  0.0069644 -0.0065586  0.0165020  0.0000394 -0.0000256
 3.2057068  0.0053260 -0.1673775  0.0351321  0.0064968 -0.0057187  0.0141017 -0.0000993  0.0000243
 3.4621633  0.0064705 -0.1618622  0.0325367  0.0060674 -0.0055450  0.0124586 -0.0001125  0.0001606
 3.7186199  0.0071929 -0.1558906  0.0302060  0.0058497 -0.0050454  0.0110534 -0.0000388  0.0000378
 3.9750764  0.0081569 -0.1509683  0.0279266  0.0054758 -0.0050319  0.0097095 -0.0000294  0.0000243
 4.2315330  0.0083077 -0.1463148  0.0258787  0.0050581 -0.0043816  0.0088963  0.0000117  0.0000475
 4.4879895  0.0085646 -0.1417762  0.0243459  0.0049710 -0.0042188  0.0079540  0.0000414  0.0000536
 4.7444460  0.0090738 -0.1374803  0.0229437  0.0045905 -0.0039693  0.0072098  0.0001169  0.0000777
 5.0009026  0.0090347 -0.1332349  0.0214762  0.0042126 -0.0035980  0.0060512 -0.0000111 -0.0000886
 5.2573591  0.0093958 -0.1299031  0.0201065  0.0039513 -0.0034447  0.0059350  0.0000017 -0.0000327
 5.5138157  0.0095062 -0.1263275  0.0190361  0.0039214 -0.0031577  0.0051109  0.0000472 -0.0000815
 5.7702722  0.0095578 -0.1231327  0.0179521  0.0036353 -0.0031086  0.0045676 -0.0000404 -0.0001908
 6.0267288  0.0095000 -0.1201467  0.0168811  0.0032068 -0.0025200  0.0040159 -0.0000001 -0.0000674
 6.2831853  0.0092963 -0.1172336  0.0159727  0.0030945 -0.0023251  0.0042527 -0.0000526 -0.0000320
 6.5396419  0.0092770 -0.1142246  0.0150903  0.0029882 -0.0025059  0.0036669 -0.0000012  0.0001730
 6.7960984  0.0090651 -0.1114649  0.0143364  0.0026877 -0.0023191  0.0031258  0.0000014 -0.0000747
 7.0525549  0.0092709 -0.1086404  0.0132663  0.0025433 -0.0019369  0.0031805 -0.0000890  0.0000347
 7.3090115  0.0087750 -0.1061603  0.0128290  0.0025372 -0.0020018  0.0028257  0.0000919  0.0001323
 7.5654680  0.0085124 -0.1037639  0.0120781  0.0022333 -0.0019674  0.0029629  0.0002188 -0.0000247
 7.8219246  0.0085227 -0.1016890  0.0116283  0.0020468 -0.0016634  0.0027166  0.0001168 -0.0000577
 8.0783811  0.0079056 -0.0991353  0.0111110  0.0020713 -0.0014475  0.0021613  0.0000323 -0.0001603
 8.3348377  0.0082534 -0.0971720  0.0105675  0.0016087 -0.0013785  0.0018969  0.0001152  0.0000028
 8.5912942  0.0079988 -0.0951524  0.0101199  0.0017186 -0.0013020  0.0021904 -0.0000400 -0.0001040
 8.8477507  0.0078738 -0.0930192  0.0096190  0.0016101 -0.0011831  0.0020279 -0.0000812 -0.0001077
 9.1042073  0.0078610 -0.0913368  0.0094424  0.0016133 -0.0014693  0.0018210 -0.0001883 -0.0000497
 9.3606638  0.0074929 -0.0897787  0.0087654  0.0013911 -0.0016760  0.0016386 -0.0000995  0.0001973
 9.6171204  0.0071164 -0.0876516  0.0084778  0.0014154 -0.0012999  0.0014106  0.0000379 -0.0000293
 9.8735769  0.0074048 -0.0857187  0.0082227  0.0013562 -0.0011563  0.0014754 -0.0000630  0.0000510
 10.1300335  0.0066870 -0.0842595  0.0076435  0.0013156 -0.0008631  0.0012610  0.0000947  0.0003198
 10.3864900  0.0068386 -0.0826211  0.0074624  0.0012587 -0.0011824  0.0011371  0.0001420  0.0000629
 10.6429465  0.0069467 -0.0811310  0.0072132  0.0009392 -0.0009381  0.0009652  0.0000546 -0.0000365
 10.8994031  0.0060345 -0.0795195  0.0070311  0.0009961 -0.0003743  0.0012439 -0.0000164 -0.0000537
 11.1558596  0.0061011 -0.0783676  0.0066914  0.0009045 -0.0010051  0.0010989  0.0000212  0.0001062
 11.4123162  0.0061776 -0.0767424  0.0065705  0.0008641 -0.0007164  0.0005924  0.0000700 -0.0000530
 11.6687727  0.0062193 -0.0759092  0.0061176  0.0008407 -0.0007796  0.0008474 -0.0001012 -0.0000884
 11.9252293  0.0056030 -0.0741803  0.0058231  0.0008600 -0.0006789  0.0009277 -0.0002110 -0.0000047
 12.1816858  0.0052594 -0.0729165  0.0057529  0.0007948 -0.0005731  0.0007101  0.0000218  0.0000621
 12.4381423  0.0054698 -0.0716966  0.0056938  0.0005409 -0.0003274  0.0007094  0.0000106  0.0000302
 12.6945989  0.0049495 -0.0705747  0.0053251  0.0006331 -0.0005435  0.0008580 -0.0000430  0.0001075
 12.9510554  0.0049150 -0.0695385  0.0051267  0.0005292 -0.0008237  0.0008277 -0.0000937  0.0001671
 13.2075120  0.0046433 -0.0680973  0.0049401  0.0005983 -0.0005224  0.0006231  0.0000415  0.0001470
 13.4639685  0.0049988 -0.0671369  0.0050148  0.0006000 -0.0004363  0.0006016  0.0000823  0.0000235
 13.7204251  0.0048579 -0.0662164  0.0047980  0.0004508 -0.0007164  0.0004040  0.0000259 -0.0000742
 13.9768816  0.0044716 -0.0651061  0.0044021  0.0003910 -0.0009445  0.0000952 -0.0000410  0.0000253
 14.2333381  0.0039279 -0.0638521  0.0043291  0.0006163 -0.0004293  0.0005353  0.0001452  0.0000203
 14.4897947  0.0042446 -0.0629770  0.0042211  0.0006615 -0.0007038  0.0002258  0.0000450 -0.0000777
 14.7462512  0.0042194 -0.0625616  0.0041965  0.0005253 -0.0007035  0.0003805 -0.0000705 -0.0001402
 15.0027078  0.0039350 -0.0612584  0.0039281  0.0004595 -0.0007146  0.0003322  0.0000512  0.0000188
 15.2591643  0.0040792 -0.0602101  0.0038603  0.0003554 -0.0003271  0.0004028  0.0000989 -0.0000994
 15.5156209  0.0040424 -0.0596912  0.0037921  0.0001975 -0.0007495  0.0004757 -0.0000517 -0.0000613
 15.7720774  0.0036038 -0.0587396  0.0035852  0.0005158 -0.0006025  0.0004493 -0.0000918  0.0000238
 16.0285339  0.0037912 -0.0579083  0.0036220  0.0002510 -0.0004152  0.0002489  0.0000329  0.0000854
 16.2849905  0.0036281 -0.0576485  0.0034495 -0.0000900 -0.0007268  0.0002217 -0.0000131 -0.0000107
 16.5414470  0.0033611 -0.0565382  0.0033361  0.0001721 -0.0006824  0.0000734 -0.0000886  0.0001028
 16.7979036  0.0034632 -0.0559478  0.0031375  0.0002199 -0.0009312  0.0003175 -0.0000410  0.0001007
 17.0543601  0.0032915 -0.0550110  0.0032108  0.0003881 -0.0008591  0.0001693  0.0001738  0.0000663
 17.3108167  0.0029068 -0.0541844  0.0030298  0.0002468 -0.0003382  0.0000520  0.0000432 -0.0001208
 17.5672732  0.0031552 -0.0535498  0.0030787  0.0002504 -0.0004008  0.0001743  0.0000047 -0.0000724
 17.8237297  0.0034293 -0.0527154  0.0028904  0.0001557 -0.0005369  0.0000358  0.0000808  0.0001722
 18.0801863  0.0032171 -0.0521568  0.0027624  0.0003625 -0.0009339  0.0002123  0.0000634 -0.0001358
 18.3366428  0.0031489 -0.0517281  0.0027495  0.0003233 -0.0004531  0.0005998 -0.0001135 -0.0000300
 18.5930994  0.0029384 -0.0511795  0.0026773  0.0001635 -0.0004155 -0.0000219 -0.0001144 -0.0001143
 18.8495559  0.0025946 -0.0504096  0.0025967  0.0001961 -0.0001983  0.0000037 -0.0001593  0.0000504
 19.1060125  0.0027014 -0.0494073  0.0025763  0.0000892 -0.0003729 -0.0002720  0.0000153  0.0000371
 19.3624690  0.0023983 -0.0492890  0.0022446  0.0002178 -0.0000126  0.0003487 -0.0000170  0.0000123
 19.6189256  0.0026429 -0.0485410  0.0022320  0.0001481 -0.0004077  0.0002370 -0.0000830  0.0001388
 19.8753821  0.0022003 -0.0479661  0.0024496  0.0002431 -0.0004425  0.0005116  0.0000711 -0.0000756
 20.1318386  0.0026259 -0.0473289  0.0022698  0.0004112 -0.0002216  0.0003416  0.0000993  0.0000351
 20.3882952  0.0025000 -0.0466454  0.0024013  0.0000948 -0.0005318  0.0000426  0.0001986 -0.0000055
 20.6447517  0.0027159 -0.0460559  0.0021163  0.0002102 -0.0003830  0.0001141 -0.0000133 -0.0000495
 20.9012083  0.0024364 -0.0457460  0.0021740 -0.0000129 -0.0006228 -0.0000584 -0.0000284 -0.0000499
 21.1576648  0.0023160 -0.0450275  0.0020620  0.0001796 -0.0006460  0.0001984 -0.0000112 -0.0001578
 21.4141214  0.0019350 -0.0445718  0.0020386  0.0003667 -0.0002976  0.0002013 -0.0002211 -0.0001042
 21.6705779  0.0022272 -0.0438481  0.0020881  0.0003582 -0.0001566  0.0001040 -0.0000926  0.0000618
 21.9270344  0.0024757 -0.0439058  0.0020525  0.0001527 -0.0005905  0.0002971 -0.0001990  0.0000380
 22.1834910  0.0021058 -0.0433956  0.0019943  0.0003463 -0.0000540  0.0005349 -0.0000860  0.0000071
