#w_matsubara  g11_Re     g11_Im     g12_Re     g12_Im     g13_Re     g13_Im     g12_nambu_Re     g12_nambu_Im     
 0.1282283 -0.1714964 -0.7490959  0.2252269  0.0996808  0.0167233 -0.0227480  0.0033346 -0.0000552
 0.3846848 -0.1497412 -0.6537187  0.1680047  0.0730312  0.0067403 -0.0100614  0.0007154  0.0000128
 0.6411414 -0.1308098 -0.5885678  0.1327650  0.0628644  0.0045616 -0.0058243  0.0002687  0.0000319
 0.8975979 -0.1130356 -0.5397924  0.1094475  0.0571605  0.0034374 -0.0036227  0.0000582  0.0000766
 1.1540544 -0.0978962 -0.5007176  0.0926123  0.0535511  0.0027734 -0.0022481  0.0000282 -0.0000074
 1.4105110 -0.0833182 -0.4689104  0.0798699  0.0507428  0.0022662 -0.0014630 -0.0000319  0.0000448
 1.6669675 -0.0708602 -0.4426809  0.0698366  0.0486762  0.0018869 -0.0009265 -0.0000433  0.0000447
 1.9234241 -0.0599216 -0.4198166  0.0618444  0.0465272  0.0015198 -0.0005692 -0.0000421 -0.0000008
 2.1798806 -0.0498026 -0.4008759  0.0551929  0.0450490  0.0012362 -0.0003866  0.0000519  0.0000026
 2.4363372 -0.0416520 -0.3836342  0.0496127  0.0434880  0.0010201 -0.0001461 -0.0000360  0.0000143
 2.6927937 -0.0341919 -0.3675953  0.0447597  0.0416464  0.0009174 -0.0000810 -0.0000611  0.0000536
 2.9492502 -0.0276963 -0.3541866  0.0408192  0.0402915  0.0007508  0.0000153 -0.0000455 -0.0000794
 3.2057068 -0.0222872 -0.3414291  0.0371387  0.0387346  0.0006349  0.0000330  0.0000464 -0.0000152
 3.4621633 -0.0175558 -0.3298327  0.0340551  0.0376068  0.0005032  0.0000570  0.0000827  0.0000236
 3.7186199 -0.0144889 -0.3186555  0.0311394  0.0360714  0.0004948  0.0001311  0.0000532 -0.0000441
 3.9750764 -0.0107343 -0.3084235  0.0285212  0.0350119  0.0004250  0.0000596  0.0000067 -0.0000073
 4.2315330 -0.0078321 -0.2995015  0.0264967  0.0338063  0.0003117  0.0001135  0.0000197 -0.0000061
 4.4879895 -0.0045311 -0.2906659  0.0246236  0.0327484  0.0003186  0.0000229  0.0000872  0.0000229
 4.7444460 -0.0027821 -0.2816689  0.0225324  0.0316543  0.0003160  0.0000245  0.0000368  0.0000615
 5.0009026 -0.0015818 -0.2740920  0.0210410  0.0305772  0.0002149  0.0001155 -0.0000028  0.0000675
 5.2573591 -0.0002278 -0.2664153  0.0198194  0.0295912  0.0001765  0.0001322  0.0000072  0.0000293
 5.5138157  0.0011239 -0.2594030  0.0183494  0.0287876  0.0001778  0.0000484 -0.0000215 -0.0000570
 5.7702722  0.0022523 -0.2521951  0.0170592  0.0277604  0.0002092  0.0000494  0.0000172 -0.0000100
 6.0267288  0.0030337 -0.2455300  0.0160815  0.0269012  0.0002013  0.0001117 -0.0000278  0.0000779
 6.2831853  0.0037801 -0.2398575  0.0153022  0.0261174  0.0001587  0.0000985  0.0000028  0.0000229
 6.5396419  0.0044502 -0.2341227  0.0142295  0.0256107  0.0000542  0.0000822 -0.0000340  0.0000671
 6.7960984  0.0047349 -0.2282182  0.0133442  0.0248483  0.0000980  0.0001196 -0.0000413  0.0000014
 7.0525549  0.0057294 -0.2221295  0.0127318  0.0242060  0.0000835  0.0000373  0.0000486 -0.0000678
 7.3090115  0.0059134 -0.2180773  0.0121464  0.0235544  0.0000643  0.0000940  0.0000193  0.0000680
 7.5654680  0.0052823 -0.2130908  0.0113681  0.0226223  0.0000979  0.0001042 -0.0000304  0.0000083
 7.8219246  0.0066304 -0.2082189  0.0106226  0.0221588  0.0000772  0.0000353  0.0000194  0.0000363
 8.0783811  0.0059508 -0.2036831  0.0101387  0.0217573  0.0000077  0.0001011  0.0000175 -0.0000814
 8.3348377  0.0061499 -0.1981817  0.0095015  0.0210093  0.0001184  0.0000432 -0.0000357 -0.0000469
 8.5912942  0.0065842 -0.1945375  0.0092599  0.0207043 -0.0000017  0.0000727 -0.0000426  0.0000121
 8.8477507  0.0064834 -0.1908510  0.0087308  0.0204074 -0.0000146  0.0000187 -0.0000763  0.0000047
 9.1042073  0.0065818 -0.1869964  0.0083134  0.0199127 -0.0000165  0.0000508  0.0000219  0.0000186
 9.3606638  0.0066565 -0.1837604  0.0079218  0.0193402 -0.0000067  0.0000514  0.0000453 -0.0000354
 9.6171204  0.0061751 -0.1790977  0.0075865  0.0188093  0.0000860  0.0001101  0.0000433  0.0000109
 9.8735769  0.0062795 -0.1748509  0.0070742  0.0183505  0.0000512  0.0000051 -0.0000442  0.0001122
 10.1300335  0.0056710 -0.1720328  0.0069299  0.0179597  0.0000641  0.0001030 -0.0000690 -0.0000099
 10.3864900  0.0058289 -0.1690347  0.0067139  0.0178815  0.0000129  0.0000761 -0.0000900  0.0000286
 10.6429465  0.0062582 -0.1657976  0.0063920  0.0173594  0.0000353  0.0000108 -0.0000927  0.0000371
 10.8994031  0.0062383 -0.1629598  0.0059655  0.0169520  0.0000032  0.0000307  0.0000894  0.0000952
 11.1558596  0.0053707 -0.1601877  0.0059441  0.0168483 -0.0000041  0.0000687 -0.0000887  0.0000856
 11.4123162  0.0057909 -0.1565229  0.0055149  0.0162969  0.0000369  0.0000360 -0.0000495  0.0000590
 11.6687727  0.0059242 -0.1538068  0.0052633  0.0157946  0.0000449  0.0000429  0.0000375  0.0000441
 11.9252293  0.0056243 -0.1505148  0.0051470  0.0156103  0.0000570  0.0000134  0.0000141 -0.0000491
 12.1816858  0.0055939 -0.1487893  0.0050394  0.0153953 -0.0000122  0.0000481  0.0000804  0.0000460
 12.4381423  0.0053255 -0.1463121  0.0050510  0.0150533 -0.0000478  0.0000671  0.0000473  0.0000452
 12.6945989  0.0051306 -0.1443826  0.0047781  0.0147395 -0.0000029  0.0000732 -0.0000818  0.0000505
 12.9510554  0.0049995 -0.1417060  0.0046749  0.0145759 -0.0000138  0.0000528 -0.0000489  0.0000052
 13.2075120  0.0052788 -0.1399481  0.0042108  0.0142096  0.0000099  0.0000053 -0.0000520  0.0000204
 13.4639685  0.0048296 -0.1376227  0.0040756  0.0139626 -0.0000143  0.0000317  0.0000122 -0.0000219
 13.7204251  0.0046750 -0.1353905  0.0039753  0.0136692  0.0000096  0.0000698  0.0000194 -0.0000077
 13.9768816  0.0049633 -0.1322973  0.0037186  0.0136313  0.0000407 -0.0000176  0.0000679 -0.0000073
 14.2333381  0.0051359 -0.1303401  0.0036596  0.0133302  0.0000139  0.0000107 -0.0000003 -0.0000249
 14.4897947  0.0046105 -0.1290689  0.0036439  0.0131697 -0.0000003  0.0000091  0.0000252  0.0000081
 14.7462512  0.0046922 -0.1271563  0.0036394  0.0131350 -0.0000706  0.0000687  0.0000322 -0.0000063
 15.0027078  0.0045392 -0.1256440  0.0035672  0.0128041 -0.0000682  0.0000678  0.0000009  0.0000219
 15.2591643  0.0042762 -0.1227139  0.0033141  0.0124224  0.0000043  0.0000372 -0.0000547 -0.0000082
 15.5156209  0.0040240 -0.1214513  0.0031323  0.0123968  0.0000170  0.0000544 -0.0000043  0.0000760
 15.7720774  0.0034701 -0.1200339  0.0030823  0.0123201 -0.0000378  0.0000684 -0.0000449 -0.0000070
 16.0285339  0.0036501 -0.1182811  0.0030917  0.0119748 -0.0000519  0.0000038 -0.0000295 -0.0000216
 16.2849905  0.0035236 -0.1167875  0.0030354  0.0120906 -0.0000569  0.0000018 -0.0000763 -0.0000259
 16.5414470  0.0042915 -0.1154922  0.0028849  0.0117235 -0.0000772 -0.0000220  0.0000075  0.0000467
