#iter  k
1 45.7178518
2 45.5942634
3 45.6434080
4 45.6784315
5 45.7127381
6 45.7216799
7 45.7009197
8 45.7302898
9 45.7234439
10 45.6798626
11 45.6943845
12 45.7051945
13 45.7516918
14 45.7338590
15 45.7099712
16 45.7028162
17 45.7553001
18 45.7808856
19 45.7289298
20 45.7279247
21 45.7072463
22 45.7026878
23 45.7578800
24 45.7725005
25 45.7693026
26 45.7604991
27 45.7735935
28 45.7693491
29 45.7509272
30 45.7048761
31 45.6418221
32 45.6376014
33 45.6138963
34 45.6602224
35 45.6627374
36 45.6247226
37 45.6619359
38 45.6554589
39 45.6522331
40 45.6396894
41 45.6142930
42 45.6516541
43 45.6852078
44 45.6797436
45 45.6645704
46 45.6728363
47 45.6572494
48 45.7285039
49 45.7073690
50 45.7121321
51 45.7126667
52 45.6953338
53 45.6889432
54 45.6615063
55 45.6543359
56 45.6443948
57 45.6604475
58 45.7126243
59 45.7362542
60 45.7150115
61 45.7047463
62 45.7428362
63 45.7138307
64 45.7240437
64 45.6588990
