#w_matsubara  g11_Re     g11_Im     g12_Re     g12_Im     g13_Re     g13_Im     g12_nambu_Re     g12_nambu_Im     
 0.1282283  5.5718191 -0.5129947 -0.3461631 -0.0655949 -0.2157149  0.1665639  0.0067467  0.0000603
 0.3846848  5.6189311 -0.8772464 -0.3353003 -0.1332427 -0.2246268  0.1309541  0.0031052  0.0004535
 0.6411414  5.6514339 -1.1385906 -0.3288247 -0.1780977 -0.2226499  0.1054522  0.0017383 -0.0000014
 0.8975979  5.6637896 -1.3395075 -0.3275114 -0.2099738 -0.2124981  0.0886123 -0.0003265  0.0002664
 1.1540544  5.6531358 -1.4969824 -0.3236328 -0.2313308 -0.2010963  0.0745564  0.0018519  0.0004473
 1.4105110  5.6424811 -1.6158778 -0.3221677 -0.2419065 -0.1930707  0.0710009 -0.0004906  0.0011143
 1.6669675  5.5970836 -1.7085951 -0.3302988 -0.2491508 -0.1799258  0.0564782 -0.0007585 -0.0003426
 1.9234241  5.5638147 -1.7748518 -0.3173127 -0.2432552 -0.1533752  0.0524915  0.0005528 -0.0000364
 2.1798806  5.5184901 -1.8203296 -0.3170299 -0.2431084 -0.1440212  0.0523634 -0.0007603 -0.0006641
 2.4363372  5.4763698 -1.8646103 -0.3101102 -0.2363435 -0.1360349  0.0472659 -0.0030153 -0.0024454
 2.6927937  5.4183988 -1.8902712 -0.3005131 -0.2226596 -0.1173454  0.0425953  0.0033566 -0.0014933
 2.9492502  5.3794893 -1.9023459 -0.2979997 -0.2186334 -0.1162678  0.0424073 -0.0007329  0.0009398
 3.2057068  5.3341920 -1.8985012 -0.2905044 -0.1973320 -0.0899213  0.0336398 -0.0000016 -0.0015794
 3.4621633  5.2834420 -1.8980180 -0.2860782 -0.1966394 -0.0837444  0.0313372 -0.0011376 -0.0057617
 3.7186199  5.2441290 -1.8855966 -0.2705920 -0.1843802 -0.0736850  0.0263170 -0.0020876 -0.0018570
 3.9750764  5.1872378 -1.8626334 -0.2674390 -0.1617715 -0.0685677  0.0242729  0.0012301 -0.0038702
 4.2315330  5.1599624 -1.8481254 -0.2589287 -0.1581660 -0.0601586  0.0182499 -0.0001980 -0.0011184
 4.4879895  5.1219720 -1.8349649 -0.2516250 -0.1536621 -0.0675843  0.0335763  0.0016785  0.0053523
 4.7444460  5.0729922 -1.8120858 -0.2391001 -0.1369219 -0.0402433  0.0163487 -0.0065107  0.0022817
 5.0009026  5.0268335 -1.7642305 -0.2368018 -0.1322684 -0.0620740  0.0037862 -0.0006113 -0.0040348
 5.2573591  5.0141061 -1.7502277 -0.2165334 -0.1112030 -0.0392618  0.0294661 -0.0000061  0.0005681
 5.5138157  4.9735661 -1.7313018 -0.2051811 -0.1004069 -0.0154793  0.0149940  0.0048458  0.0007297
 5.7702722  4.9523238 -1.7144948 -0.1969489 -0.1185732 -0.0394026 -0.0122769  0.0001756 -0.0011598
 6.0267288  4.9239966 -1.6699384 -0.2004662 -0.1082553 -0.0113879 -0.0130045 -0.0009136  0.0000633
 6.2831853  4.9103228 -1.6486686 -0.1861348 -0.0850877 -0.0418265 -0.0021399 -0.0067014  0.0008911
 6.5396419  4.8756130 -1.6215693 -0.1814512 -0.0999028 -0.0224527  0.0137220  0.0086475 -0.0057390
 6.7960984  4.8695316 -1.6094425 -0.1720808 -0.0936889 -0.0303796  0.0136074  0.0024431 -0.0014399
 7.0525549  4.8538833 -1.5752671 -0.1727732 -0.0689667 -0.0393748  0.0275206  0.0002574  0.0058101
 7.3090115  4.8332335 -1.5336020 -0.1562354 -0.0684721 -0.0313774  0.0073648 -0.0002057 -0.0128235
 7.5654680  4.7984116 -1.4884155 -0.1514062 -0.0650347 -0.0039342  0.0250230  0.0048482 -0.0058560
 7.8219246  4.7521594 -1.4629100 -0.1418934 -0.0429691 -0.0067074  0.0016019  0.0072768 -0.0098721
 8.0783811  4.7653477 -1.4468371 -0.1468462 -0.0686478 -0.0457922 -0.0026775 -0.0002676  0.0014774
 8.3348377  4.7551618 -1.4150480 -0.1219671 -0.0443351 -0.0003585 -0.0158348 -0.0030532  0.0036222
 8.5912942  4.7722710 -1.4144835 -0.1389661 -0.0541782 -0.0072112  0.0114942  0.0031779  0.0067823
 8.8477507  4.7434283 -1.3911369 -0.1014176 -0.0549092  0.0008040  0.0289272 -0.0029925 -0.0015109
 9.1042073  4.7070563 -1.3985390 -0.1187554 -0.0449105 -0.0345029  0.0013567  0.0023751 -0.0055822
 9.3606638  4.6666631 -1.3515149 -0.1342812 -0.0398894 -0.0556701 -0.0079616 -0.0103170 -0.0059525
 9.6171204  4.6880178 -1.3088317 -0.1088345 -0.0167956  0.0057742 -0.0211549 -0.0067636  0.0103884
 9.8735769  4.6731824 -1.2385795 -0.0941493 -0.0321514  0.0247182 -0.0461783 -0.0134377 -0.0063571
 10.1300335  4.6618380 -1.2933290 -0.0980583 -0.0392510 -0.0039993  0.0151152 -0.0086235 -0.0051881
 10.3864900  4.6880660 -1.2609470 -0.0894324 -0.0298373 -0.0210541 -0.0169459  0.0254259 -0.0057276
 10.6429465  4.6137148 -1.2884198 -0.1108366 -0.0266063  0.0377529 -0.0073664  0.0006887 -0.0020917
 10.8994031  4.6502916 -1.2147964 -0.0761941 -0.0305686 -0.0019518  0.0218939 -0.0113418  0.0157328
 11.1558596  4.5522483 -1.2482803 -0.0919246 -0.0543362  0.0373652  0.0029839 -0.0240083 -0.0214238
 11.4123162  4.6481831 -1.1037931 -0.0729968 -0.0085039 -0.0003029 -0.0712050  0.0048302 -0.0207124
 11.6687727  4.5944390 -1.1820521 -0.1037416 -0.0379201  0.0162648 -0.0216606  0.0197114 -0.0015627
 11.9252293  4.5913951 -1.1727849 -0.0967016 -0.0417323  0.0413786  0.0127762  0.0053054  0.0094399
 12.1816858  4.6216229 -1.1804392 -0.1024912 -0.0289902 -0.0157974 -0.0376337  0.0105522 -0.0138779
 12.4381423  4.6401913 -1.1591809 -0.1116856  0.0166282 -0.0516832  0.0160892  0.0147502  0.0154300
 12.6945989  4.5865021 -1.0628447 -0.1246772 -0.0336932  0.0155792 -0.0438265 -0.0084370 -0.0110664
 12.9510554  4.5961434 -1.0382240 -0.0786916 -0.0485242  0.0412993 -0.0493910 -0.0222633  0.0103847
 13.2075120  4.5818480 -0.9980981 -0.0699633 -0.0146455  0.0273673 -0.0057114  0.0103974  0.0073271
 13.4639685  4.5720512 -1.0910994 -0.1183245 -0.0241857 -0.0283662 -0.0222894 -0.0187384  0.0005083
 13.7204251  4.5364194 -1.0593029 -0.0923770  0.0124832  0.0478469 -0.0336036 -0.0157013 -0.0239291
 13.9768816  4.5757640 -0.9806855 -0.0783381 -0.0503447 -0.0650042  0.0350841  0.0204455 -0.0272998
 14.2333381  4.4857741 -1.0127057 -0.0895921 -0.0866576 -0.0073297 -0.0125739  0.0077168 -0.0132508
 14.4897947  4.4981413 -0.9555049 -0.0452642 -0.0136663 -0.0067316 -0.0335960  0.0162351  0.0153592
 14.7462512  4.4852069 -1.0500700 -0.1081841 -0.0288230 -0.0172349 -0.0687066  0.0037130  0.0145633
 15.0027078  4.4722519 -0.9493051 -0.1303542 -0.0271996 -0.0106428 -0.0918971 -0.0273877  0.0133911
 15.2591643  4.4656368 -0.9472268 -0.0762527 -0.0449598 -0.0410626 -0.0560181 -0.0051493 -0.0394736
 15.5156209  4.5396005 -0.9317170 -0.0883550  0.0071035 -0.0338387  0.0204675  0.0222294 -0.0443074
 15.7720774  4.6002893 -0.9215318 -0.0732229  0.0519869 -0.0312869 -0.0668502 -0.0195253 -0.0202350
 16.0285339  4.4388332 -0.9612965 -0.0469891 -0.0475718  0.0142103  0.0495906  0.0142009  0.0007003
 16.2849905  4.4973386 -0.9950843 -0.1169043 -0.0235809  0.0117992 -0.0974610  0.0116251  0.0154072
 16.5414470  4.5008246 -0.8871107 -0.0698643 -0.0041239 -0.0095648 -0.0149389 -0.0203747  0.0084748
 16.7979036  4.4675730 -0.9390053 -0.1889631 -0.0324932 -0.0429360  0.0680926 -0.0287055 -0.0120380
