#iter  E
1 -22.5913879
2 -22.5963429
3 -22.5954236
4 -22.5943153
5 -22.5945445
6 -22.5882747
7 -22.5911373
8 -22.5947596
9 -22.5913165
10 -22.5909752
11 -22.5900093
12 -22.5941730
13 -22.5896804
14 -22.5928189
15 -22.5921328
16 -22.5925706
17 -22.5919843
18 -22.5973724
19 -22.5939764
20 -22.5966402
21 -22.5961827
22 -22.5930205
23 -22.5904277
24 -22.5933869
25 -22.5911960
26 -22.5939598
27 -22.5921885
28 -22.5928078
29 -22.5880005
30 -22.5923570
31 -22.5901450
32 -22.5899756
33 -22.5908888
34 -22.5926303
35 -22.5954235
36 -22.5956546
37 -22.5916374
38 -22.5958605
39 -22.5990089
40 -22.5921575
41 -22.5898246
42 -22.5901786
43 -22.5899065
44 -22.5880528
45 -22.5947025
46 -22.5927394
47 -22.5936922
48 -22.5930751
49 -22.5954236
50 -22.5943104
51 -22.5965937
52 -22.5924321
53 -22.5939783
54 -22.5841425
55 -22.5879052
56 -22.5924489
57 -22.5901621
58 -22.5892043
59 -22.5894799
60 -22.5910601
61 -22.5904572
62 -22.5953227
63 -22.5920712
64 -22.5947389
64 -22.5872081
65 -22.5928850
66 -22.5926901
67 -22.5959157
68 -22.5895685
69 -22.5911223
70 -22.5901540
71 -22.5877028
72 -22.5939030
73 -22.5901260
74 -22.5925784
75 -22.5962595
76 -22.5967153
77 -22.5952044
78 -22.5960025
79 -22.5936384
80 -22.5947649
81 -22.5935563
82 -22.5914146
83 -22.5953684
84 -22.5966696
85 -22.5899769
86 -22.5887885
87 -22.5868149
88 -22.5917806
89 -22.5964546
90 -22.5965269
91 -22.5951025
92 -22.5936807
93 -22.5975342
94 -22.5929341
95 -22.5893376
96 -22.5956639
97 -22.5996215
98 -22.5968150
99 -22.5919338
100 -22.5917630
101 -22.5924955
102 -22.5908711
103 -22.5937873
104 -22.5935523
105 -22.5882260
106 -22.5899127
107 -22.5867544
108 -22.5936663
109 -22.5900979
110 -22.5953327
111 -22.5896033
112 -22.5884195
113 -22.5968457
114 -22.5947605
115 -22.5913829
116 -22.5977911
117 -22.5926794
118 -22.5945465
119 -22.5907103
120 -22.5936473
121 -22.5923693
122 -22.5873502
123 -22.5929525
124 -22.5930556
125 -22.5940302
126 -22.5901107
127 -22.5923506
