#w_matsubara  g11_Re     g11_Im     g12_Re     g12_Im     g13_Re     g13_Im     g12_nambu_Re     g12_nambu_Im     
 0.1308997  0.0219465 -0.4197269  0.1687699  0.0251589 -0.0394489  0.2224216 -0.0018155  0.0000810
 0.3926991 -0.0035819 -0.3489398  0.1345640  0.0146211 -0.0184343  0.1382119 -0.0004415 -0.0000287
 0.6544985 -0.0104358 -0.3061947  0.1101568  0.0105991 -0.0120180  0.0954696 -0.0000792  0.0000475
 0.9162979 -0.0113626 -0.2756576  0.0926483  0.0091647 -0.0100260  0.0705586  0.0000269  0.0000138
 1.1780972 -0.0099570 -0.2530139  0.0794211  0.0082721 -0.0092540  0.0542660  0.0000648  0.0000243
 1.4398966 -0.0077562 -0.2345717  0.0693225  0.0081966 -0.0087156  0.0431743  0.0000783  0.0000172
 1.7016960 -0.0054200 -0.2198991  0.0612519  0.0077642 -0.0084199  0.0350228 -0.0000327  0.0000955
 1.9634954 -0.0027913 -0.2075491  0.0547606  0.0077754 -0.0084158  0.0292303 -0.0000966  0.0000317
 2.2252948 -0.0002653 -0.1971506  0.0494243  0.0076324 -0.0080506  0.0248704  0.0000269 -0.0000328
 2.4870942  0.0015057 -0.1878234  0.0447792  0.0074445 -0.0070088  0.0212604  0.0000288  0.0000405
 2.7488936  0.0030734 -0.1798971  0.0409763  0.0070979 -0.0068690  0.0179752  0.0000462  0.0000504
 3.0106930  0.0045581 -0.1724130  0.0374142  0.0066548 -0.0064010  0.0152315  0.0000018  0.0000780
 3.2724923  0.0054771 -0.1659936  0.0344389  0.0065169 -0.0058988  0.0140226  0.0000513  0.0000972
 3.5342917  0.0069098 -0.1603362  0.0318299  0.0061310 -0.0056991  0.0119822  0.0000275  0.0000193
 3.7960911  0.0073897 -0.1545509  0.0296184  0.0057641 -0.0049233  0.0105594  0.0000706 -0.0001103
 4.0578905  0.0084654 -0.1496346  0.0271956  0.0052995 -0.0051376  0.0092028  0.0000475  0.0000360
 4.3196899  0.0089086 -0.1445631  0.0256394  0.0051326 -0.0044386  0.0083479  0.0000093  0.0000441
 4.5814893  0.0087370 -0.1400778  0.0239026  0.0048113 -0.0041015  0.0075630  0.0000486  0.0001416
 4.8432887  0.0095736 -0.1362643  0.0222212  0.0042530 -0.0039192  0.0066952  0.0001058 -0.0000501
 5.1050881  0.0092230 -0.1323079  0.0207409  0.0039749 -0.0034254  0.0060765  0.0001041 -0.0000599
 5.3668874  0.0094419 -0.1287548  0.0195390  0.0038414 -0.0035990  0.0058922  0.0001004  0.0000265
 5.6286868  0.0091088 -0.1249915  0.0185173  0.0037085 -0.0026848  0.0052817  0.0000609  0.0000566
 5.8904862  0.0094168 -0.1218376  0.0174863  0.0033304 -0.0030539  0.0046069  0.0000291  0.0000188
 6.1522856  0.0094433 -0.1187914  0.0164426  0.0032039 -0.0025935  0.0048181  0.0001073 -0.0000535
 6.4140850  0.0096473 -0.1154331  0.0154612  0.0029445 -0.0025462  0.0037017  0.0000133 -0.0000463
 6.6758844  0.0095477 -0.1127788  0.0150460  0.0027983 -0.0021299  0.0035158  0.0001620  0.0000564
 6.9376838  0.0086403 -0.1099311  0.0138870  0.0024265 -0.0021272  0.0030216  0.0001471  0.0000216
 7.1994832  0.0093315 -0.1072986  0.0134060  0.0023996 -0.0020968  0.0026885  0.0001418 -0.0000658
 7.4612826  0.0087889 -0.1050910  0.0123671  0.0022570 -0.0024468  0.0028719  0.0000437 -0.0000075
 7.7230819  0.0084204 -0.1026546  0.0119794  0.0021862 -0.0020023  0.0022210  0.0000726  0.0000163
 7.9848813  0.0086067 -0.0999873  0.0112470  0.0022142 -0.0017251  0.0021902  0.0000255 -0.0000256
 8.2466807  0.0087689 -0.0981257  0.0110806  0.0016350 -0.0013960  0.0019767  0.0000251 -0.0000876
 8.5084801  0.0076292 -0.0958521  0.0101934  0.0019172 -0.0014854  0.0020400  0.0000428 -0.0000571
 8.7702795  0.0078063 -0.0938286  0.0096283  0.0014129 -0.0013913  0.0013830 -0.0000512  0.0000104
 9.0320789  0.0075880 -0.0917200  0.0094789  0.0017790 -0.0011871  0.0019286  0.0000289 -0.0000601
 9.2938783  0.0072406 -0.0900516  0.0088672  0.0013893 -0.0011985  0.0017574  0.0001499 -0.0001427
 9.5556777  0.0074025 -0.0879895  0.0086555  0.0014299 -0.0013243  0.0012770  0.0000020 -0.0000744
 9.8174770  0.0070827 -0.0863830  0.0085213  0.0014349 -0.0013081  0.0014689 -0.0000342 -0.0000052
 10.0792764  0.0073604 -0.0849309  0.0078287  0.0012057 -0.0017700  0.0012472 -0.0000306 -0.0000295
 10.3410758  0.0065387 -0.0828667  0.0078073  0.0014219 -0.0008006  0.0009898 -0.0000168 -0.0000522
 10.6028752  0.0065591 -0.0816951  0.0072002  0.0008767 -0.0008908  0.0011823  0.0001036 -0.0001511
 10.8646746  0.0060639 -0.0800551  0.0071390  0.0012359 -0.0009190  0.0013636 -0.0000087  0.0000223
 11.1264740  0.0058600 -0.0785466  0.0065336  0.0009474 -0.0009183  0.0008027 -0.0000836  0.0000415
 11.3882734  0.0065004 -0.0766982  0.0067571  0.0010587 -0.0008164  0.0009914  0.0000011 -0.0000439
 11.6500728  0.0057111 -0.0754279  0.0060702  0.0010504 -0.0011810  0.0009715 -0.0000468  0.0000472
 11.9118721  0.0059829 -0.0747034  0.0062452  0.0008593 -0.0004952  0.0003855 -0.0001057  0.0000546
 12.1736715  0.0058654 -0.0729780  0.0056411  0.0008294 -0.0008926  0.0008036  0.0000001 -0.0000292
 12.4354709  0.0053576 -0.0722580  0.0056112  0.0006545 -0.0007530  0.0006908 -0.0001035  0.0000328
 12.6972703  0.0055073 -0.0706403  0.0053269  0.0009410 -0.0005869  0.0006152  0.0000469  0.0001217
 12.9590697  0.0050309 -0.0695455  0.0053095  0.0005699 -0.0002310  0.0008289 -0.0001222  0.0000761
 13.2208691  0.0043758 -0.0679119  0.0050716  0.0007530 -0.0001807  0.0004751 -0.0001365  0.0000782
 13.4826685  0.0046797 -0.0677362  0.0049452  0.0002181 -0.0003743  0.0003619 -0.0000363  0.0001318
 13.7444679  0.0046609 -0.0657698  0.0046154  0.0008926 -0.0010074  0.0009796 -0.0000327 -0.0000046
 14.0062672  0.0041156 -0.0655298  0.0045606  0.0004536 -0.0007795  0.0005166  0.0000295  0.0000055
 14.2680666  0.0049293 -0.0643187  0.0047387  0.0005194 -0.0007003  0.0004704  0.0000526  0.0000827
 14.5298660  0.0039954 -0.0629459  0.0041133  0.0006829 -0.0007353  0.0001601  0.0000742  0.0000901
 14.7916654  0.0039997 -0.0622524  0.0040473  0.0006851 -0.0002516  0.0003778  0.0000394  0.0001084
 15.0534648  0.0041325 -0.0615457  0.0038715  0.0003771 -0.0004910  0.0004603  0.0000150  0.0000614
 15.3152642  0.0040339 -0.0602422  0.0037450  0.0005027 -0.0004110  0.0003086  0.0000119  0.0000923
 15.5770636  0.0037038 -0.0596220  0.0035945  0.0004465 -0.0002118  0.0000376  0.0000378 -0.0000059
 15.8388630  0.0037750 -0.0585464  0.0035469  0.0003836 -0.0005098  0.0001434  0.0000681 -0.0000224
 16.1006623  0.0035893 -0.0578881  0.0035368  0.0003025 -0.0003344  0.0004287  0.0000460 -0.0000669
 16.3624617  0.0036112 -0.0569691  0.0033540  0.0002991 -0.0004999  0.0006428  0.0001049  0.0000881
 16.6242611  0.0038886 -0.0563025  0.0034943  0.0003584 -0.0002231  0.0003041  0.0000738  0.0000622
 16.8860605  0.0031805 -0.0556199  0.0031886  0.0005101 -0.0003519  0.0004565  0.0001033  0.0000279
 17.1478599  0.0035259 -0.0548556  0.0030361  0.0003381 -0.0002606  0.0002598  0.0000904  0.0000349
 17.4096593  0.0033224 -0.0540649  0.0030058  0.0004862 -0.0001911  0.0001392  0.0000123 -0.0000658
 17.6714587  0.0036406 -0.0536783  0.0027533  0.0001736 -0.0002535  0.0003104  0.0000370 -0.0000604
 17.9332581  0.0029372 -0.0522136  0.0027864  0.0002820 -0.0004893  0.0001766  0.0000809  0.0000313
 18.1950575  0.0033439 -0.0515163  0.0027493  0.0003097 -0.0005457  0.0000171  0.0000453  0.0000952
 18.4568568  0.0027915 -0.0513518  0.0027454  0.0004473 -0.0002535  0.0008647  0.0000055  0.0000102
 18.7186562  0.0028816 -0.0506639  0.0025369  0.0001138 -0.0003557  0.0000136  0.0000324 -0.0001180
 18.9804556  0.0032390 -0.0501107  0.0025579  0.0004448 -0.0003111  0.0003356  0.0000396 -0.0000900
