#iter  k
1 44.7633284
2 44.6191514
3 44.7086305
4 44.7260183
5 44.7290714
6 44.7641432
7 44.7653118
8 44.7845580
9 44.7418262
10 44.7894389
11 44.7727986
12 44.7793144
13 44.7982540
14 44.7731193
15 44.7377004
16 44.7253096
17 44.7314268
18 44.7272106
19 44.7633358
20 44.7240162
21 44.6968902
22 44.7282784
23 44.7341485
24 44.7595499
25 44.7799393
26 44.8089795
27 44.7679653
28 44.7676010
29 44.7848151
30 44.8121795
31 44.8301449
32 44.8067665
33 44.7784425
34 44.7321240
35 44.7356028
36 44.7436330
37 44.7299414
38 44.7011765
39 44.6955605
40 44.6913731
41 44.7089048
42 44.7283551
43 44.7623700
44 44.7269055
45 44.7259682
46 44.7478046
47 44.7670997
48 44.6857450
49 44.7204967
50 44.7629092
51 44.7652253
52 44.7418347
53 44.8274969
54 44.8426589
55 44.8218866
56 44.7852477
57 44.7722349
58 44.8026141
59 44.8293119
60 44.7738680
61 44.7512986
62 44.7274245
63 44.7337125
64 44.7163007
64 44.7610658
65 44.7744578
66 44.7966576
67 44.8057335
68 44.8173794
69 44.7281657
70 44.7218917
71 44.7588052
72 44.7381752
73 44.7595737
74 44.7512938
75 44.7360351
76 44.6966655
77 44.7000364
78 44.6744263
79 44.6790723
80 44.6838754
81 44.6883039
82 44.7194134
83 44.7671915
84 44.7429228
85 44.7732281
86 44.8378729
87 44.8535883
88 44.8481736
89 44.7699761
90 44.7300414
91 44.7254783
92 44.6872145
93 44.7106572
94 44.7333507
95 44.7411695
96 44.7278047
97 44.7027974
98 44.7432027
99 44.8024322
100 44.8131051
101 44.7544637
102 44.7420033
103 44.7286769
104 44.7582480
105 44.7681703
106 44.7804844
107 44.7720851
108 44.7510898
109 44.7487553
110 44.7320790
111 44.7368131
112 44.7486286
113 44.7511159
114 44.7246459
115 44.7324709
116 44.7567604
117 44.7781485
118 44.7462709
119 44.7599669
120 44.7630437
121 44.8102701
122 44.7742724
123 44.7249225
124 44.7469103
125 44.7684552
126 44.7701902
127 44.7885399
