#w_matsubara  g11_Re     g11_Im     g12_Re     g12_Im     g13_Re     g13_Im     g12_nambu_Re     g12_nambu_Im     
 0.1308997  5.5760684 -0.5232299 -0.3444934 -0.0685077 -0.2150808  0.1651827  0.0026447  0.0001794
 0.3926991  5.6222637 -0.8866333 -0.3359526 -0.1336102 -0.2231657  0.1349321  0.0011607  0.0000714
 0.6544985  5.6514025 -1.1511125 -0.3296468 -0.1789928 -0.2204565  0.1062405  0.0003572  0.0001695
 0.9162979  5.6579738 -1.3494989 -0.3302176 -0.2100060 -0.2158495  0.0890533  0.0005924 -0.0002146
 1.1780972  5.6510871 -1.4985155 -0.3240288 -0.2248010 -0.1986201  0.0753200  0.0001675  0.0005618
 1.4398966  5.6339394 -1.6277856 -0.3228247 -0.2419875 -0.1856650  0.0660358  0.0005667 -0.0008259
 1.7016960  5.6057440 -1.7220804 -0.3149615 -0.2448856 -0.1706275  0.0554670 -0.0015179  0.0002211
 1.9634954  5.5553769 -1.7973336 -0.3200147 -0.2448216 -0.1591286  0.0482224 -0.0008210 -0.0004812
 2.2252948  5.5055489 -1.8305720 -0.3182230 -0.2357884 -0.1396320  0.0412901  0.0001087  0.0001100
 2.4870942  5.4605223 -1.8700519 -0.3105715 -0.2271761 -0.1300009  0.0461998  0.0015352 -0.0018162
 2.7488936  5.4141703 -1.8840891 -0.3000450 -0.2169720 -0.1078753  0.0459585 -0.0001437  0.0012147
 3.0106930  5.3673802 -1.8989784 -0.2940550 -0.2036628 -0.1007315  0.0428387 -0.0005095  0.0014179
 3.2724923  5.3172328 -1.9034692 -0.2905677 -0.2016375 -0.0952766  0.0384131 -0.0010022  0.0039717
 3.5342917  5.2785047 -1.8900015 -0.2699291 -0.1825669 -0.0788019  0.0433368  0.0018252 -0.0010208
 3.7960911  5.2337038 -1.8830650 -0.2665121 -0.1693739 -0.0795341  0.0434273 -0.0001673  0.0010118
 4.0578905  5.1783877 -1.8698550 -0.2647059 -0.1622099 -0.0581610  0.0258868  0.0058623  0.0020464
 4.3196899  5.1535087 -1.8475024 -0.2573248 -0.1553589 -0.0703204  0.0300681  0.0004964 -0.0003251
 4.5814893  5.0969897 -1.8098890 -0.2525604 -0.1459950 -0.0599085  0.0247809  0.0016969  0.0039578
 4.8432887  5.0487865 -1.7968169 -0.2394002 -0.1273705 -0.0428658  0.0170822  0.0013327  0.0001236
 5.1050881  5.0556529 -1.7814303 -0.2205284 -0.1277867 -0.0544216  0.0024134  0.0038360 -0.0042434
 5.3668874  5.0040556 -1.7399566 -0.2263724 -0.1171942 -0.0502926  0.0201119 -0.0019967 -0.0038467
 5.6286868  4.9410099 -1.6941087 -0.2171369 -0.1162646 -0.0282240  0.0039782 -0.0002086 -0.0025480
 5.8904862  4.9513665 -1.6962060 -0.2132618 -0.0968264 -0.0522911  0.0418485  0.0007418  0.0007687
 6.1522856  4.9225173 -1.6672623 -0.2013880 -0.0895032 -0.0476761  0.0315502  0.0029041  0.0016129
 6.4140850  4.8801732 -1.6309762 -0.1845974 -0.0753835 -0.0332411  0.0197270  0.0036478 -0.0043414
 6.6758844  4.8824369 -1.5769807 -0.1759214 -0.0707206 -0.0634327  0.0077870 -0.0030186 -0.0062147
 6.9376838  4.8458834 -1.6122474 -0.1782633 -0.0709487 -0.0283475  0.0377036 -0.0046985 -0.0024655
 7.1994832  4.8411806 -1.5473376 -0.1543754 -0.0633609 -0.0308686  0.0149595 -0.0122243  0.0001433
 7.4612826  4.8129234 -1.4914506 -0.1673749 -0.0619352 -0.0223784  0.0171068 -0.0010168  0.0011266
 7.7230819  4.7929540 -1.5140711 -0.1470124 -0.0645431 -0.0017069  0.0089907 -0.0009803 -0.0057536
 7.9848813  4.7959560 -1.4333306 -0.1470553 -0.0422282 -0.0089343  0.0166078 -0.0023433  0.0064925
 8.2466807  4.7926705 -1.4616040 -0.1304598 -0.0688420 -0.0468292  0.0158617  0.0100753  0.0028197
 8.5084801  4.7363081 -1.3634105 -0.1395889 -0.0491267 -0.0535035  0.0069196 -0.0035604 -0.0038311
 8.7702795  4.6955641 -1.3939918 -0.1454096 -0.0384652 -0.0342536  0.0320080  0.0001655 -0.0005788
 9.0320789  4.7198084 -1.3642970 -0.1240091 -0.0321601 -0.0577414  0.0283486 -0.0116588 -0.0049187
 9.2938783  4.7176838 -1.3110077 -0.1187991 -0.0188558 -0.0147666  0.0108053  0.0090323 -0.0095404
 9.5556777  4.6741249 -1.3285255 -0.1172895 -0.0312753 -0.0386232  0.0116494  0.0048366  0.0047157
 9.8174770  4.6814699 -1.3457291 -0.1383610 -0.0279896 -0.0715617  0.0345393  0.0020487  0.0042913
 10.0792764  4.6503422 -1.2602375 -0.1268645 -0.0122703 -0.0329740  0.0382771 -0.0005142 -0.0030314
 10.3410758  4.6538232 -1.2074803 -0.0952140  0.0237502  0.0103989  0.0507643  0.0088348 -0.0073887
 10.6028752  4.6892484 -1.2581029 -0.0830894 -0.0059059 -0.0452027  0.0051564  0.0047554  0.0029169
 10.8646746  4.6699325 -1.1924148 -0.1060844 -0.0158551 -0.0151648  0.0060622  0.0067624  0.0062408
 11.1264740  4.6700240 -1.1562215 -0.0992297 -0.0012014 -0.0678968 -0.0004918  0.0044617  0.0070164
 11.3882734  4.5858952 -1.2197918 -0.0721888 -0.0249087 -0.0069784  0.0282029  0.0091081 -0.0072020
 11.6500728  4.6661434 -1.0894880 -0.0770436  0.0011017 -0.0664880 -0.0007989  0.0003953 -0.0082292
 11.9118721  4.5292067 -1.0826887 -0.1155178  0.0112651 -0.0079866 -0.0033661  0.0015793 -0.0039504
 12.1736715  4.5283917 -1.0796608 -0.0474621 -0.0171315  0.0725336 -0.0291399  0.0025066 -0.0022395
 12.4354709  4.6187264 -1.1023403 -0.0941028 -0.0187576  0.0053637 -0.0230143 -0.0031632  0.0006493
 12.6972703  4.6242201 -1.0492523 -0.1037750 -0.0564386 -0.1045010 -0.1070071  0.0009685 -0.0009375
 12.9590697  4.5306669 -1.0091670 -0.1020385 -0.0273465 -0.0705623  0.0279692  0.0033764 -0.0102909
 13.2208691  4.5191018 -1.1147267 -0.1319589  0.0019343  0.0254678  0.0383573  0.0039135 -0.0080236
 13.4826685  4.5583393 -1.0462845 -0.0899295  0.0164317 -0.0112037 -0.0092369  0.0035940 -0.0072548
 13.7444679  4.6163583 -1.0144336 -0.0542439  0.0185094 -0.0463075  0.1263603  0.0009062  0.0182875
 14.0062672  4.4981065 -1.0048535 -0.0376126 -0.0066340  0.0334937  0.0584131 -0.0005235 -0.0170068
 14.2680666  4.5239928 -1.0167737 -0.0356067 -0.0066342  0.0646758 -0.0307062  0.0053180  0.0003623
 14.5298660  4.4851575 -0.9613708 -0.0971348  0.0243315  0.0517351  0.0208072 -0.0141732  0.0035324
 14.7916654  4.5080352 -0.9725070 -0.0553662 -0.0536632  0.0531781  0.0126102 -0.0133111 -0.0003637
 15.0534648  4.4222031 -0.9643245 -0.0542429  0.0316476  0.0184142  0.0852073  0.0165996  0.0002850
 15.3152642  4.4835469 -0.9689481 -0.0223632 -0.0250261  0.0190638 -0.0286096  0.0018339  0.0049341
 15.5770636  4.4463875 -0.8912600 -0.0552393 -0.0378644  0.0216775 -0.1369925  0.0083183 -0.0068180
 15.8388630  4.5557047 -0.9084558 -0.0345578  0.0028032 -0.1469241  0.0746486 -0.0077474 -0.0031647
 16.1006623  4.6021031 -0.9220116 -0.0679991  0.0791767 -0.0102068 -0.0594623  0.0241422 -0.0089813
 16.3624617  4.5213635 -0.7997609 -0.0502663  0.0555799 -0.0506263 -0.0481894  0.0006212  0.0201893
 16.6242611  4.6363736 -0.9130736 -0.0838112  0.0357068 -0.0314146 -0.0036503  0.0200855 -0.0019673
 16.8860605  4.3792589 -0.8658037 -0.0251804  0.0456043  0.1467815  0.0449456 -0.0067155 -0.0022352
 17.1478599  4.5232947 -0.9019892 -0.0998935  0.0309854 -0.0629548 -0.0339517  0.0031868  0.0022896
 17.4096593  4.4733937 -0.7984358 -0.0525696 -0.0478895 -0.0018666  0.0114039  0.0050159  0.0172716
 17.6714587  4.3981593 -0.8281756 -0.0049317  0.0470682  0.0375881  0.0293119 -0.0180517 -0.0043475
 17.9332581  4.5080862 -0.9129295 -0.0157434  0.0333107 -0.0058159  0.0471565 -0.0152621  0.0025583
 18.1950575  4.5559709 -0.8147766  0.0087450 -0.0111321 -0.0112436 -0.0794101  0.0166542 -0.0047382
 18.4568568  4.4455686 -0.8370786 -0.1248675  0.0266441 -0.0865768  0.0913590  0.0260754 -0.0175340
 18.7186562  4.3733361 -0.8332905 -0.0900266  0.0304862 -0.1736931  0.0250477  0.0416143 -0.0146339
 18.9804556  4.5548492 -0.7543850 -0.0687699  0.1464885  0.0317632  0.0924599 -0.0165795  0.0052262
 19.2422550  4.3956850 -0.7316435 -0.0608279  0.0418879  0.0669418  0.0124196  0.0230523  0.0033665
 19.5040544  4.6224569 -0.7396772 -0.0140739  0.0874197 -0.0331833  0.0071596 -0.0280772 -0.0381398
 19.7658538  4.6210152 -0.9138151 -0.0719826  0.0598453 -0.1352269  0.0032994 -0.0130358  0.0100832
 20.0276532  4.4300808 -0.7472736 -0.0098247  0.0595890  0.2262725 -0.0228536  0.0187793  0.0141071
 20.2894526  4.5295996 -0.6225729 -0.0456669  0.0820372 -0.1717202 -0.0690670 -0.0187607  0.0040914
 20.5512519  4.6179013 -0.6722668 -0.0987599  0.0524605  0.0195463 -0.0890243  0.0012498 -0.0101245
 20.8130513  4.5203068 -0.6574890 -0.0275651 -0.0225741 -0.0706022 -0.0875083  0.0260638  0.0087507
 21.0748507  4.2354265 -0.6251379 -0.0217212  0.0586413  0.2018564  0.0496000  0.0125897 -0.0178886
 21.3366501  4.2964606 -0.6060710 -0.1037250  0.1279564  0.0860139 -0.0859193 -0.0280737  0.0260929
 21.5984495  4.5094764 -0.7220381 -0.1820258  0.1191444 -0.1396204  0.0046861 -0.0052808  0.0457189
 21.8602489  4.6888304 -0.7956058 -0.0877353  0.1363735 -0.0779782  0.1278476  0.0193995 -0.0131635
 22.1220483  4.6313649 -0.6344096 -0.1727604  0.0251762  0.0495688  0.0149990  0.0183135 -0.0149356
 22.3838477  4.4940310 -0.6200562 -0.1439964 -0.0495681 -0.0235841  0.0456631 -0.0315005 -0.0272886
 22.6456470  4.6258086 -0.5449282 -0.1784984  0.0269963 -0.0282050 -0.0957754 -0.0065650  0.0128667
 22.9074464  4.2818248 -0.6487552  0.0024678  0.0539358  0.2802051  0.2142500  0.0212493  0.0051343
 23.1692458  4.5516557 -0.4754813  0.0358374  0.0466740 -0.0145746  0.0618766 -0.0444847 -0.0253007
 23.4310452  4.5501597 -0.6739974  0.1018416  0.0180123 -0.0152379 -0.1441686  0.0261876 -0.0124228
 23.6928446  4.2678306 -0.6821068 -0.0090913 -0.0618026  0.1925887 -0.2315906 -0.0394824  0.0459923
 23.9546440  4.4242851 -0.4345719 -0.0794491  0.0834244 -0.0699381 -0.1075862 -0.0086555  0.0382442
 24.2164434  4.5945760 -0.6143373 -0.0426162  0.0735697 -0.2153639  0.1789267 -0.0196173  0.0513804
 24.4782428  4.7050853 -0.4703033 -0.0619261  0.0694289  0.0420386 -0.0498529  0.0033478 -0.0217653
 24.7400421  4.4470419 -0.4691756 -0.1057591  0.1087100  0.1134634  0.2301393  0.0297486  0.0586410
