#w_matsubara  G1_Re   G1_Im   G2_Re   G2_Im   G3_Re   G3_Im   G4_Re   G4_Im   
 0.1256637  0.3146953 -0.1262905  0.0436491 -0.5654985 -0.2943349 -0.0000945 -0.3748915 -0.2288264
 0.3769911  0.2466471 -0.1714209  0.0071716 -0.4822201 -0.0645957 -0.0001752 -0.2989888 -0.2367468
 0.6283185  0.1988847 -0.1809770 -0.0024536 -0.4019943 -0.0234255 -0.0004813 -0.2506054 -0.2300048
 0.8796459  0.1660420 -0.1807174 -0.0042671 -0.3487763 -0.0109510 -0.0000012 -0.2137878 -0.2224947
 1.1309734  0.1417878 -0.1768904 -0.0025754 -0.3100046 -0.0057052 -0.0003562 -0.1855654 -0.2156572
 1.3823008  0.1247537 -0.1713941 -0.0004376 -0.2814808 -0.0035568  0.0003045 -0.1627686 -0.2092156
 1.6336282  0.1116712 -0.1648243  0.0021438 -0.2589167 -0.0023330 -0.0004502 -0.1431248 -0.2016865
 1.8849556  0.1010996 -0.1605247  0.0044390 -0.2399375 -0.0011446 -0.0001080 -0.1267173 -0.1955049
 2.1362830  0.0935377 -0.1550123  0.0064913 -0.2253993 -0.0007515 -0.0002326 -0.1133050 -0.1898414
 2.3876104  0.0863122 -0.1509840  0.0081102 -0.2125977 -0.0004360 -0.0000951 -0.1008351 -0.1836511
 2.6389378  0.0809319 -0.1458662  0.0095163 -0.2012677 -0.0001773  0.0000137 -0.0906716 -0.1784423
 2.8902652  0.0748852 -0.1421863  0.0105752 -0.1912169 -0.0001678  0.0002364 -0.0819605 -0.1728633
 3.1415927  0.0708170 -0.1387375  0.0116114 -0.1830519 -0.0002573  0.0006279 -0.0732518 -0.1672719
 3.3929201  0.0673013 -0.1349216  0.0121679 -0.1748838 -0.0001598 -0.0003618 -0.0668915 -0.1627799
 3.6442475  0.0638987 -0.1316992  0.0125341 -0.1688875 -0.0001910 -0.0001721 -0.0611097 -0.1578876
 3.8955749  0.0605420 -0.1289558  0.0129377 -0.1628108  0.0000212  0.0007883 -0.0549249 -0.1539984
 4.1469023  0.0575208 -0.1263646  0.0130665 -0.1563197 -0.0001688  0.0003121 -0.0502573 -0.1493255
 4.3982297  0.0549779 -0.1236587  0.0137117 -0.1510678 -0.0001151  0.0002259 -0.0461517 -0.1451660
 4.6495571  0.0524869 -0.1210815  0.0136205 -0.1462161 -0.0000658  0.0005858 -0.0419760 -0.1413725
 4.9008845  0.0499364 -0.1181142  0.0134804 -0.1414252 -0.0001178 -0.0003096 -0.0385708 -0.1379226
 5.1522120  0.0480860 -0.1164125  0.0132080 -0.1368093  0.0001744  0.0000751 -0.0356121 -0.1339594
 5.4035394  0.0458875 -0.1132746  0.0131836 -0.1327716  0.0001826  0.0001662 -0.0328768 -0.1303720
 5.6548668  0.0441974 -0.1109726  0.0126334 -0.1294569  0.0002373  0.0002492 -0.0303758 -0.1270827
 5.9061942  0.0423116 -0.1091266  0.0126112 -0.1261810 -0.0002304 -0.0000977 -0.0286126 -0.1236770
 6.1575216  0.0402726 -0.1074954  0.0131028 -0.1224980 -0.0001605 -0.0001602 -0.0263856 -0.1210226
 6.4088490  0.0387952 -0.1057306  0.0118224 -0.1189417 -0.0002323 -0.0000968 -0.0242088 -0.1184796
 6.6601764  0.0374175 -0.1037249  0.0117253 -0.1158502 -0.0002934  0.0000836 -0.0228663 -0.1158619
 6.9115038  0.0355745 -0.1015460  0.0113660 -0.1135976  0.0002297 -0.0001902 -0.0212142 -0.1125735
 7.1628313  0.0339079 -0.0994118  0.0116601 -0.1106241 -0.0002598  0.0001531 -0.0194306 -0.1100168
 7.4141587  0.0322638 -0.0974561  0.0107692 -0.1073183 -0.0004487  0.0001689 -0.0186413 -0.1070916
 7.6654861  0.0313161 -0.0958905  0.0104957 -0.1051322  0.0002574 -0.0002115 -0.0171631 -0.1045281
 7.9168135  0.0293766 -0.0941636  0.0096881 -0.1026245  0.0003142 -0.0001304 -0.0159457 -0.1025463
 8.1681409  0.0289188 -0.0919740  0.0098999 -0.1003873  0.0004778 -0.0002385 -0.0156029 -0.1004735
 8.4194683  0.0281670 -0.0900554  0.0092184 -0.0984093  0.0002269 -0.0004039 -0.0145367 -0.0980125
 8.6707957  0.0272725 -0.0889455  0.0096189 -0.0964318 -0.0000168  0.0002420 -0.0135695 -0.0964533
 8.9221231  0.0261577 -0.0874284  0.0088765 -0.0941874  0.0000039  0.0000296 -0.0127967 -0.0945273
 9.1734505  0.0254208 -0.0857020  0.0087554 -0.0928964 -0.0001574 -0.0002140 -0.0126487 -0.0931619
 9.4247780  0.0241634 -0.0848646  0.0087454 -0.0904750  0.0002573  0.0005202 -0.0107493 -0.0906044
 9.6761054  0.0227542 -0.0830033  0.0084034 -0.0888856  0.0002582  0.0004203 -0.0107478 -0.0889711
 9.9274328  0.0220814 -0.0813617  0.0084606 -0.0869760 -0.0001595  0.0002517 -0.0099071 -0.0867463
 10.1787602  0.0213208 -0.0800807  0.0077397 -0.0854981 -0.0001460  0.0001682 -0.0092708 -0.0852709
 10.4300876  0.0215795 -0.0792144  0.0074426 -0.0841571  0.0002321  0.0001924 -0.0093277 -0.0839163
 10.6814150  0.0194120 -0.0782082  0.0072134 -0.0823891  0.0004208  0.0000699 -0.0089027 -0.0816963
