#iter  k
1 43.8139116
2 44.3966578
3 44.7931137
4 45.0075771
5 45.1646656
6 45.2942273
7 45.3897404
8 45.4737131
9 45.5061999
10 45.5450381
11 45.5924666
12 45.5640697
13 45.5850572
14 45.6118692
15 45.6658576
16 45.6936868
17 45.7215719
18 45.7365338
19 45.7571374
20 45.7787722
21 45.8344270
22 45.8537263
23 45.8682984
24 45.8607626
25 45.8461459
26 45.8648090
27 45.8809711
28 45.8587607
29 45.8492518
30 45.8748350
31 45.8946345
32 45.8726038
33 45.8571118
34 45.8536572
35 45.8355710
36 45.8494985
37 45.8733730
38 45.8717155
39 45.9064547
40 45.8896206
41 45.9003872
42 45.9017433
43 45.9372352
44 45.9389550
45 45.9513954
46 45.9056548
47 45.8908278
48 45.9264792
49 45.9159855
50 45.8877109
51 45.8536542
52 45.8901421
53 45.9368426
54 45.9414526
55 45.8952315
56 45.9122119
57 45.9641228
58 45.9699050
59 45.9758615
60 45.9945713
61 45.9555074
62 45.9322540
63 45.9246719
64 45.9285413
