#iter  E
1 -22.7533879
2 -22.7306549
3 -22.7182817
4 -22.7059913
5 -22.7010104
6 -22.6959473
7 -22.6941820
8 -22.6948474
9 -22.6944787
10 -22.6919079
11 -22.6906886
12 -22.6913427
13 -22.6899408
14 -22.6895751
15 -22.6943928
16 -22.6888627
17 -22.6885957
18 -22.6963445
19 -22.6966322
20 -22.6920775
21 -22.6930984
22 -22.6862687
23 -22.6953765
24 -22.6873954
25 -22.6870899
26 -22.6953506
27 -22.6950059
28 -22.6960526
29 -22.6880337
30 -22.6905006
31 -22.7012848
32 -22.6891519
33 -22.6906581
34 -22.6900978
35 -22.6894712
36 -22.6877146
37 -22.6888341
38 -22.6951228
39 -22.6902287
40 -22.6882020
41 -22.6895587
42 -22.6893731
43 -22.6924672
44 -22.6969196
45 -22.6870895
46 -22.6932936
47 -22.6917396
48 -22.6916896
49 -22.6904144
50 -22.6887713
51 -22.6893280
52 -22.6966364
53 -22.6925157
54 -22.6960587
55 -22.6905984
56 -22.6907145
57 -22.6920038
58 -22.6881764
59 -22.6963080
60 -22.6921371
61 -22.6908169
62 -22.6903820
63 -22.6892665
64 -22.6870084
