#defition of the sectors in Atomic.json

sector 1, state 00000000: N=0, Sz= 0, k0=0, k1=0

sector 2, state 00000001: N=1, Sz= 0, k0=0, k1=0

sector 3, state 00000010: N=1, Sz= 0, k0=0, k1=1

sector 4, state 00000011: N=2, Sz=-1, k0=0, k1=1
sector 4, state 00001100: N=2, Sz=-1, k0=0, k1=1

sector 5, state 00000100: N=1, Sz= 0, k0=1, k1=1

sector 6, state 00000101: N=2, Sz=-1, k0=1, k1=1
sector 6, state 00001010: N=2, Sz=-1, k0=1, k1=1

sector 7, state 00000110: N=2, Sz=-1, k0=1, k1=0
sector 7, state 00001001: N=2, Sz=-1, k0=1, k1=0

sector 8, state 00000111: N=3, Sz=-1, k0=1, k1=0

sector 9, state 00001000: N=1, Sz= 0, k0=1, k1=0

sector 10, state 00001011: N=3, Sz=-1, k0=1, k1=1

sector 11, state 00001101: N=3, Sz=-1, k0=0, k1=1

sector 12, state 00001110: N=3, Sz=-1, k0=0, k1=0

sector 13, state 00001111: N=4, Sz=-2, k0=0, k1=0

sector 14, state 00010000: N=1, Sz= 0, k0=0, k1=0

sector 15, state 00010001: N=2, Sz= 0, k0=0, k1=0
sector 15, state 00100010: N=2, Sz= 0, k0=0, k1=0
sector 15, state 01000100: N=2, Sz= 0, k0=0, k1=0
sector 15, state 10001000: N=2, Sz= 0, k0=0, k1=0

sector 16, state 00010010: N=2, Sz= 0, k0=0, k1=1
sector 16, state 00100001: N=2, Sz= 0, k0=0, k1=1
sector 16, state 10000100: N=2, Sz= 0, k0=0, k1=1
sector 16, state 01001000: N=2, Sz= 0, k0=0, k1=1

sector 17, state 00010011: N=3, Sz= 0, k0=0, k1=1
sector 17, state 01000110: N=3, Sz= 0, k0=0, k1=1
sector 17, state 10000101: N=3, Sz= 0, k0=0, k1=1
sector 17, state 01001001: N=3, Sz= 0, k0=0, k1=1
sector 17, state 10001010: N=3, Sz= 0, k0=0, k1=1
sector 17, state 00011100: N=3, Sz= 0, k0=0, k1=1

sector 18, state 00010100: N=2, Sz= 0, k0=1, k1=1
sector 18, state 00101000: N=2, Sz= 0, k0=1, k1=1
sector 18, state 10000010: N=2, Sz= 0, k0=1, k1=1
sector 18, state 01000001: N=2, Sz= 0, k0=1, k1=1

sector 19, state 00010101: N=3, Sz= 0, k0=1, k1=1
sector 19, state 00100110: N=3, Sz= 0, k0=1, k1=1
sector 19, state 10001100: N=3, Sz= 0, k0=1, k1=1
sector 19, state 00101001: N=3, Sz= 0, k0=1, k1=1
sector 19, state 10000011: N=3, Sz= 0, k0=1, k1=1
sector 19, state 00011010: N=3, Sz= 0, k0=1, k1=1

sector 20, state 00010110: N=3, Sz= 0, k0=1, k1=0
sector 20, state 00100101: N=3, Sz= 0, k0=1, k1=0
sector 20, state 01001100: N=3, Sz= 0, k0=1, k1=0
sector 20, state 00101010: N=3, Sz= 0, k0=1, k1=0
sector 20, state 01000011: N=3, Sz= 0, k0=1, k1=0
sector 20, state 00011001: N=3, Sz= 0, k0=1, k1=0

sector 21, state 00010111: N=4, Sz=-1, k0=1, k1=0
sector 21, state 01001101: N=4, Sz=-1, k0=1, k1=0
sector 21, state 10001110: N=4, Sz=-1, k0=1, k1=0
sector 21, state 00101011: N=4, Sz=-1, k0=1, k1=0

sector 22, state 00011000: N=2, Sz= 0, k0=1, k1=0
sector 22, state 00100100: N=2, Sz= 0, k0=1, k1=0
sector 22, state 10000001: N=2, Sz= 0, k0=1, k1=0
sector 22, state 01000010: N=2, Sz= 0, k0=1, k1=0

sector 23, state 00011011: N=4, Sz=-1, k0=1, k1=1
sector 23, state 00100111: N=4, Sz=-1, k0=1, k1=1
sector 23, state 01001110: N=4, Sz=-1, k0=1, k1=1
sector 23, state 10001101: N=4, Sz=-1, k0=1, k1=1

sector 24, state 00011101: N=4, Sz=-1, k0=0, k1=1
sector 24, state 00101110: N=4, Sz=-1, k0=0, k1=1
sector 24, state 10001011: N=4, Sz=-1, k0=0, k1=1
sector 24, state 01000111: N=4, Sz=-1, k0=0, k1=1

sector 25, state 00011110: N=4, Sz=-1, k0=0, k1=0
sector 25, state 00101101: N=4, Sz=-1, k0=0, k1=0
sector 25, state 10000111: N=4, Sz=-1, k0=0, k1=0
sector 25, state 01001011: N=4, Sz=-1, k0=0, k1=0

sector 26, state 00011111: N=5, Sz=-1, k0=0, k1=0

sector 27, state 00100000: N=1, Sz= 0, k0=0, k1=1

sector 28, state 00100011: N=3, Sz= 0, k0=0, k1=0
sector 28, state 01000101: N=3, Sz= 0, k0=0, k1=0
sector 28, state 10001001: N=3, Sz= 0, k0=0, k1=0
sector 28, state 01001010: N=3, Sz= 0, k0=0, k1=0
sector 28, state 10000110: N=3, Sz= 0, k0=0, k1=0
sector 28, state 00101100: N=3, Sz= 0, k0=0, k1=0

sector 29, state 00101111: N=5, Sz=-1, k0=0, k1=1

sector 30, state 00110000: N=2, Sz= 1, k0=0, k1=1
sector 30, state 11000000: N=2, Sz= 1, k0=0, k1=1

sector 31, state 00110001: N=3, Sz= 0, k0=0, k1=1
sector 31, state 01100100: N=3, Sz= 0, k0=0, k1=1
sector 31, state 10101000: N=3, Sz= 0, k0=0, k1=1
sector 31, state 01011000: N=3, Sz= 0, k0=0, k1=1
sector 31, state 10010100: N=3, Sz= 0, k0=0, k1=1
sector 31, state 11000001: N=3, Sz= 0, k0=0, k1=1

sector 32, state 00110010: N=3, Sz= 0, k0=0, k1=0
sector 32, state 10100100: N=3, Sz= 0, k0=0, k1=0
sector 32, state 01101000: N=3, Sz= 0, k0=0, k1=0
sector 32, state 01010100: N=3, Sz= 0, k0=0, k1=0
sector 32, state 10011000: N=3, Sz= 0, k0=0, k1=0
sector 32, state 11000010: N=3, Sz= 0, k0=0, k1=0

sector 33, state 00110011: N=4, Sz= 0, k0=0, k1=0
sector 33, state 01100110: N=4, Sz= 0, k0=0, k1=0
sector 33, state 10100101: N=4, Sz= 0, k0=0, k1=0
sector 33, state 01101001: N=4, Sz= 0, k0=0, k1=0
sector 33, state 10101010: N=4, Sz= 0, k0=0, k1=0
sector 33, state 01010101: N=4, Sz= 0, k0=0, k1=0
sector 33, state 10011001: N=4, Sz= 0, k0=0, k1=0
sector 33, state 01011010: N=4, Sz= 0, k0=0, k1=0
sector 33, state 10010110: N=4, Sz= 0, k0=0, k1=0
sector 33, state 11001100: N=4, Sz= 0, k0=0, k1=0
sector 33, state 00111100: N=4, Sz= 0, k0=0, k1=0
sector 33, state 11000011: N=4, Sz= 0, k0=0, k1=0

sector 34, state 00110100: N=3, Sz= 0, k0=1, k1=0
sector 34, state 01010010: N=3, Sz= 0, k0=1, k1=0
sector 34, state 10100010: N=3, Sz= 0, k0=1, k1=0
sector 34, state 10010001: N=3, Sz= 0, k0=1, k1=0
sector 34, state 01100001: N=3, Sz= 0, k0=1, k1=0
sector 34, state 11000100: N=3, Sz= 0, k0=1, k1=0

sector 35, state 00110101: N=4, Sz= 0, k0=1, k1=0
sector 35, state 01010011: N=4, Sz= 0, k0=1, k1=0
sector 35, state 10101100: N=4, Sz= 0, k0=1, k1=0
sector 35, state 10100011: N=4, Sz= 0, k0=1, k1=0
sector 35, state 01011100: N=4, Sz= 0, k0=1, k1=0
sector 35, state 00111010: N=4, Sz= 0, k0=1, k1=0
sector 35, state 11000101: N=4, Sz= 0, k0=1, k1=0
sector 35, state 11001010: N=4, Sz= 0, k0=1, k1=0

sector 36, state 00110110: N=4, Sz= 0, k0=1, k1=1
sector 36, state 01101100: N=4, Sz= 0, k0=1, k1=1
sector 36, state 10011100: N=4, Sz= 0, k0=1, k1=1
sector 36, state 10010011: N=4, Sz= 0, k0=1, k1=1
sector 36, state 01100011: N=4, Sz= 0, k0=1, k1=1
sector 36, state 11000110: N=4, Sz= 0, k0=1, k1=1
sector 36, state 00111001: N=4, Sz= 0, k0=1, k1=1
sector 36, state 11001001: N=4, Sz= 0, k0=1, k1=1

sector 37, state 00110111: N=5, Sz= 0, k0=1, k1=1
sector 37, state 01101101: N=5, Sz= 0, k0=1, k1=1
sector 37, state 10101110: N=5, Sz= 0, k0=1, k1=1
sector 37, state 10011101: N=5, Sz= 0, k0=1, k1=1
sector 37, state 01011110: N=5, Sz= 0, k0=1, k1=1
sector 37, state 11000111: N=5, Sz= 0, k0=1, k1=1

sector 38, state 00111000: N=3, Sz= 0, k0=1, k1=1
sector 38, state 01010001: N=3, Sz= 0, k0=1, k1=1
sector 38, state 10010010: N=3, Sz= 0, k0=1, k1=1
sector 38, state 10100001: N=3, Sz= 0, k0=1, k1=1
sector 38, state 01100010: N=3, Sz= 0, k0=1, k1=1
sector 38, state 11001000: N=3, Sz= 0, k0=1, k1=1

sector 39, state 00111011: N=5, Sz= 0, k0=1, k1=0
sector 39, state 01101110: N=5, Sz= 0, k0=1, k1=0
