#w_matsubara  g11_Re     g11_Im     g12_Re     g12_Im     g13_Re     g13_Im     g12_nambu_Re     g12_nambu_Im     
 0.1047198 -0.0076130 -0.3038395  0.1799044  0.0256524 -0.0383737  0.1567766 -0.2290626 -0.0000699
 0.3141593 -0.0138816 -0.3429186  0.1441017  0.0198316 -0.0170819  0.1491015 -0.0674091 -0.0001851
 0.5235988 -0.0170004 -0.3124744  0.1214746  0.0148612 -0.0120960  0.1123614 -0.0262525 -0.0001101
 0.7330383 -0.0169243 -0.2862629  0.1047487  0.0124097 -0.0106272  0.0868976 -0.0125949 -0.0000477
 0.9424778 -0.0155466 -0.2656832  0.0917422  0.0114082 -0.0100690  0.0693791 -0.0069316 -0.0000652
 1.1519173 -0.0134746 -0.2486330  0.0813319  0.0108038 -0.0099589  0.0565873 -0.0043010 -0.0001262
 1.3613568 -0.0106064 -0.2342704  0.0729455  0.0103904 -0.0095111  0.0468890 -0.0028589 -0.0000659
 1.5707963 -0.0081986 -0.2220454  0.0660542  0.0102532 -0.0093168  0.0397497 -0.0017385  0.0001832
 1.7802358 -0.0057838 -0.2118538  0.0601503  0.0097966 -0.0094518  0.0340790 -0.0012353  0.0000579
 1.9896753 -0.0035775 -0.2029392  0.0550925  0.0096187 -0.0090649  0.0296124 -0.0007444  0.0000786
 2.1991149 -0.0011857 -0.1949078  0.0507131  0.0093918 -0.0086541  0.0256852 -0.0004247 -0.0000157
 2.4085544  0.0000427 -0.1874129  0.0467943  0.0090269 -0.0079857  0.0225780 -0.0002878 -0.0000386
 2.6179939  0.0017539 -0.1810479  0.0435685  0.0086986 -0.0077703  0.0200567 -0.0001647 -0.0001384
 2.8274334  0.0035325 -0.1751399  0.0406125  0.0083325 -0.0073682  0.0177475 -0.0003724  0.0000121
 3.0368729  0.0048279 -0.1696618  0.0378018  0.0079750 -0.0070313  0.0155320 -0.0003037 -0.0002842
 3.2463124  0.0055781 -0.1647376  0.0354524  0.0075943 -0.0063741  0.0140028 -0.0003153 -0.0000892
 3.4557519  0.0067772 -0.1602324  0.0332796  0.0072778 -0.0060463  0.0127157 -0.0002060  0.0001934
 3.6651914  0.0076014 -0.1559157  0.0312042  0.0069127 -0.0058256  0.0117889 -0.0003494 -0.0001990
 3.8746309  0.0082367 -0.1517959  0.0293336  0.0064534 -0.0055063  0.0107025  0.0001404  0.0000387
 4.0840704  0.0083639 -0.1475728  0.0277362  0.0060089 -0.0048268  0.0096573  0.0000565  0.0000491
 4.2935100  0.0087001 -0.1438052  0.0262779  0.0056172 -0.0046231  0.0088673 -0.0002685  0.0002207
 4.5029495  0.0088499 -0.1407609  0.0249297  0.0053793 -0.0045102  0.0083715 -0.0002674 -0.0000276
 4.7123890  0.0092949 -0.1374819  0.0235023  0.0053266 -0.0043688  0.0074494 -0.0001446  0.0000841
 4.9218285  0.0097931 -0.1342952  0.0225303  0.0050819 -0.0044550  0.0070517 -0.0001643 -0.0000372
 5.1312680  0.0096806 -0.1313912  0.0212766  0.0046651 -0.0036723  0.0063283 -0.0002920  0.0001168
 5.3407075  0.0098700 -0.1285712  0.0200590  0.0043945 -0.0035326  0.0053996 -0.0001714  0.0000548
 5.5501470  0.0098105 -0.1255451  0.0192909  0.0042369 -0.0031957  0.0048398 -0.0002491  0.0001197
 5.7595865  0.0100121 -0.1230459  0.0182079  0.0040119 -0.0034738  0.0048279 -0.0000536 -0.0001767
 5.9690260  0.0103654 -0.1202319  0.0173122  0.0038943 -0.0033279  0.0045802 -0.0001793  0.0001400
 6.1784656  0.0096529 -0.1179295  0.0163513  0.0034787 -0.0029901  0.0038513  0.0001108  0.0000902
 6.3879051  0.0096716 -0.1154291  0.0159079  0.0033752 -0.0027658  0.0038274  0.0000331  0.0000274
 6.5973446  0.0094461 -0.1129650  0.0149784  0.0031154 -0.0025114  0.0033636 -0.0000716 -0.0000378
 6.8067841  0.0095608 -0.1108510  0.0144756  0.0030107 -0.0025625  0.0034849  0.0001756  0.0000290
 7.0162236  0.0094425 -0.1088480  0.0138092  0.0029031 -0.0024463  0.0034176  0.0001018  0.0001138
 7.2256631  0.0091511 -0.1070916  0.0131409  0.0026316 -0.0021081  0.0033040 -0.0001994  0.0001055
 7.4351026  0.0089552 -0.1049294  0.0129416  0.0024938 -0.0020134  0.0027435  0.0000249  0.0000180
 7.6445421  0.0090318 -0.1029354  0.0122884  0.0025276 -0.0020979  0.0024806  0.0001886 -0.0000300
 7.8539816  0.0088231 -0.1014930  0.0117986  0.0022244 -0.0020116  0.0027063 -0.0000335 -0.0002359
 8.0634211  0.0086128 -0.0992122  0.0112726  0.0021368 -0.0014612  0.0023493 -0.0000987  0.0001219
 8.2728607  0.0085532 -0.0973873  0.0108183  0.0020957 -0.0018958  0.0020437 -0.0001053 -0.0000861
 8.4823002  0.0085551 -0.0959259  0.0102921  0.0019678 -0.0016784  0.0019258 -0.0000170 -0.0000360
 8.6917397  0.0079822 -0.0940778  0.0099519  0.0018464 -0.0015767  0.0017628  0.0000594 -0.0002560
 8.9011792  0.0078811 -0.0923690  0.0095328  0.0019563 -0.0015818  0.0018828  0.0001333 -0.0000318
 9.1106187  0.0077551 -0.0912301  0.0092157  0.0018395 -0.0010932  0.0017861  0.0000382 -0.0000414
 9.3200582  0.0075421 -0.0895819  0.0091458  0.0016176 -0.0011132  0.0017014  0.0000146 -0.0001826
