#w_matsubara  g11_Re     g11_Im     g12_Re     g12_Im     g13_Re     g13_Im     g12_nambu_Re     g12_nambu_Im     
 0.1047198 -0.1965707 -0.5428266  0.1903784  0.0762153  0.0207358 -0.0248861  0.2226233  0.0000789
 0.3141593 -0.1707526 -0.6351801  0.1797030  0.0758200  0.0068530 -0.0109703  0.0668559  0.0001591
 0.5235988 -0.1495526 -0.5932640  0.1483697  0.0666783  0.0047105 -0.0068114  0.0257538  0.0000673
 0.7330383 -0.1315075 -0.5521014  0.1249673  0.0611829  0.0038219 -0.0045629  0.0122681  0.0001310
 0.9424778 -0.1159498 -0.5177983  0.1075605  0.0574194  0.0031962 -0.0031281  0.0066174  0.0002067
 1.1519173 -0.1018434 -0.4889539  0.0941443  0.0547275  0.0027147 -0.0021764  0.0039553  0.0001831
 1.3613568 -0.0891500 -0.4644646  0.0835374  0.0524800  0.0023639 -0.0015232  0.0024629 -0.0000332
 1.5707963 -0.0777445 -0.4437759  0.0749075  0.0506427  0.0020375 -0.0010218  0.0017304 -0.0001827
 1.7802358 -0.0671083 -0.4251412  0.0674049  0.0489862  0.0016962 -0.0007620  0.0011035  0.0000340
 1.9896753 -0.0577249 -0.4084391  0.0610822  0.0473499  0.0015196 -0.0004986  0.0008051 -0.0000932
 2.1991149 -0.0495643 -0.3935204  0.0556938  0.0457699  0.0013201 -0.0003058  0.0006534 -0.0001906
 2.4085544 -0.0429131 -0.3799457  0.0510856  0.0445074  0.0011563 -0.0001613  0.0004476  0.0000013
 2.6179939 -0.0361311 -0.3681814  0.0470613  0.0432255  0.0009583 -0.0000888  0.0003278 -0.0001781
 2.8274334 -0.0305134 -0.3562430  0.0432692  0.0419665  0.0008860 -0.0000603  0.0003992 -0.0000363
 3.0368729 -0.0253963 -0.3465373  0.0401271  0.0407477  0.0007277  0.0000010  0.0003193  0.0000280
 3.2463124 -0.0215325 -0.3366489  0.0373863  0.0394403  0.0007048  0.0001053  0.0001741 -0.0001176
 3.4557519 -0.0179040 -0.3272767  0.0347045  0.0381440  0.0005932  0.0001140  0.0000975 -0.0001270
 3.6651914 -0.0144992 -0.3184342  0.0322406  0.0370762  0.0005737  0.0001449  0.0002144 -0.0000514
 3.8746309 -0.0115130 -0.3106603  0.0301394  0.0359684  0.0004522  0.0001622 -0.0001520  0.0001233
 4.0840704 -0.0088285 -0.3025266  0.0280704  0.0349664  0.0004331  0.0001396  0.0001894 -0.0000769
 4.2935100 -0.0061782 -0.2950517  0.0263234  0.0342274  0.0003231  0.0001046 -0.0000109 -0.0000378
 4.5029495 -0.0040351 -0.2881834  0.0247210  0.0331815  0.0003048  0.0001156  0.0003863  0.0002043
 4.7123890 -0.0022882 -0.2813694  0.0232255  0.0322927  0.0002281  0.0001203  0.0000129 -0.0000855
 4.9218285 -0.0011132 -0.2754592  0.0219348  0.0314057  0.0002389  0.0001091 -0.0000954 -0.0000062
 5.1312680  0.0000824 -0.2684791  0.0206199  0.0305734  0.0002315  0.0000916  0.0001502 -0.0000950
 5.3407075  0.0009733 -0.2628664  0.0195961  0.0297826  0.0002393  0.0000800  0.0001985  0.0000078
 5.5501470  0.0020192 -0.2571322  0.0185712  0.0290143  0.0001884  0.0000943  0.0000641  0.0001380
 5.7595865  0.0031178 -0.2522465  0.0176029  0.0282905  0.0001726  0.0000828 -0.0000856 -0.0001137
 5.9690260  0.0033909 -0.2464243  0.0165964  0.0275408  0.0001374  0.0001045 -0.0001126  0.0000674
 6.1784656  0.0039362 -0.2419742  0.0157371  0.0270750  0.0000976  0.0001048  0.0000491 -0.0001283
 6.3879051  0.0048837 -0.2368473  0.0149539  0.0262537  0.0001126  0.0000939 -0.0000404 -0.0000872
 6.5973446  0.0057213 -0.2319903  0.0142786  0.0257183  0.0001167  0.0000744 -0.0002266 -0.0000473
 6.8067841  0.0068162 -0.2280006  0.0135434  0.0251622  0.0000542  0.0000543  0.0001718  0.0000373
 7.0162236  0.0062194 -0.2229337  0.0125990  0.0244272  0.0000896  0.0000306  0.0001267 -0.0001111
 7.2256631  0.0066419 -0.2190697  0.0121507  0.0238834  0.0000501  0.0000315  0.0000513  0.0000818
 7.4351026  0.0065012 -0.2149374  0.0114438  0.0234809  0.0000467  0.0000105  0.0000711 -0.0000328
 7.6445421  0.0065803 -0.2101930  0.0110953  0.0228728  0.0000825  0.0000422  0.0001429  0.0000122
 7.8539816  0.0068085 -0.2067722  0.0105528  0.0225088  0.0000464  0.0000168  0.0001261  0.0000879
 8.0634211  0.0066727 -0.2033821  0.0102393  0.0219713 -0.0000071  0.0000577 -0.0000123  0.0000749
 8.2728607  0.0072589 -0.1998482  0.0098577  0.0215904  0.0000498  0.0000184  0.0000443  0.0001588
 8.4823002  0.0073001 -0.1960932  0.0093832  0.0210485  0.0000837  0.0000354  0.0000905 -0.0000429
 8.6917397  0.0073720 -0.1924288  0.0088318  0.0206028  0.0000874 -0.0000237  0.0000123  0.0001621
 8.9011792  0.0071120 -0.1893327  0.0084993  0.0200958  0.0000819  0.0000413  0.0000347  0.0002049
 9.1106187  0.0071270 -0.1866412  0.0082872  0.0198365  0.0000266 -0.0000001  0.0000622  0.0002331
 9.3200582  0.0069518 -0.1830740  0.0078055  0.0194454  0.0000505  0.0000194  0.0001265  0.0000541
 9.5294977  0.0073970 -0.1803853  0.0076171  0.0190397  0.0000063  0.0000186  0.0001378 -0.0001034
 9.7389372  0.0072018 -0.1773376  0.0072699  0.0186201  0.0000618  0.0000355 -0.0000504 -0.0000864
 9.9483767  0.0065819 -0.1741882  0.0070334  0.0183659  0.0000398  0.0000321 -0.0000991  0.0000347
 10.1578162  0.0062396 -0.1713925  0.0067246  0.0180613  0.0000245  0.0000413 -0.0000423  0.0000813
 10.3672558  0.0065461 -0.1689489  0.0066329  0.0177438  0.0000429  0.0000419  0.0000885  0.0001117
 10.5766953  0.0060200 -0.1663774  0.0063976  0.0173440  0.0000477  0.0000670 -0.0000810 -0.0000305
 10.7861348  0.0067194 -0.1636639  0.0060677  0.0172608 -0.0000041 -0.0000129 -0.0000051 -0.0001455
 10.9955743  0.0063201 -0.1618367  0.0059021  0.0169834 -0.0000137  0.0000233  0.0001332 -0.0000993
 11.2050138  0.0060758 -0.1595431  0.0058163  0.0164671 -0.0000249  0.0000701 -0.0000439 -0.0001688
 11.4144533  0.0062592 -0.1571292  0.0055053  0.0163665  0.0000275  0.0000096  0.0000743 -0.0001165
 11.6238928  0.0061841 -0.1545803  0.0052334  0.0161004  0.0000214  0.0000461  0.0000388 -0.0001095
 11.8333323  0.0063088 -0.1523447  0.0050028  0.0158306  0.0000231  0.0000372 -0.0000455  0.0002508
 12.0427718  0.0056053 -0.1505393  0.0050046  0.0155501  0.0000058  0.0000581  0.0000908  0.0002286
 12.2522113  0.0056984 -0.1480109  0.0048052  0.0152730  0.0000605  0.0000730  0.0001056  0.0000359
 12.4616509  0.0061090 -0.1458201  0.0047860  0.0151005  0.0000140  0.0000002 -0.0000897 -0.0001090
 12.6710904  0.0053138 -0.1443242  0.0046230  0.0148831  0.0000286  0.0000291 -0.0000402  0.0000760
 12.8805299  0.0057058 -0.1419839  0.0044333  0.0146754 -0.0000091  0.0000434 -0.0000991 -0.0000927
 13.0899694  0.0059275 -0.1397559  0.0041652  0.0142880  0.0000653  0.0000174  0.0000048 -0.0001438
 13.2994089  0.0056236 -0.1381467  0.0042484  0.0141462  0.0000037  0.0000361  0.0000487 -0.0000261
 13.5088484  0.0048539 -0.1371116  0.0040574  0.0139836  0.0000366  0.0000170  0.0001694  0.0001495
 13.7182879  0.0048447 -0.1347527  0.0038395  0.0136873  0.0000107  0.0000576  0.0001283  0.0000072
 13.9277274  0.0048240 -0.1328632  0.0037996  0.0137194  0.0000403  0.0000356 -0.0000650  0.0001172
 14.1371669  0.0050160 -0.1315473  0.0037731  0.0135539 -0.0000180  0.0000240  0.0000351 -0.0001180
 14.3466065  0.0050817 -0.1297872  0.0037365  0.0132710  0.0000200 -0.0000063  0.0000557  0.0000024
 14.5560460  0.0048772 -0.1285100  0.0036509  0.0130575 -0.0000241  0.0000367 -0.0000577 -0.0002834
 14.7654855  0.0043986 -0.1264393  0.0035164  0.0128011  0.0000915  0.0000394  0.0001234  0.0000433
 14.9749250  0.0045360 -0.1257138  0.0034571  0.0128698 -0.0000297  0.0000594  0.0001205  0.0000193
 15.1843645  0.0042893 -0.1235554  0.0033681  0.0126169  0.0000120  0.0000373  0.0000242  0.0000938
 15.3938040  0.0047407 -0.1217982  0.0032643  0.0124337 -0.0000064  0.0000253 -0.0001738  0.0000459
 15.6032435  0.0045882 -0.1208248  0.0031782  0.0122798 -0.0000121 -0.0000019 -0.0000683 -0.0000561
 15.8126830  0.0045284 -0.1192378  0.0029594  0.0121394  0.0000106  0.0000355  0.0000842 -0.0001679
 16.0221225  0.0045153 -0.1177217  0.0029060  0.0120564  0.0000555 -0.0000239  0.0000531 -0.0000823
 16.2315620  0.0043634 -0.1166932  0.0029672  0.0117937 -0.0000084  0.0000520 -0.0001037  0.0002188
 16.4410016  0.0036899 -0.1154983  0.0030267  0.0117376 -0.0000338  0.0000388  0.0000282  0.0000189
 16.6504411  0.0038880 -0.1146269  0.0028795  0.0117173 -0.0000562  0.0000447  0.0001058 -0.0000056
 16.8598806  0.0038398 -0.1128847  0.0027612  0.0116430 -0.0000015  0.0000089 -0.0000688  0.0001081
 17.0693201  0.0043303 -0.1118601  0.0026313  0.0113754  0.0000116  0.0000208  0.0000206 -0.0000033
 17.2787596  0.0039712 -0.1107112  0.0026219  0.0112974 -0.0000512  0.0000318  0.0000295  0.0000450
 17.4881991  0.0036109 -0.1097385  0.0024939  0.0110045  0.0000088  0.0000263  0.0000453 -0.0000854
 17.6976386  0.0038417 -0.1083997  0.0023592  0.0109890 -0.0000205 -0.0000398 -0.0001842  0.0000438
 17.9070781  0.0040033 -0.1073646  0.0023262  0.0107698 -0.0000448  0.0000069 -0.0001605  0.0001884
 18.1165176  0.0037432 -0.1061353  0.0021911  0.0106909 -0.0000094 -0.0000329 -0.0000277 -0.0001736
 18.3259571  0.0034370 -0.1050385  0.0021944  0.0105237  0.0000260  0.0000491  0.0000319 -0.0001137
 18.5353967  0.0033794 -0.1036163  0.0023918  0.0106255 -0.0000583  0.0000087  0.0001036  0.0001044
 18.7448362  0.0034012 -0.1027906  0.0022177  0.0105170 -0.0000373 -0.0000426 -0.0000923  0.0002974
 18.9542757  0.0031033 -0.1016384  0.0021925  0.0103476 -0.0000661  0.0000189  0.0001248 -0.0001585
 19.1637152  0.0028719 -0.1010575  0.0019943  0.0103628 -0.0000545  0.0000275  0.0000292 -0.0001314
 19.3731547  0.0033277 -0.1003309  0.0020572  0.0102523 -0.0000780  0.0000215  0.0001225  0.0000823
 19.5825942  0.0030480 -0.0991240  0.0021918  0.0100382 -0.0000616  0.0000302 -0.0000969 -0.0000357
 19.7920337  0.0030262 -0.0978180  0.0019325  0.0100060 -0.0000248 -0.0000028  0.0000111 -0.0002050
 20.0014732  0.0033333 -0.0972669  0.0018565  0.0098355 -0.0000273 -0.0000138  0.0000379  0.0002381
 20.2109127  0.0032020 -0.0958970  0.0017483  0.0098574 -0.0000366 -0.0000460  0.0001628  0.0001873
 20.4203522  0.0027988 -0.0957699  0.0017291  0.0097566 -0.0000543 -0.0000363 -0.0000564 -0.0000330
 20.6297918  0.0031056 -0.0945729  0.0017765  0.0095992 -0.0000388 -0.0000079  0.0001073  0.0000307
 20.8392313  0.0030720 -0.0934984  0.0017019  0.0097086 -0.0000092 -0.0000335  0.0003061 -0.0000531
 21.0486708  0.0027877 -0.0925477  0.0017488  0.0094534 -0.0000427  0.0000019 -0.0000508 -0.0002785
 21.2581103  0.0031726 -0.0915415  0.0017393  0.0092244  0.0000351 -0.0000080  0.0002039 -0.0001705
 21.4675498  0.0035271 -0.0904236  0.0016127  0.0089119  0.0000210 -0.0000193  0.0001137 -0.0000910
 21.6769893  0.0032194 -0.0899334  0.0015299  0.0090025  0.0000451 -0.0000444 -0.0001446  0.0000907
 21.8864288  0.0028080 -0.0896735  0.0016256  0.0089597 -0.0000676  0.0000126  0.0002050 -0.0000720
 22.0958683  0.0029105 -0.0886044  0.0013888  0.0090414  0.0000053 -0.0000838 -0.0000645 -0.0000174
 22.3053078  0.0029620 -0.0879061  0.0015007  0.0087606 -0.0000141 -0.0000021  0.0001419  0.0000561
 22.5147474  0.0026733 -0.0869631  0.0014333  0.0088294  0.0000383 -0.0000279  0.0000124  0.0000238
 22.7241869  0.0028756 -0.0858955  0.0013544  0.0087191  0.0000362 -0.0000081  0.0000425  0.0000616
 22.9336264  0.0025406 -0.0851358  0.0013493  0.0085961  0.0000243  0.0000067  0.0000422  0.0002344
