#iter  Sign
1 0.4803872
2 0.4751413
3 0.4679301
4 0.4661610
5 0.4656712
6 0.4606147
7 0.4603504
8 0.4608453
9 0.4600798
10 0.4619307
11 0.4585527
12 0.4625797
13 0.4636854
14 0.4562538
15 0.4588870
16 0.4579487
17 0.4623489
18 0.4596235
19 0.4622774
20 0.4597781
21 0.4605384
22 0.4575541
23 0.4578154
24 0.4616238
25 0.4605028
26 0.4602660
27 0.4605789
28 0.4607925
29 0.4582188
30 0.4588145
31 0.4607835
32 0.4596983
33 0.4594478
34 0.4595045
35 0.4622752
36 0.4624712
37 0.4608801
38 0.4621161
39 0.4587668
40 0.4582870
41 0.4591846
42 0.4600009
43 0.4622203
44 0.4635296
45 0.4619455
46 0.4593038
47 0.4612827
48 0.4598255
49 0.4618869
50 0.4588815
51 0.4613984
52 0.4590624
53 0.4610425
54 0.4630015
55 0.4631112
56 0.4630969
57 0.4649672
58 0.4611557
59 0.4606411
60 0.4637178
61 0.4595372
62 0.4592724
63 0.4616879
64 0.4619860
