#w_matsubara  g11_Re     g11_Im     g12_Re     g12_Im     g13_Re     g13_Im     g12_nambu_Re     g12_nambu_Im     
 0.0785398  5.5753987 -0.2540822 -0.4385321 -0.0412537 -0.3532672  0.0699752  0.3664327  0.0008348
 0.2356194  5.5972013 -0.6508393 -0.4275212 -0.1111757 -0.3420438  0.1416398  0.2710097  0.0002569
 0.3926991  5.6170892 -0.9127997 -0.4193568 -0.1595110 -0.3310040  0.1524348  0.1856120 -0.0003074
 0.5497787  5.6312276 -1.1028197 -0.4134562 -0.1959769 -0.3186298  0.1450910  0.1307505 -0.0001646
 0.7068583  5.6380704 -1.2530756 -0.4112230 -0.2262845 -0.3078468  0.1340086  0.0935040 -0.0007255
 0.8639380  5.6371739 -1.3720010 -0.4117857 -0.2478553 -0.3013215  0.1232898  0.0716215  0.0008954
 1.0210176  5.6258866 -1.4701124 -0.4116356 -0.2632862 -0.2857475  0.1166885  0.0520658  0.0041287
 1.1780972  5.6166647 -1.5609489 -0.4122077 -0.2788413 -0.2793862  0.1081282  0.0417298  0.0048383
 1.3351769  5.5985739 -1.6388826 -0.4111720 -0.2871605 -0.2670788  0.0989294  0.0383393  0.0002434
 1.4922565  5.5796122 -1.7069921 -0.4076179 -0.2903171 -0.2519407  0.0951871  0.0294095 -0.0009950
 1.6493361  5.5581333 -1.7527364 -0.4057419 -0.2910151 -0.2419922  0.0884854  0.0268413  0.0005169
 1.8064158  5.5238648 -1.7958804 -0.4040867 -0.2927297 -0.2274326  0.0786568  0.0205836 -0.0006024
 1.9634954  5.4917854 -1.8337463 -0.3977619 -0.2903335 -0.2142228  0.0791927  0.0114930 -0.0000273
 2.1205750  5.4733298 -1.8648301 -0.3988999 -0.2852166 -0.2082624  0.0782255  0.0134404 -0.0006417
 2.2776547  5.4380341 -1.8820680 -0.3962483 -0.2809349 -0.1886767  0.0697293  0.0124048 -0.0054625
