#iter  Observable_U
1 0.5120947
2 0.5223718
3 0.5300950
4 0.5310241
5 0.5322101
6 0.5327464
7 0.5321172
8 0.5321618
9 0.5356274
10 0.5350379
11 0.5326349
12 0.5317971
13 0.5316512
14 0.5349589
15 0.5338493
16 0.5349127
17 0.5345959
18 0.5348586
19 0.5362783
20 0.5332124
21 0.5343682
22 0.5324536
23 0.5321485
24 0.5346869
25 0.5364449
26 0.5350222
27 0.5354896
28 0.5349651
29 0.5341119
30 0.5322166
31 0.5367119
32 0.5382710
33 0.5349881
34 0.5354598
35 0.5365211
36 0.5363849
37 0.5344110
38 0.5339285
39 0.5360644
40 0.5338672
41 0.5365311
42 0.5359621
43 0.5372611
44 0.5354794
45 0.5340334
46 0.5369940
47 0.5339066
48 0.5344432
49 0.5367580
50 0.5336424
51 0.5351581
52 0.5353690
53 0.5385115
54 0.5338556
55 0.5349700
56 0.5346593
57 0.5350607
58 0.5316165
59 0.5360735
60 0.5338397
61 0.5318105
62 0.5356174
63 0.5351904
