#w_matsubara  SzSz   
 0.0000000  0.6436617
 0.1256637  0.6023875
 0.2513274  0.5243184
 0.3769911  0.4410122
 0.5026548  0.3698912
 0.6283185  0.3111495
 0.7539822  0.2628598
 0.8796459  0.2256833
 1.0053096  0.1968211
 1.1309734  0.1728722
 1.2566371  0.1522116
 1.3823008  0.1360795
 1.5079645  0.1222068
 1.6336282  0.1110977
 1.7592919  0.1006677
 1.8849556  0.0918162
 2.0106193  0.0843927
 2.1362830  0.0778282
 2.2619467  0.0721881
 2.3876104  0.0666352
 2.5132741  0.0622597
 2.6389378  0.0582337
 2.7646015  0.0546886
 2.8902652  0.0509921
 3.0159289  0.0479352
 3.1415927  0.0452188
 3.2672564  0.0427385
 3.3929201  0.0403064
 3.5185838  0.0380395
 3.6442475  0.0363681
 3.7699112  0.0344695
 3.8955749  0.0327300
 4.0212386  0.0314462
 4.1469023  0.0298614
 4.2725660  0.0285098
 4.3982297  0.0273505
 4.5238934  0.0262270
 4.6495571  0.0252626
 4.7752208  0.0240898
 4.9008845  0.0231248
 5.0265482  0.0223216
 5.1522120  0.0214025
 5.2778757  0.0207073
 5.4035394  0.0198903
 5.5292031  0.0191644
 5.6548668  0.0185316
 5.7805305  0.0179209
 5.9061942  0.0172237
 6.0318579  0.0167835
 6.1575216  0.0162152
 6.2831853  0.0155533
 6.4088490  0.0151277
 6.5345127  0.0145596
 6.6601764  0.0141863
 6.7858401  0.0138400
 6.9115038  0.0133812
 7.0371675  0.0129860
 7.1628313  0.0126049
 7.2884950  0.0122590
 7.4141587  0.0118719
 7.5398224  0.0115999
 7.6654861  0.0113088
 7.7911498  0.0109468
 7.9168135  0.0106982
 8.0424772  0.0103950
 8.1681409  0.0101431
 8.2938046  0.0098510
 8.4194683  0.0096577
 8.5451320  0.0094384
 8.6707957  0.0091698
 8.7964594  0.0089839
 8.9221231  0.0087431
 9.0477868  0.0085705
 9.1734505  0.0082996
 9.2991143  0.0081552
 9.4247780  0.0079406
 9.5504417  0.0078195
 9.6761054  0.0076329
 9.8017691  0.0074359
 9.9274328  0.0072897
 10.0530965  0.0071329
 10.1787602  0.0069872
 10.3044239  0.0068244
 10.4300876  0.0066883
 10.5557513  0.0065835
 10.6814150  0.0063997
 10.8070787  0.0062697
 10.9327424  0.0061647
 11.0584061  0.0060307
 11.1840698  0.0059525
 11.3097336  0.0058174
 11.4353973  0.0056765
 11.5610610  0.0055907
 11.6867247  0.0054801
 11.8123884  0.0053601
 11.9380521  0.0052801
 12.0637158  0.0051696
 12.1893795  0.0050791
 12.3150432  0.0049942
 12.4407069  0.0048852
 12.5663706  0.0048270
 12.6920343  0.0047539
 12.8176980  0.0046669
 12.9433617  0.0045703
 13.0690254  0.0044907
 13.1946891  0.0044174
 13.3203529  0.0043487
 13.4460166  0.0042689
 13.5716803  0.0042057
 13.6973440  0.0041445
 13.8230077  0.0040645
 13.9486714  0.0039874
 14.0743351  0.0039582
 14.1999988  0.0038829
 14.3256625  0.0037918
 14.4513262  0.0037296
 14.5769899  0.0036932
 14.7026536  0.0036293
 14.8283173  0.0035863
 14.9539810  0.0035345
 15.0796447  0.0034732
 15.2053084  0.0034264
 15.3309721  0.0033482
 15.4566359  0.0032940
 15.5822996  0.0032733
 15.7079633  0.0032240
 15.8336270  0.0031598
 15.9592907  0.0031297
 16.0849544  0.0030797
 16.2106181  0.0030511
 16.3362818  0.0029955
 16.4619455  0.0029431
 16.5876092  0.0029183
 16.7132729  0.0028785
 16.8389366  0.0028383
 16.9646003  0.0028059
 17.0902640  0.0027633
 17.2159277  0.0027246
 17.3415914  0.0026847
 17.4672552  0.0026566
 17.5929189  0.0026169
 17.7185826  0.0025657
 17.8442463  0.0025428
 17.9699100  0.0025010
 18.0955737  0.0024792
 18.2212374  0.0024424
 18.3469011  0.0024182
 18.4725648  0.0023868
 18.5982285  0.0023490
 18.7238922  0.0023246
 18.8495559  0.0023090
 18.9752196  0.0022613
 19.1008833  0.0022531
 19.2265470  0.0022160
 19.3522107  0.0021874
 19.4778745  0.0021741
 19.6035382  0.0021419
 19.7292019  0.0021120
 19.8548656  0.0020841
 19.9805293  0.0020616
 20.1061930  0.0020388
 20.2318567  0.0020113
 20.3575204  0.0019879
 20.4831841  0.0019598
 20.6088478  0.0019503
 20.7345115  0.0019212
 20.8601752  0.0019051
 20.9858389  0.0018836
 21.1115026  0.0018557
 21.2371663  0.0018275
 21.3628300  0.0018207
 21.4884938  0.0017940
 21.6141575  0.0017716
 21.7398212  0.0017504
 21.8654849  0.0017434
 21.9911486  0.0017161
 22.1168123  0.0017060
 22.2424760  0.0016741
 22.3681397  0.0016557
 22.4938034  0.0016466
 22.6194671  0.0016287
 22.7451308  0.0016100
 22.8707945  0.0015956
 22.9964582  0.0015801
 23.1221219  0.0015609
 23.2477856  0.0015434
 23.3734493  0.0015352
 23.4991130  0.0015139
 23.6247768  0.0015026
 23.7504405  0.0014844
 23.8761042  0.0014663
 24.0017679  0.0014535
 24.1274316  0.0014374
 24.2530953  0.0014243
 24.3787590  0.0014182
 24.5044227  0.0014035
 24.6300864  0.0013884
 24.7557501  0.0013695
 24.8814138  0.0013623
 25.0070775  0.0013440
 25.1327412  0.0013289
 25.2584049  0.0013266
 25.3840686  0.0013125
 25.5097323  0.0012985
 25.6353961  0.0012817
 25.7610598  0.0012750
 25.8867235  0.0012592
 26.0123872  0.0012505
 26.1380509  0.0012328
 26.2637146  0.0012217
 26.3893783  0.0012108
 26.5150420  0.0012061
 26.6407057  0.0011899
 26.7663694  0.0011796
 26.8920331  0.0011711
 27.0176968  0.0011587
 27.1433605  0.0011465
 27.2690242  0.0011447
 27.3946879  0.0011287
 27.5203516  0.0011198
 27.6460154  0.0011098
 27.7716791  0.0011014
 27.8973428  0.0010890
 28.0230065  0.0010858
 28.1486702  0.0010721
 28.2743339  0.0010586
 28.3999976  0.0010571
 28.5256613  0.0010417
 28.6513250  0.0010343
 28.7769887  0.0010312
 28.9026524  0.0010236
 29.0283161  0.0010116
 29.1539798  0.0010028
 29.2796435  0.0009935
 29.4053072  0.0009817
 29.5309709  0.0009781
 29.6566346  0.0009711
 29.7822984  0.0009595
 29.9079621  0.0009492
 30.0336258  0.0009507
 30.1592895  0.0009395
 30.2849532  0.0009321
 30.4106169  0.0009242
 30.5362806  0.0009137
 30.6619443  0.0009151
 30.7876080  0.0009012
 30.9132717  0.0008950
 31.0389354  0.0008836
 31.1645991  0.0008800
 31.2902628  0.0008771
 31.4159265  0.0008706
 31.5415902  0.0008561
 31.6672539  0.0008503
 31.7929177  0.0008455
 31.9185814  0.0008392
 32.0442451  0.0008358
 32.1699088  0.0008277
 32.2955725  0.0008187
 32.4212362  0.0008102
 32.5468999  0.0008120
 32.6725636  0.0008023
 32.7982273  0.0007995
 32.9238910  0.0007923
 33.0495547  0.0007845
 33.1752184  0.0007786
 33.3008821  0.0007715
 33.4265458  0.0007659
 33.5522095  0.0007591
 33.6778732  0.0007587
 33.8035370  0.0007494
 33.9292007  0.0007417
 34.0548644  0.0007426
 34.1805281  0.0007324
 34.3061918  0.0007252
 34.4318555  0.0007248
 34.5575192  0.0007183
 34.6831829  0.0007115
 34.8088466  0.0007074
 34.9345103  0.0007043
 35.0601740  0.0007029
 35.1858377  0.0006947
 35.3115014  0.0006907
 35.4371651  0.0006864
 35.5628288  0.0006820
 35.6884925  0.0006719
 35.8141563  0.0006709
 35.9398200  0.0006638
 36.0654837  0.0006633
 36.1911474  0.0006554
 36.3168111  0.0006552
 36.4424748  0.0006480
 36.5681385  0.0006445
 36.6938022  0.0006380
 36.8194659  0.0006331
 36.9451296  0.0006279
 37.0707933  0.0006223
 37.1964570  0.0006230
 37.3221207  0.0006150
 37.4477844  0.0006116
 37.5734481  0.0006091
 37.6991118  0.0006064
 37.8247755  0.0006002
 37.9504393  0.0005991
 38.0761030  0.0005936
 38.2017667  0.0005879
 38.3274304  0.0005851
 38.4530941  0.0005815
 38.5787578  0.0005824
 38.7044215  0.0005740
 38.8300852  0.0005741
 38.9557489  0.0005692
 39.0814126  0.0005631
 39.2070763  0.0005630
 39.3327400  0.0005583
 39.4584037  0.0005567
 39.5840674  0.0005503
 39.7097311  0.0005481
 39.8353948  0.0005450
 39.9610586  0.0005415
