#iter    mu
1 5.6500000
2 5.6500000
3 5.6500000
4 5.6500000
5 5.6500000
6 5.6500000
7 5.6500000
8 5.6500000
9 5.6500000
10 5.6500000
11 5.6500000
12 5.6500000
13 5.6500000
14 5.6500000
15 5.6500000
16 5.6500000
17 5.6500000
18 5.6500000
19 5.6500000
20 5.6500000
21 5.6500000
22 5.6500000
23 5.6500000
24 5.6500000
25 5.6500000
26 5.6500000
27 5.6500000
28 5.6500000
29 5.6500000
30 5.6500000
31 5.6500000
32 5.6500000
33 5.6500000
34 5.6500000
35 5.6500000
36 5.6500000
37 5.6500000
38 5.6500000
39 5.6500000
40 5.6500000
41 5.6500000
42 5.6500000
43 5.6500000
44 5.6500000
45 5.6500000
46 5.6500000
47 5.6500000
48 5.6500000
49 5.6500000
50 5.6500000
51 5.6500000
52 5.6500000
53 5.6500000
54 5.6500000
55 5.6500000
56 5.6500000
57 5.6500000
58 5.6500000
59 5.6500000
60 5.6500000
61 5.6500000
62 5.6500000
63 5.6500000
