tp	tpp	U	ave_D       	ave_mu     	ave_M       	mu	dt	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	tb1a_1	tb1b_1	tb2a_1	tb2b_1	tb3a_1	tb3b_1	tb4a_1	tb4b_1	tb5a_1	tb5b_1	tb6a_1	tb6b_1	tb7a_1	tb7b_1	tb8a_1	tb8b_1	pb3a_1	pb4b_1	pb5b_1	pb6a_1	db3a_1	db3b_1	db4a_1	db4b_1	db5a_1	db5b_1	db6a_1	db6b_1	mb1a_1	mb2a_1	mb3a_1	mb3b_1	mb4a_1	mb4b_1	mb5a_1	mb5b_1	mb6a_1	mb6b_1	mb7a_1	mb8a_1
-0.3	0.2	8	-0.109613050	0.933015780	-0.000366957	2.4	0	0.16377891	-0.36397652	0.77907922	-0.30392382	0.77907915	-0.30392386	0.65517983	-0.31795296	0.20414204	0.20414214	0.29721569	0.29721011	1.5147763e-05	0.47395707	0.32333723	-4.6257782e-09	0.47395702	1.5161084e-05	-4.8083699e-09	0.32333724	0.38435917	0.384359	0.23160952	0.23161614	5.7493342e-05	-5.3468828e-05	5.6616148e-05	-5.256382e-05	-0.13564451	-4.3291252e-06	-1.5133913e-08	-0.27524714	4.314597e-06	0.13564455	0.27524717	5.407009e-09	5.6226552e-05	0.0002432958	9.5044078e-06	5.1290435e-05	2.572525e-05	2.2516889e-06	-5.0256172e-05	9.4464712e-06	2.2327647e-06	-2.5661211e-05	-5.6222121e-05	-0.00019195992
-0.3	0.2	8	-0.108802410	0.934965570	-0.000112641	2.42	0	0.15800573	-0.36519982	0.78462421	-0.3088539	0.78462615	-0.3088556	0.65996729	-0.3238043	0.20039247	0.2003927	0.29836665	0.29838234	1.4834795e-05	0.47042454	0.32514728	5.9736008e-09	0.47042204	1.48371e-05	5.3964622e-09	0.32514693	0.38270902	0.38270902	0.23308389	0.23306501	1.7509649e-05	-1.5876168e-05	1.7449476e-05	-1.5827001e-05	-0.13782658	-4.3456937e-06	-1.1418528e-08	-0.27569508	4.3394356e-06	0.13783035	0.27569846	5.407009e-09	1.5621081e-05	0.00012307499	1.6158794e-07	1.5689274e-05	7.5483898e-06	4.091662e-08	-1.5653225e-05	1.6311055e-07	3.934403e-08	-7.5715494e-06	-1.5735848e-05	-0.00011781781
-0.3	0.2	8	-0.107883450	0.936933570	-0.000065079	2.44	0	0.15188383	-0.36637669	0.79046272	-0.31383711	0.79047065	-0.31384	0.66518517	-0.3297592	0.19639782	0.19639687	0.2995454	0.29957065	1.4728996e-05	0.46692355	0.32700439	1.1618188e-08	0.46692009	1.4722688e-05	2.9888101e-09	0.32700366	0.3810024	0.38100367	0.2345668	0.23453647	9.7841984e-06	-8.7084196e-06	9.7303254e-06	-8.6742185e-06	-0.13993839	-4.4127407e-06	-5.6564792e-09	-0.27586667	4.4075919e-06	0.13994509	0.27587212	5.407009e-09	8.3884022e-06	7.9246373e-05	4.8231911e-08	8.9379739e-06	4.265263e-06	1.3409678e-08	-8.9058726e-06	4.6472166e-08	1.2785829e-08	-4.2692897e-06	-8.7673332e-06	-7.8635382e-05
-0.3	0.2	8	-0.106851190	0.938913950	-0.000060912	2.46	0	0.14540738	-0.36751565	0.79659193	-0.31882953	0.79660284	-0.31883156	0.67085026	-0.33575926	0.19214901	0.19214824	0.30074554	0.30077056	1.4361964e-05	0.46348992	0.32890447	-4.6993954e-10	0.46348572	1.4358044e-05	1.5156455e-08	0.3289034	0.37924436	0.37924545	0.23604789	0.23601763	8.9390625e-06	-7.8666524e-06	9.0544502e-06	-7.8402494e-06	-0.14193557	-4.3925727e-06	-2.4512899e-09	-0.27572176	4.4129846e-06	0.14194358	0.27572788	5.407009e-09	7.5200541e-06	6.3091189e-05	1.6838138e-08	8.3260013e-06	3.860146e-06	-6.7675171e-09	-8.3207052e-06	-4.0108503e-09	2.3547593e-09	-3.8571193e-06	-8.3424538e-06	-6.1009435e-05
-0.3	0.2	8	-0.105691050	0.940923730	-0.000093102	2.48	0	0.13847259	-0.36865992	0.80313093	-0.32390968	0.80312952	-0.32390941	0.67711636	-0.34190542	0.18757772	0.18757799	0.30198719	0.30200297	1.4321599e-05	0.4601136	0.33088155	3.5505943e-09	0.46011385	1.4310474e-05	-3.7532536e-09	0.33088168	0.37742256	0.37742258	0.23754701	0.23752782	1.3609624e-05	-1.1617226e-05	1.3552508e-05	-1.1631164e-05	-0.14382556	-4.4695273e-06	5.0426763e-09	-0.27522663	4.4800183e-06	0.14382488	0.27522607	5.407009e-09	1.1057397e-05	6.2180215e-05	8.8140762e-09	1.268625e-05	5.7252693e-06	2.6307736e-09	-1.2713572e-05	5.8065059e-09	2.8480635e-09	-5.7288924e-06	-1.3130674e-05	-5.263065e-05
-0.3	0.2	8	-0.105624980	0.941027920	-0.000106691	2.481	0	0.13808198	-0.36872317	0.80350781	-0.32419703	0.80349897	-0.32419499	0.67748807	-0.34225558	0.18732232	0.18732239	0.30205753	0.3020726	1.4305683e-05	0.45993505	0.33099506	1.9709268e-08	0.45993749	1.4289677e-05	1.0519479e-08	0.33099587	0.37732403	0.3773241	0.23763236	0.237614	1.564316e-05	-1.3371234e-05	1.5639277e-05	-1.3391019e-05	-0.14392968	-4.4816974e-06	4.4197649e-09	-0.27518972	4.4887695e-06	0.14392395	0.27518533	5.407009e-09	1.2665692e-05	6.4924948e-05	-1.4591016e-08	1.4592864e-05	6.5343796e-06	-1.0358185e-09	-1.46338e-05	-1.558145e-08	-4.4209929e-09	-6.5511504e-06	-1.5124846e-05	-5.2635026e-05
-0.3	0.2	8	-0.105501580	0.941226450	-0.000142238	2.483	0	0.13737074	-0.36883713	0.80417088	-0.32469457	0.80416278	-0.32469268	0.67813694	-0.3428578	0.18685209	0.18685212	0.30218165	0.30219492	1.428665e-05	0.45960724	0.33119415	5.0552834e-09	0.4596095	1.4280589e-05	1.7946512e-09	0.33119488	0.37713936	0.37713945	0.23777961	0.23776345	2.0813557e-05	-1.7762959e-05	2.0824829e-05	-1.7791538e-05	-0.14410345	-4.4735156e-06	-1.5501437e-09	-0.2751158	4.4799214e-06	0.14409818	0.27511177	5.407009e-09	1.686439e-05	7.3612842e-05	2.1051707e-08	1.9449189e-05	8.6924693e-06	3.0810546e-09	-1.9506929e-05	2.1399978e-08	3.2526419e-09	-8.7122765e-06	-2.0314533e-05	-5.4502479e-05
-0.3	0.2	8	-0.105377560	0.941427350	-0.000194274	2.485	0	0.13665166	-0.36895225	0.80484255	-0.32519646	0.8048344	-0.32519456	0.67879681	-0.34346599	0.18637649	0.18637653	0.30230685	0.30231841	1.4150148e-05	0.45927914	0.33139504	1.3453026e-08	0.45928142	1.4151278e-05	9.3019546e-09	0.33139579	0.37695369	0.37695375	0.23792797	0.23791386	2.8406595e-05	-2.4198131e-05	2.8450484e-05	-2.4247598e-05	-0.14427729	-4.4497153e-06	-9.7065184e-09	-0.27503807	4.4415338e-06	0.14427196	0.275034	5.407009e-09	2.2949844e-05	8.8719188e-05	-3.3780165e-08	2.6573317e-05	1.183818e-05	-4.4937976e-09	-2.6656182e-05	-2.9501724e-08	-6.7451053e-09	-1.1866408e-05	-2.7852854e-05	-6.0152971e-05
-0.3	0.2	8	-0.105252430	0.941628590	-0.000273447	2.487	0	0.13592805	-0.36906794	0.80551829	-0.32569856	0.80550992	-0.32569663	0.67946284	-0.34407462	0.18589764	0.18589769	0.30243235	0.30244223	1.4093542e-05	0.45895205	0.33159668	6.9489592e-09	0.45895437	1.409414e-05	5.2883436e-09	0.33159745	0.37676741	0.37676745	0.23807642	0.23806435	3.9960246e-05	-3.3975731e-05	3.9972351e-05	-3.4012154e-05	-0.14444946	-4.4333718e-06	-8.0453375e-09	-0.27495637	4.4310065e-06	0.14444402	0.27495224	5.407009e-09	3.2173264e-05	0.00011226016	1.6517957e-08	3.7410919e-05	1.6611904e-05	9.6581203e-09	-3.7509602e-05	1.5609565e-08	4.7037324e-09	-1.6654012e-05	-3.9306717e-05	-6.9467681e-05
-0.3	0.2	8	-0.105125960	0.941830260	-0.000397948	2.489	0	0.13519987	-0.36918424	0.80619783	-0.32620074	0.80618927	-0.32619876	0.68013517	-0.3446835	0.18541556	0.1854156	0.30255809	0.30256647	1.4019732e-05	0.45862611	0.3317991	3.4056059e-09	0.45862845	1.4021144e-05	7.6030043e-09	0.33179988	0.37658051	0.37658055	0.23822502	0.23821478	5.8096695e-05	-4.9285489e-05	5.8119136e-05	-4.9353483e-05	-0.1446197	-4.4181858e-06	-4.9003166e-09	-0.27487048	4.4197261e-06	0.14461416	0.27486627	5.407009e-09	4.6567552e-05	0.00014986798	1.46741e-08	5.4445489e-05	2.4116643e-05	-2.1538704e-09	-5.4583639e-05	1.5209195e-08	-5.1470173e-10	-2.416418e-05	-5.724203e-05	-8.48593e-05
