ave_mu	ave_D	mu
0.80032653	-1.8492566e-06	1.15
0.80284104	3.9441211e-07	1.17
0.8052981	-0.00023122718	1.19
0.80772749	-0.00023937464	1.21
0.81017395	-0.00036341963	1.23
0.81258128	-0.023320401	1.25
0.8150352	-0.037307482	1.27
0.81747333	-0.045547185	1.29
0.81994479	-0.051541685	1.31
0.8224157	-0.056576907	1.33
0.82487881	-0.061067661	1.35
0.82732708	-0.065132158	1.37
0.82975845	-0.068826434	1.39
0.8321565	-0.07211687	1.41
0.83452642	-0.074992618	1.43
0.83683285	-0.077484309	1.45
0.8424228	-0.082601652	1.5
0.84784185	-0.086686144	1.55
0.85318179	-0.09021303	1.6
0.85848505	-0.093397036	1.65
0.85849026	-0.093414505	1.65
0.86165079	-0.095189102	1.68
0.8637465	-0.096325529	1.7
0.86375258	-0.096331258	1.7
0.86374996	-0.096329995	1.7
0.86584938	-0.097450057	1.72
0.86792664	-0.098521123	1.74
0.86897073	-0.099047745	1.75
0.87001284	-0.099567248	1.76
0.87207367	-0.10057852	1.78
0.87414034	-0.10156219	1.8
0.87414325	-0.10156538	1.8
0.87617939	-0.10250696	1.82
0.87822934	-0.10342231	1.84
0.87923462	-0.10386049	1.85
0.88025772	-0.10429799	1.86
0.88227508	-0.10513994	1.88
0.88430217	-0.10595164	1.9
0.88429779	-0.10594867	1.9
0.88630243	-0.10672019	1.92
0.88830663	-0.10745308	1.94
0.8902967	-0.10814704	1.96
0.89228908	-0.10880315	1.98
0.89426292	-0.1094135	2.0
0.89623223	-0.10998206	2.02
0.8982004	-0.11050523	2.04
0.90015954	-0.11098552	2.06
0.9021086	-0.1114129	2.08
0.90405871	-0.11179106	2.1
0.90599996	-0.1121153	2.12
0.90793996	-0.11238457	2.14
0.90986982	-0.11259611	2.16
0.91180098	-0.11274935	2.18
0.91372322	-0.11283628	2.2
0.91565352	-0.1128635	2.22
0.91757336	-0.1128186	2.24
0.91949528	-0.1127027	2.26
0.92141579	-0.11251284	2.28
0.92333968	-0.11224657	2.3
0.92526501	-0.11189862	2.32
0.92719444	-0.11146397	2.34
0.9291271	-0.11094225	2.36
0.93106574	-0.11032805	2.38
0.93301176	-0.10961674	2.4
0.93496547	-0.10880283	2.42
0.93693357	-0.10788329	2.44
0.93891395	-0.10685111	2.46
0.94091632	-0.10570361	2.48
0.94293052	-0.10442791	2.5
0.94498429	-0.10300709	2.52
0.94810755	-0.10063675	2.55
0.95348571	-0.095981321	2.6
0.95913332	-0.090509456	2.65
0.95913571	-0.090503308	2.65
0.95913691	-0.090502646	2.65
0.9650679	-0.084456376	2.7
0.97127968	-0.077899724	2.75
0.97783269	-0.070350918	2.8
0.98195089	-0.064688286	2.83
0.98690768	-0.06190047	2.85
0.98842042	-0.059732015	2.86
0.99336523	-0.051612199	2.89
0.99493124	-0.048181502	2.9
0.99745262	-0.039586868	2.92
1.0013729	-0.015223542	2.95
1.0020118	-0.0002984786	2.96
1.0020413	-7.0439216e-08	3.0
0.99948483	0.00016799666	4.85
0.99946754	0.0016581954	4.8
0.99953634	0.0076051513	4.82
0.99946499	0.00025964909	4.78
0.99947003	3.0345264e-05	4.76
0.99947391	1.5678883e-06	4.75
0.99947876	2.9161866e-06	4.74
0.99954941	3.2365183e-09	4.65
1.0001285	0.024222964	4.84
0.99965927	-5.0767984e-10	4.55
0.99977543	-2.6409652e-10	4.45
0.99988241	0.0	4.35
0.99997039	-2.8589661e-10	4.25
1.0000419	-2.3157424e-10	4.15
1.0000707	0.0	4.1
1.0001202	2.2837833e-10	4.0
1.0023962	0.051724482	4.86
1.008911	0.090765659	4.88
1.0590881	0.12870787	4.9
1.0678162	0.11198433	4.95
1.0741131	0.1019489	5.0
1.0798239	0.094047425	5.05
1.0852709	0.087440157	5.1
1.0905863	0.081788109	5.15
1.0958274	0.076915437	5.2
1.1010381	0.072681495	5.25
1.1062333	0.06895291	5.3
1.1114453	0.065634859	5.35
1.1166619	0.062696012	5.4
1.1219073	0.06009143	5.45
1.1271659	0.057754912	5.5
1.1847838	0.036154367	6.04
1.189165	0.034534647	6.08
1.1935701	0.033038574	6.12
1.1979233	0.031475504	6.16
1.2021446	0.029470813	6.2
1.2062147	0.026698164	6.24
1.20819	0.024866701	6.26
1.2101164	0.022569497	6.28
1.2120035	0.019599021	6.3
1.2138395	0.015415925	6.32
1.2156673	0.0077685907	6.34
1.2180643	0.0031606089	6.36
1.2205613	0.0016516133	6.38
1.223039	0.00082127556	6.4
1.2254937	0.00041064141	6.42
1.2279264	0.00015905305	6.44
1.2303122	6.8993467e-05	6.46
1.232728	4.0027385e-05	6.48
1.2351475	2.2391692e-05	6.5
1.2376044	7.3509606e-06	6.52
1.2400831	3.0579421e-06	6.54
1.2425819	1.5206797e-06	6.56
1.2451287	2.8937068e-07	6.58
1.2502873	3.606347e-08	6.62
1.2553954	7.2319752e-09	6.66
1.2604112	5.2991925e-09	6.7
1.2652942	-1.1997861e-09	6.74
1.2701932	1.7670883e-10	6.78
1.2751917	1.6720107e-09	6.82
1.2802924	1.2583535e-09	6.86
1.2855115	7.0672717e-10	6.9
1.2906392	1.5756584e-10	6.94
1.2956716	1.641916e-09	6.98
